test_id,reference_real,reference_rounded_fp8_hex,reference_rounded_fp8_real,hw_hex,hw_real,abs_error,rel_error,squared_error,exact_match_to_reference_rounded_fp8
0,0.25099313185712013,28,0.25,29,0.28125,0.030256868142879867,0.12054858999131432,0.0009154780698156185,0
1,0.6111918757617155,32,0.625,32,0.625,0.01380812423828448,0.022592126606846185,0.00019066429497989937,1
2,0.905413268879161,36,0.875,37,0.9375,0.03208673112083904,0.035438768376522906,0.0010295583140210206,0
3,0.8417795882589152,35,0.8125,35,0.8125,0.02927958825891519,0.034782962983784485,0.0008572942886116042,1
4,0.7654382948371868,34,0.75,34,0.75,0.015438294837186839,0.020169221923330417,0.0002383409474799098,1
5,-0.0730184190941866,99,-0.0703125,9D,-0.1015625,0.028544080905813396,0.39091617238376974,0.0008147645547576209,0
6,0.7780821892252374,34,0.75,34,0.75,0.02808218922523742,0.03609154612985011,0.0007886093516820406,1
7,-0.15682654334523616,A2,-0.15625,A4,-0.1875,0.030673456654763842,0.19558842527849157,0.0009408609431516762,0
8,1.0906145462607344,39,1.125,38,1.0,0.0906145462607344,0.08308576716807432,0.008210995994038774,0
9,0.8965771444426726,36,0.875,37,0.9375,0.04092285555732744,0.045643429359071806,0.0016746801069658856,0
10,-0.9945715213646571,B8,-1.0,B8,-1.0,0.005428478635342904,0.005458107857235303,2.9468380294374353e-05,1
11,-0.8997485760719126,B6,-0.875,B8,-1.0,0.10025142392808739,0.1114215977598555,0.010050347999609093,0
12,-0.03672277498071064,91,-0.03515625,95,-0.05078125,0.014058475019289363,0.38282714273836477,0.00019764071986798305,0
13,0.756191357150785,34,0.75,34,0.75,0.006191357150785004,0.008187553444293656,3.8332903368576604e-05,1
14,-0.11146602088579544,9E,-0.109375,9C,-0.09375,0.017716020885795436,0.1589365148680306,0.0003138573960259401,0
15,-0.08235966065865169,9B,-0.0859375,9A,-0.078125,0.00423466065865169,0.05141668414835617,1.7932350893932363e-05,0
16,-1.2563583539010545,BA,-1.25,BA,-1.25,0.0063583539010545476,0.0050609397241730796,4.0428664331055587e-05,1
17,-1.1767479866301558,B9,-1.125,B9,-1.125,0.051747986630155784,0.043975419731412585,0.002677854120274782,1
18,0.9875381396379357,38,1.0,38,1.0,0.012461860362064314,0.012619118049084409,0.00015529796368358973,1
19,0.08321246480432165,1B,0.0859375,1B,0.0859375,0.002725035195678349,0.03274792066412656,7.425816817685739e-06,1
20,0.2848773489524206,29,0.28125,28,0.25,0.03487734895242062,0.12242935101957064,0.0012164294699489155,0
21,-0.17152690214297195,A3,-0.171875,A3,-0.171875,0.0003480978570280513,0.0020294067733929166,1.2117211806752163e-07,1
22,-1.5390109825196372,BC,-1.5,BD,-1.625,0.0859890174803628,0.05587290698834608,0.00739411112723814,0
23,0.20583504192733293,25,0.203125,25,0.203125,0.002710041927332929,0.013166086308519178,7.344327247902377e-06,1
24,0.4268258192949741,2E,0.4375,2D,0.40625,0.020575819294974096,0.04820659473918657,0.0004233643396594283,0
25,0.9674076180779614,37,0.9375,38,1.0,0.032592381922038616,0.03369043339434615,0.0010622633593520296,0
26,0.18134563223715205,24,0.1875,26,0.21875,0.037404367762847945,0.20626009736993797,0.0013990867277383786,0
27,0.4688023898047953,2F,0.46875,30,0.5,0.031197610195204672,0.06654746407797761,0.0009732908818919385,0
28,2.0482885603968963,40,2.0,40,2.0,0.04828856039689633,0.02357507693522414,0.0023317850652047048,1
29,-0.33772158351329606,AB,-0.34375,AC,-0.375,0.037278416486703936,0.11038209669307762,0.0013896803357561598,0
30,0.5815664380452509,31,0.5625,31,0.5625,0.019066438045250877,0.0327846257932913,0.0003635290597333901,1
31,-0.05319929959214187,96,-0.0546875,00,0.0,0.05319929959214187,1.0,0.002830165477094466,0
32,-0.5564432427239194,B1,-0.5625,B2,-0.625,0.06855675727608057,0.12320530112016323,0.004700028968211426,0
33,0.18245116415690532,24,0.1875,24,0.1875,0.005048835843094679,0.027672258855814997,2.549074337051756e-05,1
34,1.8506878316971043,3F,1.875,3F,1.875,0.02431216830289573,0.01313682831134258,0.0005910815275883279,1
35,-0.8250325042099921,B5,-0.8125,B5,-0.8125,0.01253250420999208,0.015190315710036841,0.00015706366177346918,1
36,-0.7714311317022587,B4,-0.75,B5,-0.8125,0.04106886829774126,0.05323724517977086,0.0016866519432572169,0
37,-0.2588591844114211,A8,-0.25,A8,-0.25,0.008859184411421084,0.03422395242249017,7.848514843556633e-05,1
38,-0.060293570919555034,97,-0.05859375,98,-0.0625,0.002206429080444966,0.03659476535879473,4.868329287033219e-06,0
39,-0.7256365602197782,B4,-0.75,B4,-0.75,0.02436343978022182,0.033575264968516344,0.000593577197924495,1
40,-1.535513174864548,BC,-1.5,BD,-1.625,0.08948682513545192,0.058278122650003185,0.008007891872822949,0
41,-1.3595932017831056,BB,-1.375,BA,-1.25,0.10959320178310561,0.08060734757968353,0.012010669877072503,0
42,-1.6527886239796485,BD,-1.625,BD,-1.625,0.02778862397964854,0.01681317476202009,0.0007722076226822979,1
43,0.020596382397152224,0B,0.021484375,82,-0.00390625,0.024502632397152224,1.1896570924290133,0.0006003789943899737,0
44,2.093564048971846,40,2.0,40,2.0,0.09356404897184589,0.0446912761125199,0.008754231260005976,1
45,-0.11121061552709466,9E,-0.109375,A2,-0.15625,0.04503938447290534,0.40499177402657416,0.002028546153698187,0
46,-0.5117095473399382,B0,-0.5,B0,-0.5,0.011709547339938231,0.02288319106182195,0.0001371134989062545,1
47,-0.4475283233923347,AE,-0.4375,AF,-0.46875,0.021221676607665274,0.04741973970899013,0.0004503595580403275,0
48,-1.3919693619105424,BB,-1.375,BB,-1.375,0.016969361910542435,0.012190901879658616,0.0002879592436509684,1
49,-1.2065298369302573,BA,-1.25,B9,-1.125,0.08152983693025728,0.06757382572294403,0.006647114309874344,0
50,0.7402387052938789,34,0.75,33,0.6875,0.05273870529387892,0.07124553865761633,0.0027813710360746124,0
51,-1.34876876157705,BB,-1.375,BB,-1.375,0.026231238422949943,0.01944828436883356,0.0006880778692016454,1
52,-0.15068686308448564,A2,-0.15625,A1,-0.140625,0.010061863084485645,0.0667733263439445,0.00010124108873093498,0
53,-0.15244961244741945,A2,-0.15625,A4,-0.1875,0.03505038755258055,0.22991457301781984,0.0012285296675860937,0
54,1.9794748310650399,40,2.0,40,2.0,0.020525168934960147,0.010368997176850565,0.0004212825598086531,1
55,1.4930268672564277,3C,1.5,3C,1.5,0.006973132743572252,0.004670467020051699,4.8624580259479484e-05,1
56,1.769695527918384,3E,1.75,3E,1.75,0.019695527918383915,0.01112933134975535,0.00038791381998384025,1
57,0.8350015095476861,35,0.8125,36,0.875,0.03999849045231385,0.04790229717546346,0.0015998792384638422,0
58,-1.15517546418337,B9,-1.125,BA,-1.25,0.09482453581662997,0.08208669484134554,0.008991692592839341,0
59,-0.8570065135286471,B6,-0.875,B6,-0.875,0.017993486471352904,0.02099574062426474,0.00032376555539475997,1
60,-0.30701129606573396,AA,-0.3125,AA,-0.3125,0.005488703934266037,0.017877856628085942,3.0125870878027476e-05,1
61,0.06290735488401189,18,0.0625,10,0.03125,0.03165735488401189,0.5032377365473637,0.0010021881182522715,0
62,-0.007377668118847602,84,-0.0078125,84,-0.0078125,0.0004348318811523977,0.05893893221376279,1.890787648665329e-07,1
63,-1.5272552141897668,BC,-1.5,BC,-1.5,0.02725521418976684,0.017845880594505724,0.0007428467005300678,1
64,-0.4077591558429536,AD,-0.40625,AC,-0.375,0.03275915584295358,0.08033947337180236,0.0010731622915429197,0
65,-1.099627000880711,B9,-1.125,B9,-1.125,0.02537299911928903,0.02307418706431121,0.0006437890843074419,1
66,-0.4319687881347928,AE,-0.4375,AF,-0.46875,0.03678121186520722,0.08514784603773248,0.0013528575462732604,0
67,-0.07310139906800323,99,-0.0703125,94,-0.046875,0.026226399068003226,0.35876740257195194,0.0006878240080741604,0
68,1.1043470765444252,39,1.125,39,1.125,0.02065292345557479,0.018701478814250272,0.00042654324726183133,1
69,1.074772797416402,39,1.125,38,1.0,0.07477279741640208,0.06957079449363163,0.005590971233474306,0
70,0.4699039272487282,2F,0.46875,2E,0.4375,0.032403927248728204,0.06895862190054915,0.0010500145011408703,0
71,-0.3953535564037791,AD,-0.40625,AD,-0.40625,0.010896443596220884,0.02756126363282849,0.00011873248304562311,1
