test_id,reference_real,reference_rounded_posit32_hex,reference_rounded_posit32_real,hw_hex,hw_real,abs_error,rel_error,squared_error,exact_match_to_reference_rounded_posit32
0,0.25099313146279734,300822BF,0.2509931307286024,300822BE,0.25099312886595726,2.5968400763076716e-09,1.0346259521817154e-08,6.7435783819176334e-18,0
1,0.6111918771470904,39C77122,0.611191876232624,39C77122,0.611191876232624,9.144663914995022e-10,1.4962018077989364e-09,8.362487811821207e-19,1
2,0.905413267205208,3E7C929F,0.9054132662713528,3E7C92A0,0.9054132699966431,2.7914350830826606e-09,3.0830507837588313e-09,7.7921098230647e-18,0
3,0.8417795892181185,3D77EDE0,0.8417795896530151,3D77EDE0,0.8417795896530151,4.348966742284688e-10,5.166396047122261e-10,1.891351172549829e-19,1
4,0.7654382948521389,3C3F3C3A,0.7654382959008217,3C3F3C3A,0.7654382959008217,1.0486828072586718e-09,1.3700422546290918e-09,1.0997356302399286e-18,1
5,-0.07301842001923786,DEA75519,-0.073018420021981,DEA75520,-0.07301841676235199,3.256885872104931e-09,4.460362017209976e-08,1.0607305583916697e-17,0
6,0.7780821929404611,3C730650,0.7780821919441223,3C730650,0.7780821919441223,9.963387892497622e-10,1.2805058363879072e-09,9.92690982963682e-19,1
7,-0.15682654307721333,D5F68DCE,-0.1568265426903963,D5F68DCA,-0.1568265464156866,3.3384732756047697e-09,2.1287680070592876e-08,1.114540381192724e-17,0
8,1.0906145469520154,40B9941F,1.0906145498156548,40B9941E,1.0906145423650742,4.586941271256251e-09,4.205831734113176e-09,2.104003022595391e-17,0
9,0.8965771427250879,3E586146,0.8965771421790123,3E586147,0.8965771459043026,3.179214669302155e-09,3.545946598235974e-09,1.0107405913506011e-17,0
10,-0.9945715188044886,C0163C2D,-0.9945715181529522,C0163C2D,-0.9945715181529522,6.515363804027174e-10,6.550925379261695e-10,4.2449965498827453e-19,1
11,-0.8997485790343287,C19AA13C,-0.8997485786676407,C19AA13C,-0.8997485786676407,3.666880132868755e-10,4.075449762648472e-10,1.3446009908827579e-19,1
12,-0.03672277447226879,E34CAB0A,-0.03672277461737394,E34CAB08,-0.03672277554869652,1.0764277247332643e-09,2.9312265758844797e-08,1.1586966465744322e-18,0
13,0.7561913570764172,3C195C1C,0.7561913579702377,3C195C1C,0.7561913579702377,8.938205731112703e-10,1.1820031593153278e-09,7.989152169169597e-19,1
14,-0.1114660208771367,D9BB7B3F,-0.11146602081134915,D9BB7B3C,-0.11146602220833302,1.3311963198425758e-09,1.1942619906651961e-08,1.7720836419624174e-18,0
15,-0.08235966134169193,DD753D16,-0.08235966134816408,DD753D17,-0.0823596608825028,4.5918913116338445e-10,5.575413056378545e-09,2.1085465817858388e-19,0
16,-1.2563583540304886,BDF2FA64,-1.2563583552837372,BDF2FA64,-1.2563583552837372,1.253248615995517e-09,9.975248001296802e-10,1.5706320934946787e-18,1
17,-1.1767479888281083,BE960527,-1.1767479851841927,BE960527,-1.1767479851841927,3.6439156136935935e-09,3.096598123207732e-09,1.3278120999719958e-17,1
18,0.9875381364031899,3FCCF4CA,0.9875381365418434,3FCCF4CA,0.9875381365418434,1.3865353309938655e-10,1.4040321886139028e-10,1.9224802240942682e-20,1
19,0.08321246588599684,22A6B4C2,0.08321246597915888,22A6B4C6,0.08321246784180403,1.9558071828740253e-09,2.3503776291806207e-08,3.825181736581631e-18,0
20,0.28487735002324643,311DB71B,0.2848773505538702,311DB71B,0.2848773505538702,5.30623767147631e-10,1.8626393677992698e-09,2.8156158226194337e-19,1
21,-0.1715269028704105,D505B406,-0.17152690328657627,D505B404,-0.17152690514922142,2.2788109177440674e-09,1.3285443155618109e-08,5.192979198829559e-18,0
22,-1.53901098513301,BBB01B02,-1.5390109866857529,BBB01B03,-1.5390109792351723,5.897837773716219e-09,3.8322259104645015e-09,3.478449040507389e-17,0
23,0.20583504566586885,2D2C66C1,0.20583504531532526,2D2C66C0,0.20583504438400269,1.2818661687674648e-09,6.227638080875269e-09,1.6431808746305787e-18,0
24,0.4268258200898374,35A88E9F,0.42682581953704357,35A88E9C,0.4268258139491081,6.140729258419242e-09,1.4386967632667476e-08,3.770855582520613e-17,0
25,0.9674076182755673,3F7A8069,0.9674076177179813,3F7A8069,0.9674076177179813,5.575859773898628e-10,5.763712905050059e-10,3.109021221818086e-19,1
26,0.1813456312562094,2B9B2AB5,0.18134563136845827,2B9B2AB4,0.1813456304371357,8.19073697755357e-10,4.5166442228660605e-09,6.708817223546339e-19,0
27,0.46880238944481756,37006DDE,0.46880238875746727,37006DDE,0.46880238875746727,6.873502877979831e-10,1.4661834138942475e-09,4.724504181359702e-19,1
28,2.0482885602035363,4831728E,2.0482885539531708,4831728E,2.0482885539531708,6.2503655584578155e-09,3.051506355060013e-09,3.906706961435568e-17,1
29,-0.33772158420087506,CD316281,-0.33772158436477184,CD316282,-0.3377215825021267,1.6987483641983658e-09,5.030026044139243e-09,2.8857460048666238e-18,0
30,0.5815664349570826,394E189B,0.58156643435359,394E189B,0.58156643435359,6.034925892350884e-10,1.0377018908933834e-09,3.6420330526167116e-19,1
31,-0.053199299048700355,E130C3EF,-0.05319929914548993,E130C3F0,-0.053199298679828644,3.688717109540107e-10,6.933770135135308e-09,1.3606633914213923e-19,0
32,-0.5564432458915418,C718CEF8,-0.5564432442188263,C718CEF8,-0.5564432442188263,1.6727155216500478e-09,3.0060846887807896e-09,2.7979772163689915e-18,1
33,0.1824511637565127,2BAD47A5,0.18245116341859102,2BAD47A6,0.1824511643499136,5.934008839858507e-10,3.25238201701889e-09,3.52124609115189e-19,0
34,1.8506878313358224,46CE356C,1.8506878316402435,46CE356C,1.8506878316402435,3.044211549507736e-10,1.6449081784421908e-10,9.267223958156291e-20,1
35,-0.8250325017118862,C2CCAAB8,-0.825032502412796,C2CCAAB8,-0.825032502412796,7.009097746646376e-10,8.495541366071003e-10,4.91274512220433e-19,1
36,-0.7714311318730511,C3A837D4,-0.7714311331510544,C3A837D4,-0.7714311331510544,1.278003258775584e-09,1.65666539237607e-09,1.6332923294410125e-18,1
37,-0.25885918476966924,CFB76CF1,-0.2588591855019331,CFB76CF0,-0.25885918736457825,2.5949090098897898e-09,1.002440385570525e-08,6.733552769607209e-18,0
38,-0.06029357151455261,E0484CDD,-0.060293571557849646,E0484CDA,-0.06029357295483351,1.440280894549062e-09,2.388780193924044e-08,2.074409055203046e-18,0
39,-0.7256365633522446,C463CAEA,-0.7256365641951561,C463CAEA,-0.7256365641951561,8.429115183616886e-10,1.1616166562330672e-09,7.104998277868074e-19,1
40,-1.535513174635132,BBB744DE,-1.5355131775140762,BBB744DE,-1.5355131775140762,2.878944194151245e-09,1.874906866126589e-09,8.288319673037162e-18,1
41,-1.3595932060760791,BD1F8D99,-1.359593205153942,BD1F8D98,-1.3595932126045227,6.528443563524888e-09,4.801762420074622e-09,4.262057536212954e-17,0
42,-1.652788624509658,BAC716C2,-1.6527886241674423,BAC716C2,-1.6527886241674423,3.422155891996681e-10,2.070534514364746e-10,1.17111509491276e-19,1
43,0.02059638271810138,1945CDF6,0.020596382673829794,1945CE00,0.02059638500213623,2.284034850141836e-09,1.1089495089516299e-07,5.21681519666244e-18,0
44,2.093564048838194,485FCF41,2.093564048409462,485FCF41,2.093564048409462,4.287321608842376e-10,2.047857867649948e-10,1.838112657764678e-19,1
45,-0.1112106156991248,D9C3D9BD,-0.11121061583980918,D9C3D9BD,-0.11121061583980918,1.406843808116065e-10,1.2650265437988547e-09,1.9792095004345116e-20,1
46,-0.5117095478768534,C7D009A6,-0.5117095485329628,C7D009A6,-0.5117095485329628,6.561093890411485e-10,1.2821910237231804e-09,4.304795303879491e-19,1
47,-0.44752832140111076,C9ADD916,-0.44752832129597664,C9ADD916,-0.44752832129597664,1.0513412362911367e-10,2.3492172137835283e-10,1.1053183951261758e-20,1
48,-1.3919693627040584,BCDD3F2B,-1.3919693604111671,BCDD3F2A,-1.3919693678617477,5.157689386692255e-09,3.705318180762871e-09,2.6601759809597926e-17,0
49,-1.2065298344848148,BE5906E3,-1.2065298333764076,BE5906E3,-1.2065298333764076,1.1084071438460796e-09,9.186736309089006e-10,1.2285663965290239e-18,1
50,0.7402387050630017,3BD8048A,0.7402387037873268,3BD8048A,0.7402387037873268,1.2756748990483402e-09,1.7233290968482491e-09,1.627346448061993e-18,1
51,-1.348768761796619,BD35B8B9,-1.348768763244152,BD35B8BA,-1.3487687557935715,6.003047614555612e-09,4.450761156834096e-09,3.6036580662621826e-17,0
52,-0.15068686354166597,D65B257C,-0.150686863809824,D65B257C,-0.150686863809824,2.6815802356416896e-10,1.7795713392761765e-09,7.190872560184139e-20,1
53,-0.1524496126165445,D63E43FB,-0.15244961250573397,D63E43FB,-0.15244961250573397,1.108105274205684e-10,7.268665726248147e-10,1.2278972987224542e-20,1
54,1.979474828068843,47D5F6E6,1.9794748276472092,47D5F6E7,1.9794748350977898,7.028946757969834e-09,3.5509149489045072e-09,4.940609252637464e-17,0
55,1.4930268641320903,43F1B812,1.4930268675088882,43F1B812,1.4930268675088882,3.376797952370225e-09,2.261712788626337e-09,1.1402764411131746e-17,1
56,1.7696955272116845,46285621,1.7696955278515816,46285621,1.7696955278515816,6.398970242571522e-10,3.6158594199837747e-10,4.0946820165315846e-19,1
57,0.835001510173164,3D5C2A8B,0.8350015096366405,3D5C2A8A,0.8350015059113503,4.261813790762403e-09,5.103959380718462e-09,1.8163056787132605e-17,0
58,-1.1551754630299425,BEC2335E,-1.1551754623651505,BEC2335E,-1.1551754623651505,6.64791999227532e-10,5.754900623354916e-10,4.419484022369389e-19,1
59,-0.8570065147279567,C249B389,-0.8570065163075924,C249B38A,-0.8570065125823021,2.1456546539511123e-09,2.5036620108217225e-09,4.6038338940220676e-18,0
60,-0.30701129430929286,CE2CF6A6,-0.30701129510998726,CE2CF6A6,-0.30701129510998726,8.006943996718974e-10,2.6080291328476422e-09,6.411115216659401e-19,1
61,0.06290735301070893,200D5920,0.06290735304355621,200D5924,0.06290735490620136,1.895492429682122e-09,3.013149240851774e-08,3.5928915509822336e-18,0
62,-0.007377670019593774,EC71FCF2,-0.007377670030109584,EC71FCF8,-0.007377669680863619,3.387301550361599e-10,4.5912890402600425e-08,1.1473811793082091e-19,0
63,-1.527255213612675,BBC82E6B,-1.5272552147507668,BBC82E6B,-1.5272552147507668,1.1380918429892972e-09,7.451877281840645e-10,1.2952530430787752e-18,1
64,-0.4077591566085632,CAF3A312,-0.4077591560781002,CAF3A312,-0.4077591560781002,5.304630068536653e-10,1.3009223661969024e-09,2.813910016402318e-19,1
65,-1.0996270029261792,BF33F6C2,-1.0996270030736923,BF33F6C2,-1.0996270030736923,1.475131128358953e-10,1.3414831796905067e-10,2.1760118458535578e-20,1
66,-0.4319687875469138,CA2D4FCB,-0.43196878768503666,CA2D4FCB,-0.43196878768503666,1.3812284649361573e-10,3.1975191373894104e-10,1.9077920723498934e-20,1
67,-0.07310139919657227,DEA49D05,-0.07310139900073409,DEA49D04,-0.07310139946639538,2.6982310830092615e-10,3.691079941922345e-09,7.280450977317332e-20,0
68,1.1043470760637537,40D5B3EB,1.1043470725417137,40D5B3EC,1.1043470799922943,3.928540603936881e-09,3.5573423329370837e-09,1.5433431276780753e-17,0
69,1.0747727995306926,4099227B,1.074772797524929,4099227B,1.074772797524929,2.005763555246176e-09,1.866220987470103e-09,4.02308743955378e-18,1
70,0.4699039288424551,370973F7,0.4699039291590452,370973F6,0.46990392729640007,1.5460550062407208e-09,3.2901512657049254e-09,2.390286082321995e-18,0
71,-0.39535355512007175,CB594380,-0.3953535556793213,CB594380,-0.3953535556793213,5.592495355699612e-10,1.4145554740240366e-09,3.1276004303521725e-19,1
72,0.2863596259827852,3129DBAA,0.28635962679982185,3129DBAA,0.28635962679982185,8.170366605497748e-10,2.853183851409597e-09,6.675489046823279e-19,1
73,-1.1708193480700322,BEA22977,-1.1708193495869637,BEA22978,-1.170819342136383,5.933649127598528e-09,5.067945911023337e-09,3.5208191969450774e-17,0
74,0.2516593183768807,300D97D8,0.2516593188047409,300D97D8,0.2516593188047409,4.27860191720697e-10,1.7001563640887752e-09,1.830643436592716e-19,1
75,0.022493247689269004,19C21E13,0.02249324764125049,19C21E15,0.02249324810691178,4.1764277453060217e-10,1.856747323908453e-08,1.744254871176194e-19,0
76,-0.9893515341673699,C02B9DBA,-0.9893515333533287,C02B9DB9,-0.989351537078619,2.9112491306548804e-09,2.942583126537489e-09,8.475371500738797e-18,0
77,0.22134208583727477,2E2A77FF,0.2213420858606696,2E2A7800,0.2213420867919922,9.547174162349847e-10,4.313311734745598e-09,9.114853448624051e-19,0
78,0.30732601433114115,31D59D5E,0.3073260150849819,31D59D5E,0.3073260150849819,7.538407675866665e-10,2.4529025609085263e-09,5.682759028756546e-19,1
79,-1.450890843630668,BC649357,-1.4508908465504646,BC649358,-1.450890839099884,4.530783970224661e-09,3.122760054703327e-09,2.0528003384844742e-17,0
80,1.2724784349100888,422E092C,1.2724784314632416,422E092C,1.2724784314632416,3.4468472520643445e-09,2.7087667323084283e-09,1.1880755979063523e-17,1
81,1.8317506414133546,46A76CE1,1.831750638782978,46A76CE1,1.831750638782978,2.6303765832125237e-09,1.435990534815896e-09,6.91888096951279e-18,1
82,-0.8137752643363816,C2FAC6CA,-0.8137752637267113,C2FAC6CA,-0.8137752637267113,6.096703142333126e-10,7.491875717437631e-10,3.7169789205734617e-19,1
83,-0.8028591838275432,C3277D21,-0.8028591834008694,C3277D22,-0.8028591796755791,4.151964105858497e-09,5.171472394529341e-09,1.7238805936337345e-17,0
