test_id,A0_hex,A1_hex,A2_hex,A3_hex,B0_hex,B1_hex,B2_hex,B3_hex,C0_hex,A0_real,A1_real,A2_real,A3_real,B0_real,B1_real,B2_real,B3_real,C0_real,reference_real
0,A3,B8,32,AD,A8,B2,20,B3,B4,-0.171875,-1.0,0.625,-0.40625,-0.25,-0.625,0.125,-0.6875,-0.75,0.275390625
1,A1,20,B2,1E,A9,37,B5,37,A3,-0.140625,0.125,-0.625,0.109375,-0.28125,0.9375,-0.8125,0.9375,-0.171875,0.59521484375
2,04,B3,2E,B2,AA,B7,AA,37,37,0.0078125,-0.6875,0.4375,-0.625,-0.3125,-0.9375,-0.3125,0.9375,0.9375,0.85693359375
3,30,B8,36,34,31,B2,B5,A3,34,0.5,-1.0,0.875,0.75,0.5625,-0.625,-0.8125,-0.171875,0.75,0.81640625
4,22,2F,B1,14,2D,32,32,B1,34,0.15625,0.46875,-0.5625,0.046875,0.40625,0.625,0.625,-0.5625,0.75,0.728515625
5,B1,32,1E,B2,23,11,37,B7,B3,-0.5625,0.625,0.109375,-0.625,0.171875,0.03515625,0.9375,-0.9375,-0.6875,-0.07373046875
6,37,33,B3,B1,1A,B3,AB,B6,2E,0.9375,0.6875,-0.6875,-0.5625,0.078125,-0.6875,-0.34375,-0.875,0.4375,0.7666015625
7,B5,38,35,31,31,A8,2B,30,92,-0.8125,1.0,0.8125,0.5625,0.5625,-0.25,0.34375,0.5,-0.0390625,-0.185546875
8,B6,28,AB,26,A2,36,B2,31,2D,-0.875,0.25,-0.34375,0.21875,-0.15625,0.875,-0.625,0.5625,0.40625,1.099609375
9,1E,B5,B3,37,B1,B3,AE,1A,12,0.109375,-0.8125,-0.6875,0.9375,-0.5625,-0.6875,-0.4375,0.078125,0.0390625,0.91015625
10,B8,B8,84,B2,26,32,B5,05,A4,-1.0,-1.0,-0.0078125,-0.625,0.21875,0.625,-0.8125,0.009765625,-0.1875,-1.031005859375
11,31,37,A3,B0,34,B7,AB,A5,B2,0.5625,0.9375,-0.171875,-0.5,0.75,-0.9375,-0.34375,-0.203125,-0.625,-0.92138671875
12,2C,11,B0,A3,2C,AB,B6,9A,B2,0.375,0.03515625,-0.5,-0.171875,0.375,-0.34375,-0.875,-0.078125,-0.625,-0.0455322265625
13,28,B2,B4,35,AB,AD,1A,2C,2B,0.25,-0.625,-0.75,0.8125,-0.34375,-0.40625,0.078125,0.375,0.34375,0.7578125
14,32,AF,A1,A9,11,21,28,B6,A8,0.625,-0.46875,-0.140625,-0.28125,0.03515625,0.140625,0.25,-0.875,-0.25,-0.0830078125
15,2D,B7,30,2C,A5,9D,AF,2F,92,0.40625,-0.9375,0.5,0.375,-0.203125,-0.1015625,-0.46875,0.46875,-0.0390625,-0.0849609375
16,AF,B7,AA,35,2B,28,36,B7,25,-0.46875,-0.9375,-0.3125,0.8125,0.34375,0.25,0.875,-0.9375,0.203125,-1.2275390625
17,B2,A5,B2,AA,35,2E,33,B6,AD,-0.625,-0.203125,-0.625,-0.3125,0.8125,0.4375,0.6875,-0.875,-0.40625,-1.1591796875
18,31,B7,B2,B5,32,B1,A2,B8,B4,0.5625,-0.9375,-0.625,-0.8125,0.625,-0.5625,-0.15625,-1.0,-0.75,1.0390625
19,0E,31,AA,AC,B7,B5,B3,B1,21,0.02734375,0.5625,-0.3125,-0.375,-0.9375,-0.8125,-0.6875,-0.5625,0.140625,0.083740234375
20,A9,37,AE,33,B5,16,1D,2A,A4,-0.28125,0.9375,-0.4375,0.6875,-0.8125,0.0546875,0.1015625,0.3125,-0.1875,0.2626953125
21,14,31,B3,18,23,31,B3,A3,B7,0.046875,0.5625,-0.6875,0.0625,0.171875,0.5625,-0.6875,-0.171875,-0.9375,-0.151123046875
22,2A,34,A9,32,2A,B7,97,B7,AC,0.3125,0.75,-0.28125,0.625,0.3125,-0.9375,-0.05859375,-0.9375,-0.375,-1.5499267578125
23,32,B4,20,B6,B4,36,B5,B2,36,0.625,-0.75,0.125,-0.875,-0.75,0.875,-0.8125,-0.625,0.875,0.1953125
24,AC,B1,B5,81,B6,B1,B1,30,B3,-0.375,-0.5625,-0.8125,-0.001953125,-0.875,-0.5625,-0.5625,0.5,-0.6875,0.4130859375
25,23,B0,38,38,36,35,1E,36,29,0.171875,-0.5,1.0,1.0,0.875,0.8125,0.109375,0.875,0.28125,1.009765625
26,B3,2F,33,B8,B2,31,31,20,B4,-0.6875,0.46875,0.6875,-1.0,-0.625,0.5625,0.5625,0.125,-0.75,0.205078125
27,AF,B0,37,B1,A8,2C,2A,20,2A,-0.46875,-0.5,0.9375,-0.5625,-0.25,0.375,0.3125,0.125,0.3125,0.46484375
28,34,35,B5,B7,35,35,A8,A5,2C,0.75,0.8125,-0.8125,-0.9375,0.8125,0.8125,-0.25,-0.203125,0.375,2.0380859375
29,A2,B4,B0,AD,20,B3,2F,37,A7,-0.15625,-0.75,-0.5,-0.40625,0.125,-0.6875,0.46875,0.9375,-0.234375,-0.353515625
30,21,29,32,28,10,2E,B7,36,35,0.140625,0.28125,0.625,0.25,0.03125,0.4375,-0.9375,0.875,0.8125,0.57275390625
31,2C,B2,28,B7,A5,B1,20,B0,B5,0.375,-0.625,0.25,-0.9375,-0.203125,-0.5625,0.125,-0.5,-0.8125,-0.037109375
32,31,B0,1F,B7,20,31,31,AB,B4,0.5625,-0.5,0.1171875,-0.9375,0.125,0.5625,0.5625,-0.34375,-0.75,-0.57275390625
33,26,AC,AE,B1,A6,2C,A5,29,2F,0.21875,-0.375,-0.4375,-0.5625,-0.21875,0.375,-0.203125,0.28125,0.46875,0.2109375
34,32,21,38,02,1A,2A,37,2D,35,0.625,0.140625,1.0,0.00390625,0.078125,0.3125,0.9375,0.40625,0.8125,1.8443603515625
35,B3,A2,2D,2F,33,AF,AC,A3,A6,-0.6875,-0.15625,0.40625,0.46875,0.6875,-0.46875,-0.375,-0.171875,-0.21875,-0.85107421875
36,B5,A6,29,2F,B1,27,30,B3,B8,-0.8125,-0.21875,0.28125,0.46875,-0.5625,0.234375,0.5,-0.6875,-1.0,-0.77587890625
37,B3,2B,35,A6,AC,28,AC,B7,B0,-0.6875,0.34375,0.8125,-0.21875,-0.375,0.25,-0.375,-0.9375,-0.5,-0.255859375
38,25,9B,AA,A6,B4,31,A8,2C,21,0.203125,-0.0859375,-0.3125,-0.21875,-0.75,0.5625,-0.25,0.375,0.140625,-0.06396484375
39,35,31,B4,9C,B8,30,B1,37,B1,0.8125,0.5625,-0.75,-0.09375,-1.0,0.5,-0.5625,0.9375,-0.5625,-0.759765625
40,08,89,32,24,34,AC,B5,B2,B7,0.015625,-0.017578125,0.625,0.1875,0.75,-0.375,-0.8125,-0.625,-0.9375,-1.544189453125
41,2D,2C,30,31,B4,B6,2A,B8,AA,0.40625,0.375,0.5,0.5625,-0.75,-0.875,0.3125,-1.0,-0.3125,-1.3515625
42,23,2A,27,36,37,AC,AC,B7,B4,0.171875,0.3125,0.234375,0.875,0.9375,-0.375,-0.375,-0.9375,-0.75,-1.6142578125
43,A0,29,B0,B5,2C,2B,00,B3,B2,-0.125,0.28125,-0.5,-0.8125,0.375,0.34375,0.0,-0.6875,-0.625,-0.0166015625
44,AF,33,36,B6,36,35,31,B1,37,-0.46875,0.6875,0.875,-0.875,0.875,0.8125,0.5625,-0.5625,0.9375,2.0703125
45,32,B4,B7,A8,22,B7,37,2B,11,0.625,-0.75,-0.9375,-0.25,0.15625,-0.9375,0.9375,0.34375,0.03515625,-0.12890625
46,88,B5,30,2F,B7,32,A9,36,AA,-0.015625,-0.8125,0.5,0.46875,-0.9375,0.625,-0.28125,0.875,-0.3125,-0.5361328125
47,B1,B2,AB,B6,B3,96,1D,1F,B4,-0.5625,-0.625,-0.34375,-0.875,-0.6875,-0.0546875,0.1015625,0.1171875,-0.75,-0.466552734375
48,B7,B3,35,B4,2C,1E,25,36,B0,-0.9375,-0.6875,0.8125,-0.75,0.375,0.109375,0.203125,0.875,-0.5,-1.41796875
49,2D,11,A8,A5,B2,B5,35,29,B3,0.40625,0.03515625,-0.25,-0.203125,-0.625,-0.8125,0.8125,0.28125,-0.6875,-1.230224609375
50,32,B2,2A,23,31,A3,37,2E,9D,0.625,-0.625,0.3125,0.171875,0.5625,-0.171875,0.9375,0.4375,-0.1015625,0.7255859375
51,B4,AF,B4,13,32,2F,29,A1,AE,-0.75,-0.46875,-0.75,0.04296875,0.625,0.46875,0.28125,-0.140625,-0.4375,-1.34295654296875
52,32,2B,2A,1F,31,23,AF,A8,AC,0.625,0.34375,0.3125,0.1171875,0.5625,0.171875,-0.46875,-0.25,-0.375,-0.14013671875
53,AD,35,2E,27,9D,8F,B5,95,23,-0.40625,0.8125,0.4375,0.234375,-0.1015625,-0.029296875,-0.8125,-0.05078125,0.171875,-0.17803955078125
54,AA,07,38,35,B6,36,31,32,32,-0.3125,0.013671875,1.0,0.8125,-0.875,0.875,0.5625,0.625,0.625,1.980712890625
55,B1,B4,29,32,B5,B8,36,35,AF,-0.5625,-0.75,0.28125,0.625,-0.8125,-1.0,0.875,0.8125,-0.46875,1.4921875
56,33,AD,33,B8,26,B1,29,B7,29,0.6875,-0.40625,0.6875,-1.0,0.21875,-0.5625,0.28125,-0.9375,0.28125,1.791015625
57,B5,9E,B6,A7,B3,AB,98,2A,29,-0.8125,-0.109375,-0.875,-0.234375,-0.6875,-0.34375,-0.0625,0.3125,0.28125,0.85888671875
58,14,33,A3,B3,2C,A9,36,A6,B8,0.046875,0.6875,-0.171875,-0.6875,0.375,-0.28125,0.875,-0.21875,-1.0,-1.17578125
59,AA,37,93,32,A8,26,B6,B2,B5,-0.3125,0.9375,-0.04296875,0.625,-0.25,0.21875,-0.875,-0.625,-0.8125,-0.88232421875
60,A4,AB,1F,2A,B0,AF,B7,B4,A7,-0.1875,-0.34375,0.1171875,0.3125,-0.5,-0.46875,-0.9375,-0.75,-0.234375,-0.32373046875
61,35,B2,A4,B8,23,A2,AB,A6,AF,0.8125,-0.625,-0.1875,-1.0,0.171875,-0.15625,-0.34375,-0.21875,-0.46875,0.0517578125
62,A4,B2,2E,36,35,A9,B8,31,9A,-0.1875,-0.625,0.4375,0.875,0.8125,-0.28125,-1.0,0.5625,-0.078125,0.0
63,1C,2A,32,11,A0,B4,B7,B3,B3,0.09375,0.3125,0.625,0.03515625,-0.125,-0.75,-0.9375,-0.6875,-0.6875,-1.543701171875
64,36,21,B7,AC,A3,33,A3,1C,AF,0.875,0.140625,-0.9375,-0.375,-0.171875,0.6875,-0.171875,0.09375,-0.46875,-0.396484375
65,AB,B5,31,8B,2F,21,B5,AF,AC,-0.34375,-0.8125,0.5625,-0.021484375,0.46875,0.140625,-0.8125,-0.46875,-0.375,-1.09735107421875
66,31,AA,37,31,2C,18,2C,AA,B5,0.5625,-0.3125,0.9375,0.5625,0.375,0.0625,0.375,-0.3125,-0.8125,-0.4453125
67,33,9A,37,2F,22,A1,2C,B0,A9,0.6875,-0.078125,0.9375,0.46875,0.15625,-0.140625,0.375,-0.5,-0.28125,-0.045654296875
68,AC,32,36,B5,B7,A9,2C,A0,30,-0.375,0.625,0.875,-0.8125,-0.9375,-0.28125,0.375,-0.125,0.5,1.10546875
69,37,2B,2B,B3,23,28,B2,B7,2B,0.9375,0.34375,0.34375,-0.6875,0.171875,0.25,-0.625,-0.9375,0.34375,1.0205078125
70,38,29,B2,34,AC,AA,32,31,36,1.0,0.28125,-0.625,0.75,-0.375,-0.3125,0.625,0.5625,0.875,0.443359375
71,34,B8,B1,23,B1,33,2F,30,36,0.75,-1.0,-0.5625,0.171875,-0.5625,0.6875,0.46875,0.5,0.875,-0.412109375
