test_id,A0_hex,A1_hex,A2_hex,A3_hex,B0_hex,B1_hex,B2_hex,B3_hex,C0_hex,A0_raw,A1_raw,A2_raw,A3_raw,B0_raw,B1_raw,B2_raw,B3_raw,C0_raw,A0_quantized_real,A1_quantized_real,A2_quantized_real,A3_quantized_real,B0_quantized_real,B1_quantized_real,B2_quantized_real,B3_quantized_real,C0_quantized_real,reference_real,quantized_input_reference_real
0,FB,E1,14,F4,F8,ED,04,EB,FCFF,-0.16676025490931767,-0.9796616610858633,0.6504130185074863,-0.4027202896008144,-0.2631766210230486,-0.6126773019098515,0.13201633745772257,-0.6766243521412636,-0.7514662314329397,-0.15625,-0.96875,0.625,-0.375,-0.25,-0.59375,0.125,-0.65625,-0.7509765625,0.25099313185712013,0.1875
1,FC,03,EC,03,F7,1D,E6,1E,FF4D,-0.13412746398016817,0.12415697615168586,-0.6513128785525364,0.10644217113865961,-0.29019722732680253,0.9161295701990972,-0.8174118022465298,0.9572799911408201,-0.175761214121398,-0.125,0.09375,-0.625,0.09375,-0.28125,0.90625,-0.8125,0.9375,-0.1748046875,0.6111918757617155,0.541015625
2,00,EA,0E,ED,F6,E2,F6,1D,03D4,0.007870736220074948,-0.7037076621396217,0.4379342806017701,-0.6200572425563593,-0.31687914845289566,-0.9529575637155989,-0.3209644552041586,0.9349649177597428,0.9575969083713136,0.0,-0.6875,0.4375,-0.59375,-0.3125,-0.9375,-0.3125,0.90625,0.95703125,0.905413268879161,0.9267578125
3,0F,E1,1C,17,11,EC,E7,FB,0315,0.48906008028206926,-0.9930907784898089,0.8804770061954856,0.7415339375109526,0.5416686770336216,-0.6422524707529698,-0.8010007343807772,-0.17093506297628447,0.771072934290959,0.46875,-0.96875,0.875,0.71875,0.53125,-0.625,-0.78125,-0.15625,0.7705078125,0.8417795882589152,0.8291015625
4,04,0F,EF,01,0D,14,13,EF,02FC,0.1561720547326464,0.47316442988816454,-0.5347577935431846,0.04719516032931681,0.4187728749682633,0.6496678937955613,0.6142490661181659,-0.5353837740450758,0.7463799342397583,0.125,0.46875,-0.53125,0.03125,0.40625,0.625,0.59375,-0.53125,0.74609375,0.7654382948371868,0.7578125
5,EE,13,03,EC,05,01,1D,E3,FD51,-0.5672391394199106,0.6037984752066285,0.11017059787675487,-0.6283432802895681,0.17721723666303202,0.03647877150816736,0.9173250068704641,-0.9169215562972763,-0.67172343579938,-0.5625,0.59375,0.09375,-0.625,0.15625,0.03125,0.90625,-0.90625,-0.6708984375,-0.0730184190941866,-0.0888671875
6,1E,15,EA,EF,02,EB,F5,E4,01B1,0.9665853062950225,0.664409771701046,-0.6994550680367617,-0.5417740590911013,0.07827654990504485,-0.6860383393464529,-0.35247854869302886,-0.9013615539537378,0.42335458763113265,0.9375,0.65625,-0.6875,-0.53125,0.0625,-0.65625,-0.34375,-0.875,0.4228515625,0.7780821892252374,0.751953125
7,E6,1F,1A,12,11,F8,0B,10,FFD9,-0.8428745062932308,0.9892085015636325,0.8411396768612389,0.5776577444629247,0.5448117809345521,-0.2644953993655632,0.3574123458940295,0.5225175339207782,-0.038447490008934215,-0.8125,0.96875,0.8125,0.5625,0.53125,-0.25,0.34375,0.5,-0.0380859375,-0.15682654334523616,-0.1513671875
8,E4,08,F5,07,FB,1C,ED,11,0196,-0.8769499061432817,0.2522078974811848,-0.3484783355595489,0.22017814168426653,-0.15834307785922053,0.9050615660817887,-0.5968107675867218,0.5377127328939211,0.3971237110999468,-0.875,0.25,-0.34375,0.21875,-0.15625,0.875,-0.59375,0.53125,0.396484375,1.0906145462607344,1.072265625
9,03,E6,EB,1D,EF,EB,F3,02,0028,0.11312599703162118,-0.8399074450896227,-0.670096577815638,0.9345639547043396,-0.5387149422876205,-0.6729139363355121,-0.4234086550750653,0.07424105838828887,0.039226676459912735,0.09375,-0.8125,-0.65625,0.90625,-0.53125,-0.65625,-0.40625,0.0625,0.0390625,0.8965771444426726,0.845703125
