test_id,A0_hex,A1_hex,A2_hex,A3_hex,B0_hex,B1_hex,B2_hex,B3_hex,C0_hex,A0_int,A1_int,A2_int,A3_int,B0_int,B1_int,B2_int,B3_int,C0_int,reference_int,input_width,output_width,operand_range,c_range
0,03,F6,FF,01,FC,FE,08,03,FFC5,3,-10,-1,1,-4,-2,8,3,-59,-56,8,16,10,100
1,01,F9,03,FE,07,0A,FB,09,0029,1,-7,3,-2,7,10,-5,9,41,-55,8,16,10,100
2,FB,01,F8,06,03,08,06,FB,FFC1,-5,1,-8,6,3,8,6,-5,-63,-148,8,16,10,100
3,FC,F8,FC,00,00,F6,04,00,FFA2,-4,-8,-4,0,0,-10,4,0,-94,-30,8,16,10,100
4,06,03,F6,F6,FB,08,FB,FF,FFB5,6,3,-10,-10,-5,8,-5,-1,-75,-21,8,16,10,100
5,0A,03,F9,08,FB,02,FD,06,0034,10,3,-7,8,-5,2,-3,6,52,77,8,16,10,100
6,00,F7,FD,F9,05,FC,07,FB,FFDD,0,-9,-3,-7,5,-4,7,-5,-35,15,8,16,10,100
7,08,03,06,FA,F7,FB,FF,F6,FFC2,8,3,6,-6,-9,-5,-1,-10,-62,-95,8,16,10,100
8,FD,01,07,00,FB,02,00,F6,FFA8,-3,1,7,0,-5,2,0,-10,-88,-71,8,16,10,100
9,F7,04,F8,02,FB,F6,01,FC,0049,-9,4,-8,2,-5,-10,1,-4,73,62,8,16,10,100
10,06,F9,05,09,F7,F6,0A,05,FFEF,6,-7,5,9,-9,-10,10,5,-17,94,8,16,10,100
11,09,03,07,FC,01,F9,07,FA,FFB0,9,3,7,-4,1,-7,7,-6,-80,-19,8,16,10,100
12,05,FB,00,FD,FC,FB,FB,FF,FFC2,5,-5,0,-3,-4,-5,-5,-1,-62,-54,8,16,10,100
13,07,F8,06,F6,FA,F6,05,FB,0037,7,-8,6,-10,-6,-10,5,-5,55,173,8,16,10,100
14,F9,FE,06,02,F8,04,03,FB,FFDA,-7,-2,6,2,-8,4,3,-5,-38,18,8,16,10,100
15,FB,F6,01,00,FB,02,FB,FB,002E,-5,-10,1,0,-5,2,-5,-5,46,46,8,16,10,100
16,06,FD,03,06,03,00,F9,F8,0040,6,-3,3,6,3,0,-7,-8,64,13,8,16,10,100
17,04,FC,0A,09,08,FC,FA,06,FFD7,4,-4,10,9,8,-4,-6,6,-41,1,8,16,10,100
18,00,08,FF,FA,07,06,F7,FE,0062,0,8,-1,-6,7,6,-9,-2,98,167,8,16,10,100
19,03,F7,01,06,07,08,F9,0A,005E,3,-9,1,6,7,8,-7,10,94,96,8,16,10,100
20,F8,FA,01,0A,F7,FE,04,01,0002,-8,-6,1,10,-9,-2,4,1,2,100,8,16,10,100
21,FF,04,09,FE,FF,05,05,F7,FFDF,-1,4,9,-2,-1,5,5,-9,-33,51,8,16,10,100
22,04,F6,FD,01,FA,F6,0A,F8,FFA3,4,-10,-3,1,-6,-10,10,-8,-93,-55,8,16,10,100
23,F9,09,FC,02,05,FB,FE,01,FFD1,-7,9,-4,2,5,-5,-2,1,-47,-117,8,16,10,100
24,FF,00,02,F8,09,FF,01,F7,0007,-1,0,2,-8,9,-1,1,-9,7,72,8,16,10,100
25,FC,FB,F8,FA,FF,FD,00,03,FFCF,-4,-5,-8,-6,-1,-3,0,3,-49,-48,8,16,10,100
26,F6,FA,F9,06,F7,00,02,00,FFA6,-10,-6,-7,6,-9,0,2,0,-90,-14,8,16,10,100
27,FD,F9,05,FA,08,FC,FE,08,0024,-3,-7,5,-6,8,-4,-2,8,36,-18,8,16,10,100
28,01,FB,FF,F7,F8,F9,06,FC,0028,1,-5,-1,-9,-8,-7,6,-4,40,97,8,16,10,100
29,06,03,06,F6,06,FA,08,07,FFEF,6,3,6,-10,6,-6,8,7,-17,-21,8,16,10,100
30,08,FB,04,03,04,F6,01,F6,FFFF,8,-5,4,3,4,-10,1,-10,-1,55,8,16,10,100
