test_id,A0_hex,A1_hex,A2_hex,A3_hex,B0_hex,B1_hex,B2_hex,B3_hex,C0_hex,A0_real,A1_real,A2_real,A3_real,B0_real,B1_real,B2_real,B3_real,C0_real,reference_real
0,F5,C1,2A,E6,EF,D9,08,D5,D0,-0.171875,-0.984375,0.65625,-0.40625,-0.265625,-0.609375,0.125,-0.671875,-0.75,0.25048828125
1,F7,08,D6,07,ED,3B,CC,3D,F5,-0.140625,0.125,-0.65625,0.109375,-0.296875,0.921875,-0.8125,0.953125,-0.171875,0.62255859375
2,01,D3,1C,D8,EC,C3,EB,3C,3D,0.015625,-0.703125,0.4375,-0.625,-0.3125,-0.953125,-0.328125,0.9375,0.953125,0.888916015625
3,1F,C0,38,2F,23,D7,CD,F5,31,0.484375,-1.0,0.875,0.734375,0.546875,-0.640625,-0.796875,-0.171875,0.765625,0.84765625
4,0A,1E,DE,03,1B,2A,27,DE,30,0.15625,0.46875,-0.53125,0.046875,0.421875,0.65625,0.609375,-0.53125,0.75,0.77490234375
5,DC,27,07,D8,0B,02,3B,C5,D5,-0.5625,0.609375,0.109375,-0.625,0.171875,0.03125,0.921875,-0.921875,-0.671875,-0.072509765625
6,3E,2B,D3,DD,05,D4,E9,C6,1B,0.96875,0.671875,-0.703125,-0.546875,0.078125,-0.6875,-0.359375,-0.90625,0.421875,0.783935546875
7,CA,3F,36,25,23,EF,17,21,FE,-0.84375,0.984375,0.84375,0.578125,0.546875,-0.265625,0.359375,0.515625,-0.03125,-0.15283203125
8,C8,10,EA,0E,F6,3A,DA,22,19,-0.875,0.25,-0.34375,0.21875,-0.15625,0.90625,-0.59375,0.53125,0.390625,1.07421875
9,07,CA,D5,3C,DE,D5,E5,05,03,0.109375,-0.84375,-0.671875,0.9375,-0.53125,-0.671875,-0.421875,0.078125,0.046875,0.912353515625
10,C0,C0,FF,D8,0E,26,CC,01,F4,-1.0,-1.0,-0.015625,-0.625,0.21875,0.59375,-0.8125,0.015625,-0.1875,-0.9970703125
11,25,3A,F5,DF,30,C3,EA,F3,D7,0.578125,0.90625,-0.171875,-0.515625,0.75,-0.953125,-0.34375,-0.203125,-0.640625,-0.906982421875
12,17,02,E0,F5,19,EA,C9,FB,D9,0.359375,0.03125,-0.5,-0.171875,0.390625,-0.34375,-0.859375,-0.078125,-0.609375,-0.03662109375
13,10,DA,D1,32,EA,E5,05,19,16,0.25,-0.59375,-0.734375,0.78125,-0.34375,-0.421875,0.078125,0.390625,0.34375,0.756103515625
14,26,E1,F7,EF,02,09,11,C9,F0,0.59375,-0.484375,-0.140625,-0.265625,0.03125,0.140625,0.265625,-0.859375,-0.25,-0.108642578125
15,1B,C5,20,18,F3,F9,E2,1E,FD,0.421875,-0.921875,0.5,0.375,-0.203125,-0.109375,-0.46875,0.46875,-0.046875,-0.09033203125
16,E2,C4,EC,36,17,10,38,C4,0D,-0.46875,-0.9375,-0.3125,0.84375,0.359375,0.25,0.875,-0.9375,0.203125,-1.26416015625
17,D8,F3,D7,ED,33,1D,2C,CA,E7,-0.625,-0.203125,-0.640625,-0.296875,0.796875,0.453125,0.6875,-0.84375,-0.390625,-1.170654296875
18,24,C5,D8,CA,29,DE,F6,C2,CF,0.5625,-0.921875,-0.625,-0.84375,0.640625,-0.53125,-0.15625,-0.96875,-0.765625,0.99951171875
19,02,25,EC,E9,C5,CD,D3,DA,09,0.03125,0.578125,-0.3125,-0.359375,-0.921875,-0.796875,-0.703125,-0.59375,0.140625,0.084228515625
20,EE,3D,E4,2E,CC,04,06,14,F4,-0.28125,0.953125,-0.4375,0.71875,-0.8125,0.0625,0.09375,0.3125,-0.1875,0.2841796875
21,03,24,D3,04,0B,24,D5,F5,C3,0.046875,0.5625,-0.703125,0.0625,0.171875,0.5625,-0.671875,-0.171875,-0.953125,-0.1669921875
22,15,2F,ED,28,14,C2,FC,C6,E8,0.328125,0.734375,-0.296875,0.625,0.3125,-0.96875,-0.0625,-0.90625,-0.375,-1.53173828125
23,26,D0,08,C7,CE,3A,CC,D6,38,0.59375,-0.75,0.125,-0.890625,-0.78125,0.90625,-0.8125,-0.65625,0.875,0.21435546875
24,E8,DC,CC,FF,C8,DC,DC,1F,D5,-0.375,-0.5625,-0.8125,-0.015625,-0.875,-0.5625,-0.5625,0.484375,-0.671875,0.422119140625
