row,vector_id,target,operand_index,width_bits,bit,stuck_at,original,faulty,activated
0,0,A0,0,32,0,0,3E8EC5E6,3E8EC5E6,False
1,0,A0,0,32,0,1,3E8EC5E6,3E8EC5E7,True
2,0,A0,0,32,1,0,3E8EC5E6,3E8EC5E4,True
3,0,A0,0,32,1,1,3E8EC5E6,3E8EC5E6,False
4,0,A0,0,32,2,0,3E8EC5E6,3E8EC5E2,True
5,0,A0,0,32,2,1,3E8EC5E6,3E8EC5E6,False
6,0,A0,0,32,3,0,3E8EC5E6,3E8EC5E6,False
7,0,A0,0,32,3,1,3E8EC5E6,3E8EC5EE,True
8,0,A0,0,32,4,0,3E8EC5E6,3E8EC5E6,False
9,0,A0,0,32,4,1,3E8EC5E6,3E8EC5F6,True
10,0,A0,0,32,5,0,3E8EC5E6,3E8EC5C6,True
11,0,A0,0,32,5,1,3E8EC5E6,3E8EC5E6,False
12,0,A0,0,32,6,0,3E8EC5E6,3E8EC5A6,True
13,0,A0,0,32,6,1,3E8EC5E6,3E8EC5E6,False
14,0,A0,0,32,7,0,3E8EC5E6,3E8EC566,True
15,0,A0,0,32,7,1,3E8EC5E6,3E8EC5E6,False
16,0,A0,0,32,8,0,3E8EC5E6,3E8EC4E6,True
17,0,A0,0,32,8,1,3E8EC5E6,3E8EC5E6,False
18,0,A0,0,32,9,0,3E8EC5E6,3E8EC5E6,False
19,0,A0,0,32,9,1,3E8EC5E6,3E8EC7E6,True
20,0,A0,0,32,10,0,3E8EC5E6,3E8EC1E6,True
21,0,A0,0,32,10,1,3E8EC5E6,3E8EC5E6,False
22,0,A0,0,32,11,0,3E8EC5E6,3E8EC5E6,False
23,0,A0,0,32,11,1,3E8EC5E6,3E8ECDE6,True
24,0,A0,0,32,12,0,3E8EC5E6,3E8EC5E6,False
25,0,A0,0,32,12,1,3E8EC5E6,3E8ED5E6,True
26,0,A0,0,32,13,0,3E8EC5E6,3E8EC5E6,False
27,0,A0,0,32,13,1,3E8EC5E6,3E8EE5E6,True
28,0,A0,0,32,14,0,3E8EC5E6,3E8E85E6,True
29,0,A0,0,32,14,1,3E8EC5E6,3E8EC5E6,False
30,0,A0,0,32,15,0,3E8EC5E6,3E8E45E6,True
31,0,A0,0,32,15,1,3E8EC5E6,3E8EC5E6,False
32,0,A0,0,32,16,0,3E8EC5E6,3E8EC5E6,False
33,0,A0,0,32,16,1,3E8EC5E6,3E8FC5E6,True
34,0,A0,0,32,17,0,3E8EC5E6,3E8CC5E6,True
35,0,A0,0,32,17,1,3E8EC5E6,3E8EC5E6,False
36,0,A0,0,32,18,0,3E8EC5E6,3E8AC5E6,True
37,0,A0,0,32,18,1,3E8EC5E6,3E8EC5E6,False
38,0,A0,0,32,19,0,3E8EC5E6,3E86C5E6,True
39,0,A0,0,32,19,1,3E8EC5E6,3E8EC5E6,False
40,0,A0,0,32,20,0,3E8EC5E6,3E8EC5E6,False
41,0,A0,0,32,20,1,3E8EC5E6,3E9EC5E6,True
42,0,A0,0,32,21,0,3E8EC5E6,3E8EC5E6,False
43,0,A0,0,32,21,1,3E8EC5E6,3EAEC5E6,True
44,0,A0,0,32,22,0,3E8EC5E6,3E8EC5E6,False
45,0,A0,0,32,22,1,3E8EC5E6,3ECEC5E6,True
46,0,A0,0,32,23,0,3E8EC5E6,3E0EC5E6,True
47,0,A0,0,32,23,1,3E8EC5E6,3E8EC5E6,False
48,0,A0,0,32,24,0,3E8EC5E6,3E8EC5E6,False
49,0,A0,0,32,24,1,3E8EC5E6,3F8EC5E6,True
50,0,A0,0,32,25,0,3E8EC5E6,3C8EC5E6,True
51,0,A0,0,32,25,1,3E8EC5E6,3E8EC5E6,False
52,0,A0,0,32,26,0,3E8EC5E6,3A8EC5E6,True
53,0,A0,0,32,26,1,3E8EC5E6,3E8EC5E6,False
54,0,A0,0,32,27,0,3E8EC5E6,368EC5E6,True
55,0,A0,0,32,27,1,3E8EC5E6,3E8EC5E6,False
56,0,A0,0,32,28,0,3E8EC5E6,2E8EC5E6,True
57,0,A0,0,32,28,1,3E8EC5E6,3E8EC5E6,False
58,0,A0,0,32,29,0,3E8EC5E6,1E8EC5E6,True
59,0,A0,0,32,29,1,3E8EC5E6,3E8EC5E6,False
60,0,A0,0,32,30,0,3E8EC5E6,3E8EC5E6,False
61,0,A0,0,32,30,1,3E8EC5E6,7E8EC5E6,True
62,0,A0,0,32,31,0,3E8EC5E6,3E8EC5E6,False
63,0,A0,0,32,31,1,3E8EC5E6,BE8EC5E6,True
64,0,A1,1,32,0,0,BF7331CA,BF7331CA,False
65,0,A1,1,32,0,1,BF7331CA,BF7331CB,True
66,0,A1,1,32,1,0,BF7331CA,BF7331C8,True
67,0,A1,1,32,1,1,BF7331CA,BF7331CA,False
68,0,A1,1,32,2,0,BF7331CA,BF7331CA,False
69,0,A1,1,32,2,1,BF7331CA,BF7331CE,True
70,0,A1,1,32,3,0,BF7331CA,BF7331C2,True
71,0,A1,1,32,3,1,BF7331CA,BF7331CA,False
72,0,A1,1,32,4,0,BF7331CA,BF7331CA,False
73,0,A1,1,32,4,1,BF7331CA,BF7331DA,True
74,0,A1,1,32,5,0,BF7331CA,BF7331CA,False
75,0,A1,1,32,5,1,BF7331CA,BF7331EA,True
76,0,A1,1,32,6,0,BF7331CA,BF73318A,True
77,0,A1,1,32,6,1,BF7331CA,BF7331CA,False
78,0,A1,1,32,7,0,BF7331CA,BF73314A,True
