target,bit,stuck_at,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_sdc_percent
A0,0,0,100,53,47,31,16,34.042553
A0,0,1,100,47,53,37,16,30.188679
A0,1,0,100,42,58,27,31,53.448276
A0,1,1,100,58,42,21,21,50.000000
A0,2,0,100,48,52,12,40,76.923077
A0,2,1,100,52,48,17,31,64.583333
A0,3,0,100,48,52,7,45,86.538462
A0,3,1,100,52,48,11,37,77.083333
A0,4,0,100,49,51,5,46,90.196078
A0,4,1,100,51,49,3,46,93.877551
A0,5,0,100,50,50,3,47,94.000000
A0,5,1,100,50,50,2,48,96.000000
A0,6,0,100,53,47,0,47,100.000000
A0,6,1,100,47,53,2,51,96.226415
A0,7,0,100,47,53,1,52,98.113208
A0,7,1,100,53,47,1,46,97.872340
A0,8,0,100,43,57,0,57,100.000000
A0,8,1,100,57,43,1,42,97.674419
A0,9,0,100,42,58,0,58,100.000000
A0,9,1,100,58,42,1,41,97.619048
A0,10,0,100,42,58,1,57,98.275862
A0,10,1,100,58,42,0,42,100.000000
A0,11,0,100,49,51,1,50,98.039216
A0,11,1,100,51,49,0,49,100.000000
A0,12,0,100,46,54,0,54,100.000000
A0,12,1,100,54,46,0,46,100.000000
A0,13,0,100,49,51,0,51,100.000000
A0,13,1,100,51,49,0,49,100.000000
A0,14,0,100,58,42,0,42,100.000000
A0,14,1,100,42,58,0,58,100.000000
A0,15,0,100,49,51,0,51,100.000000
A0,15,1,100,51,49,0,49,100.000000
A0,16,0,100,55,45,0,45,100.000000
A0,16,1,100,45,55,0,55,100.000000
A0,17,0,100,44,56,0,56,100.000000
A0,17,1,100,56,44,0,44,100.000000
A0,18,0,100,52,48,0,48,100.000000
A0,18,1,100,48,52,0,52,100.000000
A0,19,0,100,51,49,0,49,100.000000
A0,19,1,100,49,51,0,51,100.000000
A0,20,0,100,49,51,0,51,100.000000
A0,20,1,100,51,49,0,49,100.000000
A0,21,0,100,53,47,0,47,100.000000
A0,21,1,100,47,53,0,53,100.000000
A0,22,0,100,46,54,0,54,100.000000
A0,22,1,100,54,46,0,46,100.000000
A0,23,0,100,66,34,0,34,100.000000
A0,23,1,100,34,66,0,66,100.000000
A0,24,0,100,39,61,0,61,100.000000
A0,24,1,100,61,39,0,39,100.000000
A0,25,0,100,13,87,0,87,100.000000
A0,25,1,100,87,13,0,13,100.000000
A0,26,0,100,0,100,0,100,100.000000
A0,26,1,100,100,0,0,0,0.000000
A0,27,0,100,0,100,0,100,100.000000
A0,27,1,100,100,0,0,0,0.000000
A0,28,0,100,0,100,0,100,100.000000
A0,28,1,100,100,0,0,0,0.000000
A0,29,0,100,0,100,0,100,100.000000
A0,29,1,100,100,0,0,0,0.000000
A0,30,0,100,100,0,0,0,0.000000
A0,30,1,100,0,100,0,100,100.000000
A0,31,0,100,53,47,0,47,100.000000
A0,31,1,100,47,53,0,53,100.000000
A1,0,0,100,52,48,32,16,33.333333
A1,0,1,100,48,52,33,19,36.538462
A1,1,0,100,52,48,31,17,35.416667
A1,1,1,100,48,52,24,28,53.846154
A1,2,0,100,52,48,16,32,66.666667
A1,2,1,100,48,52,19,33,63.461538
A1,3,0,100,47,53,11,42,79.245283
A1,3,1,100,53,47,11,36,76.595745
A1,4,0,100,42,58,8,50,86.206897
A1,4,1,100,58,42,5,37,88.095238
A1,5,0,100,49,51,5,46,90.196078
A1,5,1,100,51,49,3,46,93.877551
A1,6,0,100,49,51,1,50,98.039216
A1,6,1,100,51,49,1,48,97.959184
A1,7,0,100,49,51,2,49,96.078431
A1,7,1,100,51,49,1,48,97.959184
A1,8,0,100,50,50,0,50,100.000000
A1,8,1,100,50,50,0,50,100.000000
A1,9,0,100,51,49,0,49,100.000000
A1,9,1,100,49,51,0,51,100.000000
A1,10,0,100,44,56,0,56,100.000000
A1,10,1,100,56,44,0,44,100.000000
A1,11,0,100,42,58,0,58,100.000000
A1,11,1,100,58,42,0,42,100.000000
A1,12,0,100,49,51,0,51,100.000000
A1,12,1,100,51,49,0,49,100.000000
A1,13,0,100,47,53,0,53,100.000000
A1,13,1,100,53,47,0,47,100.000000
A1,14,0,100,53,47,0,47,100.000000
A1,14,1,100,47,53,0,53,100.000000
A1,15,0,100,46,54,0,54,100.000000
A1,15,1,100,54,46,0,46,100.000000
A1,16,0,100,44,56,0,56,100.000000
A1,16,1,100,56,44,0,44,100.000000
A1,17,0,100,44,56,0,56,100.000000
A1,17,1,100,56,44,0,44,100.000000
A1,18,0,100,54,46,0,46,100.000000
A1,18,1,100,46,54,0,54,100.000000
A1,19,0,100,43,57,0,57,100.000000
A1,19,1,100,57,43,0,43,100.000000
A1,20,0,100,37,63,0,63,100.000000
A1,20,1,100,63,37,0,37,100.000000
A1,21,0,100,49,51,0,51,100.000000
A1,21,1,100,51,49,0,49,100.000000
A1,22,0,100,46,54,0,54,100.000000
A1,22,1,100,54,46,0,46,100.000000
A1,23,0,100,68,32,0,32,100.000000
A1,23,1,100,32,68,0,68,100.000000
A1,24,0,100,38,62,0,62,100.000000
A1,24,1,100,62,38,0,38,100.000000
A1,25,0,100,14,86,0,86,100.000000
A1,25,1,100,86,14,0,14,100.000000
A1,26,0,100,1,99,0,99,100.000000
A1,26,1,100,99,1,0,1,100.000000
A1,27,0,100,0,100,0,100,100.000000
A1,27,1,100,100,0,0,0,0.000000
A1,28,0,100,0,100,0,100,100.000000
A1,28,1,100,100,0,0,0,0.000000
A1,29,0,100,0,100,0,100,100.000000
A1,29,1,100,100,0,0,0,0.000000
A1,30,0,100,100,0,0,0,0.000000
A1,30,1,100,0,100,0,100,100.000000
A1,31,0,100,51,49,0,49,100.000000
A1,31,1,100,49,51,0,51,100.000000
A2,0,0,100,46,54,43,11,20.370370
A2,0,1,100,54,46,26,20,43.478261
A2,1,0,100,48,52,27,25,48.076923
A2,1,1,100,52,48,21,27,56.250000
A2,2,0,100,47,53,18,35,66.037736
A2,2,1,100,53,47,11,36,76.595745
A2,3,0,100,61,39,8,31,79.487179
A2,3,1,100,39,61,10,51,83.606557
A2,4,0,100,53,47,5,42,89.361702
A2,4,1,100,47,53,6,47,88.679245
A2,5,0,100,52,48,5,43,89.583333
A2,5,1,100,48,52,4,48,92.307692
A2,6,0,100,50,50,2,48,96.000000
A2,6,1,100,50,50,4,46,92.000000
A2,7,0,100,54,46,3,43,93.478261
A2,7,1,100,46,54,1,53,98.148148
A2,8,0,100,42,58,1,57,98.275862
A2,8,1,100,58,42,2,40,95.238095
A2,9,0,100,44,56,2,54,96.428571
A2,9,1,100,56,44,0,44,100.000000
A2,10,0,100,42,58,1,57,98.275862
A2,10,1,100,58,42,0,42,100.000000
A2,11,0,100,48,52,1,51,98.076923
A2,11,1,100,52,48,0,48,100.000000
A2,12,0,100,55,45,0,45,100.000000
A2,12,1,100,45,55,1,54,98.181818
A2,13,0,100,41,59,0,59,100.000000
A2,13,1,100,59,41,1,40,97.560976
A2,14,0,100,52,48,0,48,100.000000
A2,14,1,100,48,52,0,52,100.000000
