vector_id,golden,golden_kind,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
0,BE82DC74,Normal,576,288,288,8,280,2.777778,97.222222
1,3F8DA7BF,Normal,576,288,288,31,257,10.763889,89.236111
2,3DC7F842,Normal,576,288,288,5,283,1.736111,98.263889
3,BE2D220D,Normal,576,288,288,1,287,0.347222,99.652778
4,BF9F5D3E,Normal,576,288,288,16,272,5.555556,94.444444
5,3FADA17A,Normal,576,288,288,16,272,5.555556,94.444444
6,BF275696,Normal,576,288,288,15,273,5.208333,94.791667
7,3EB024E5,Normal,576,288,288,2,286,0.694444,99.305556
8,3F3CA69D,Normal,576,288,288,11,277,3.819444,96.180556
9,BE952265,Normal,576,288,288,12,276,4.166667,95.833333
10,4008917C,Normal,576,288,288,33,255,11.458333,88.541667
11,3E61EEDD,Normal,576,288,288,15,273,5.208333,94.791667
12,BF37852F,Normal,576,288,288,28,260,9.722222,90.277778
13,BF466176,Normal,576,288,288,21,267,7.291667,92.708333
14,BD54944F,Normal,576,288,288,5,283,1.736111,98.263889
15,3F1C4179,Normal,576,288,288,23,265,7.986111,92.013889
16,3ECD3735,Normal,576,288,288,7,281,2.430556,97.569444
17,3FA1BA89,Normal,576,288,288,23,265,7.986111,92.013889
18,3FD31903,Normal,576,288,288,9,279,3.125000,96.875000
19,BE909177,Normal,576,288,288,16,272,5.555556,94.444444
20,3E915F47,Normal,576,288,288,7,281,2.430556,97.569444
21,BFAB543B,Normal,576,288,288,32,256,11.111111,88.888889
22,BEEE2B74,Normal,576,288,288,8,280,2.777778,97.222222
23,BD8AF84D,Normal,576,288,288,9,279,3.125000,96.875000
24,BF78CB08,Normal,576,288,288,17,271,5.902778,94.097222
25,BD94E3CA,Normal,576,288,288,18,270,6.250000,93.750000
26,BEE4EAA7,Normal,576,288,288,13,275,4.513889,95.486111
27,3E0DED8F,Normal,576,288,288,1,287,0.347222,99.652778
28,3FF72603,Normal,576,288,288,12,276,4.166667,95.833333
29,BF99005F,Normal,576,288,288,14,274,4.861111,95.138889
30,BF4620EB,Normal,576,288,288,7,281,2.430556,97.569444
31,BF9C0ADF,Normal,576,288,288,22,266,7.638889,92.361111
32,BECB35D8,Normal,576,288,288,7,281,2.430556,97.569444
33,BFEC2DEC,Normal,576,288,288,15,273,5.208333,94.791667
34,BF8A0269,Normal,576,288,288,11,277,3.819444,96.180556
35,3F8B2AA3,Normal,576,288,288,16,272,5.555556,94.444444
36,BE880A96,Normal,576,288,288,2,286,0.694444,99.305556
37,BFDA9067,Normal,576,288,288,14,274,4.861111,95.138889
38,3DCDB0A3,Normal,576,288,288,3,285,1.041667,98.958333
39,3E84BB8C,Normal,576,288,288,11,277,3.819444,96.180556
40,BFA06C8C,Normal,576,288,288,35,253,12.152778,87.847222
41,BE93B861,Normal,576,288,288,6,282,2.083333,97.916667
42,BF275059,Normal,576,288,288,16,272,5.555556,94.444444
43,BFCAD112,Normal,576,288,288,24,264,8.333333,91.666667
44,3EE3463D,Normal,576,288,288,23,265,7.986111,92.013889
45,BF41203F,Normal,576,288,288,16,272,5.555556,94.444444
46,BE147C4C,Normal,576,288,288,9,279,3.125000,96.875000
47,BF886D23,Normal,576,288,288,25,263,8.680556,91.319444
48,3F40C48B,Normal,576,288,288,19,269,6.597222,93.402778
49,3F6CECD0,Normal,576,288,288,22,266,7.638889,92.361111
50,BD7B6273,Normal,576,288,288,2,286,0.694444,99.305556
51,3F84DAF6,Normal,576,288,288,16,272,5.555556,94.444444
52,3F35490A,Normal,576,288,288,24,264,8.333333,91.666667
53,3ED1712E,Normal,576,288,288,5,283,1.736111,98.263889
54,BF38AB85,Normal,576,288,288,14,274,4.861111,95.138889
55,3EECEFBE,Normal,576,288,288,14,274,4.861111,95.138889
56,3FE01A54,Normal,576,288,288,19,269,6.597222,93.402778
57,BF8341B3,Normal,576,288,288,12,276,4.166667,95.833333
58,BFBAED7F,Normal,576,288,288,15,273,5.208333,94.791667
59,BF19241E,Normal,576,288,288,15,273,5.208333,94.791667
60,BB2C56FC,Normal,576,288,288,3,285,1.041667,98.958333
61,3FB6ADC0,Normal,576,288,288,16,272,5.555556,94.444444
62,BF73C182,Normal,576,288,288,20,268,6.944444,93.055556
