row,vector_id,target,operand_index,bit,stuck_at,original,faulty,activated
0,0,A0,0,0,0,29,28,True
1,0,A0,0,0,1,29,29,False
2,0,A0,0,1,0,29,29,False
3,0,A0,0,1,1,29,2B,True
4,0,A0,0,2,0,29,29,False
5,0,A0,0,2,1,29,2D,True
6,0,A0,0,3,0,29,21,True
7,0,A0,0,3,1,29,29,False
8,0,A0,0,4,0,29,29,False
9,0,A0,0,4,1,29,39,True
10,0,A0,0,5,0,29,09,True
11,0,A0,0,5,1,29,29,False
12,0,A0,0,6,0,29,29,False
13,0,A0,0,6,1,29,69,True
14,0,A0,0,7,0,29,29,False
15,0,A0,0,7,1,29,A9,True
16,0,A1,1,0,0,B7,B6,True
17,0,A1,1,0,1,B7,B7,False
18,0,A1,1,1,0,B7,B5,True
19,0,A1,1,1,1,B7,B7,False
20,0,A1,1,2,0,B7,B3,True
21,0,A1,1,2,1,B7,B7,False
22,0,A1,1,3,0,B7,B7,False
23,0,A1,1,3,1,B7,BF,True
24,0,A1,1,4,0,B7,A7,True
25,0,A1,1,4,1,B7,B7,False
26,0,A1,1,5,0,B7,97,True
27,0,A1,1,5,1,B7,B7,False
28,0,A1,1,6,0,B7,B7,False
29,0,A1,1,6,1,B7,F7,True
30,0,A1,1,7,0,B7,37,True
31,0,A1,1,7,1,B7,B7,False
32,0,A2,2,0,0,AE,AE,False
33,0,A2,2,0,1,AE,AF,True
34,0,A2,2,1,0,AE,AC,True
35,0,A2,2,1,1,AE,AE,False
36,0,A2,2,2,0,AE,AA,True
37,0,A2,2,2,1,AE,AE,False
38,0,A2,2,3,0,AE,A6,True
39,0,A2,2,3,1,AE,AE,False
40,0,A2,2,4,0,AE,AE,False
41,0,A2,2,4,1,AE,BE,True
42,0,A2,2,5,0,AE,8E,True
43,0,A2,2,5,1,AE,AE,False
44,0,A2,2,6,0,AE,AE,False
45,0,A2,2,6,1,AE,EE,True
46,0,A2,2,7,0,AE,2E,True
