row,vector_id,target,operand_index,bit,stuck_at,original,faulty,activated,golden,faulty_result,class
0,0,A0,0,0,0,29,28,True,A7,A9,SDC
1,0,A0,0,0,1,29,29,False,A7,A7,Not activated
2,0,A0,0,1,0,29,29,False,A7,A7,Not activated
3,0,A0,0,1,1,29,2B,True,A7,A7,Masked
4,0,A0,0,2,0,29,29,False,A7,A7,Not activated
5,0,A0,0,2,1,29,2D,True,A7,A3,SDC
6,0,A0,0,3,0,29,21,True,A7,A9,SDC
7,0,A0,0,3,1,29,29,False,A7,A7,Not activated
8,0,A0,0,4,0,29,29,False,A7,A7,Not activated
9,0,A0,0,4,1,29,39,True,A7,21,SDC
10,0,A0,0,5,0,29,09,True,A7,AB,SDC
11,0,A0,0,5,1,29,29,False,A7,A7,Not activated
12,0,A0,0,6,0,29,29,False,A7,A7,Not activated
13,0,A0,0,6,1,29,69,True,A7,60,SDC
14,0,A0,0,7,0,29,29,False,A7,A7,Not activated
15,0,A0,0,7,1,29,A9,True,A7,B1,SDC
16,0,A1,1,0,0,B7,B6,True,A7,A7,Masked
17,0,A1,1,0,1,B7,B7,False,A7,A7,Not activated
18,0,A1,1,1,0,B7,B5,True,A7,A7,Masked
19,0,A1,1,1,1,B7,B7,False,A7,A7,Not activated
20,0,A1,1,2,0,B7,B3,True,A7,A3,SDC
21,0,A1,1,2,1,B7,B7,False,A7,A7,Not activated
22,0,A1,1,3,0,B7,B7,False,A7,A7,Not activated
23,0,A1,1,3,1,B7,BF,True,A7,B1,SDC
24,0,A1,1,4,0,B7,A7,True,A7,86,SDC
25,0,A1,1,4,1,B7,B7,False,A7,A7,Not activated
26,0,A1,1,5,0,B7,97,True,A7,15,SDC
27,0,A1,1,5,1,B7,B7,False,A7,A7,Not activated
28,0,A1,1,6,0,B7,B7,False,A7,A7,Not activated
29,0,A1,1,6,1,B7,F7,True,A7,EA,SDC
30,0,A1,1,7,0,B7,37,True,A7,2D,SDC
31,0,A1,1,7,1,B7,B7,False,A7,A7,Not activated
32,0,A2,2,0,0,AE,AE,False,A7,A7,Not activated
33,0,A2,2,0,1,AE,AF,True,A7,A9,SDC
34,0,A2,2,1,0,AE,AC,True,A7,A3,SDC
35,0,A2,2,1,1,AE,AE,False,A7,A7,Not activated
36,0,A2,2,2,0,AE,AA,True,A7,A3,SDC
37,0,A2,2,2,1,AE,AE,False,A7,A7,Not activated
