target,bit,stuck_at,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_sdc_percent
A0,0,0,100,52,48,35,13,27.083333
A0,0,1,100,48,52,38,14,26.923077
A0,1,0,100,51,49,26,23,46.938776
A0,1,1,100,49,51,22,29,56.862745
A0,2,0,100,48,52,16,36,69.230769
A0,2,1,100,52,48,12,36,75.000000
A0,3,0,100,59,41,10,31,75.609756
A0,3,1,100,41,59,2,57,96.610169
A0,4,0,100,39,61,8,53,86.885246
A0,4,1,100,61,39,0,39,100.000000
A0,5,0,100,13,87,5,82,94.252874
A0,5,1,100,87,13,1,12,92.307692
A0,6,0,100,100,0,0,0,0.000000
A0,6,1,100,0,100,1,99,99.000000
A0,7,0,100,53,47,5,42,89.361702
A0,7,1,100,47,53,6,47,88.679245
A1,0,0,100,55,45,32,13,28.888889
A1,0,1,100,45,55,38,17,30.909091
A1,1,0,100,47,53,28,25,47.169811
A1,1,1,100,53,47,22,25,53.191489
A1,2,0,100,44,56,20,36,64.285714
A1,2,1,100,56,44,10,34,77.272727
A1,3,0,100,71,29,14,15,51.724138
A1,3,1,100,29,71,7,64,90.140845
A1,4,0,100,36,64,10,54,84.375000
A1,4,1,100,64,36,3,33,91.666667
A1,5,0,100,14,86,9,77,89.534884
A1,5,1,100,86,14,0,14,100.000000
A1,6,0,100,100,0,0,0,0.000000
A1,6,1,100,0,100,0,100,100.000000
A1,7,0,100,51,49,9,40,81.632653
A1,7,1,100,49,51,6,45,88.235294
A2,0,0,100,57,43,25,18,41.860465
A2,0,1,100,43,57,36,21,36.842105
A2,1,0,100,50,50,24,26,52.000000
A2,1,1,100,50,50,23,27,54.000000
A2,2,0,100,54,46,16,30,65.217391
A2,2,1,100,46,54,15,39,72.222222
A2,3,0,100,64,36,7,29,80.555556
A2,3,1,100,36,64,12,52,81.250000
A2,4,0,100,40,60,5,55,91.666667
A2,4,1,100,60,40,5,35,87.500000
A2,5,0,100,10,90,8,82,91.111111
A2,5,1,100,90,10,4,6,60.000000
A2,6,0,100,100,0,0,0,0.000000
A2,6,1,100,0,100,0,100,100.000000
A2,7,0,100,64,36,5,31,86.111111
A2,7,1,100,36,64,9,55,85.937500
A3,0,0,100,40,60,30,30,50.000000
A3,0,1,100,60,40,26,14,35.000000
A3,1,0,100,55,45,16,29,64.444444
A3,1,1,100,45,55,21,34,61.818182
A3,2,0,100,49,51,11,40,78.431373
A3,2,1,100,51,49,12,37,75.510204
A3,3,0,100,57,43,8,35,81.395349
A3,3,1,100,43,57,5,52,91.228070
A3,4,0,100,46,54,7,47,87.037037
A3,4,1,100,54,46,4,42,91.304348
A3,5,0,100,12,88,4,84,95.454545
A3,5,1,100,88,12,0,12,100.000000
A3,6,0,100,100,0,0,0,0.000000
A3,6,1,100,0,100,0,100,100.000000
A3,7,0,100,48,52,7,45,86.538462
A3,7,1,100,52,48,4,44,91.666667
B0,0,0,100,48,52,35,17,32.692308
B0,0,1,100,52,48,28,20,41.666667
B0,1,0,100,49,51,23,28,54.901961
B0,1,1,100,51,49,20,29,59.183673
B0,2,0,100,50,50,19,31,62.000000
B0,2,1,100,50,50,11,39,78.000000
B0,3,0,100,72,28,6,22,78.571429
B0,3,1,100,28,72,7,65,90.277778
B0,4,0,100,33,67,9,58,86.567164
B0,4,1,100,67,33,3,30,90.909091
B0,5,0,100,9,91,7,84,92.307692
B0,5,1,100,91,9,1,8,88.888889
B0,6,0,100,100,0,0,0,0.000000
B0,6,1,100,0,100,0,100,100.000000
B0,7,0,100,47,53,4,49,92.452830
B0,7,1,100,53,47,7,40,85.106383
B1,0,0,100,45,55,41,14,25.454545
B1,0,1,100,55,45,29,16,35.555556
B1,1,0,100,44,56,24,32,57.142857
B1,1,1,100,56,44,22,22,50.000000
B1,2,0,100,56,44,16,28,63.636364
B1,2,1,100,44,56,15,41,73.214286
B1,3,0,100,59,41,14,27,65.853659
B1,3,1,100,41,59,10,49,83.050847
B1,4,0,100,40,60,13,47,78.333333
B1,4,1,100,60,40,3,37,92.500000
B1,5,0,100,15,85,12,73,85.882353
B1,5,1,100,85,15,0,15,100.000000
B1,6,0,100,100,0,0,0,0.000000
B1,6,1,100,0,100,0,100,100.000000
B1,7,0,100,46,54,8,46,85.185185
B1,7,1,100,54,46,7,39,84.782609
B2,0,0,100,46,54,38,16,29.629630
B2,0,1,100,54,46,30,16,34.782609
B2,1,0,100,53,47,19,28,59.574468
B2,1,1,100,47,53,23,30,56.603774
B2,2,0,100,56,44,13,31,70.454545
B2,2,1,100,44,56,17,39,69.642857
B2,3,0,100,62,38,10,28,73.684211
B2,3,1,100,38,62,6,56,90.322581
B2,4,0,100,38,62,6,56,90.322581
B2,4,1,100,62,38,3,35,92.105263
B2,5,0,100,18,82,4,78,95.121951
B2,5,1,100,82,18,3,15,83.333333
B2,6,0,100,100,0,0,0,0.000000
B2,6,1,100,0,100,1,99,99.000000
B2,7,0,100,51,49,8,41,83.673469
B2,7,1,100,49,51,6,45,88.235294
B3,0,0,100,46,54,29,25,46.296296
B3,0,1,100,54,46,23,23,50.000000
B3,1,0,100,58,42,15,27,64.285714
B3,1,1,100,42,58,21,37,63.793103
B3,2,0,100,51,49,15,34,69.387755
B3,2,1,100,49,51,13,38,74.509804
B3,3,0,100,63,37,7,30,81.081081
B3,3,1,100,37,63,3,60,95.238095
