vector_id,golden,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
0,A7,144,72,72,7,65,9.722222,90.277778
1,39,144,72,72,23,49,31.944444,68.055556
2,22,144,72,72,5,67,6.944444,93.055556
3,A5,144,72,72,4,68,5.555556,94.444444
4,BB,144,72,72,11,61,15.277778,84.722222
5,3B,144,72,72,18,54,25.000000,75.000000
6,B3,144,72,72,14,58,19.444444,80.555556
7,2A,144,72,72,3,69,4.166667,95.833333
8,35,144,72,72,13,59,18.055556,81.944444
9,A7,144,72,72,8,64,11.111111,88.888889
10,41,144,72,72,27,45,37.500000,62.500000
11,26,144,72,72,14,58,19.444444,80.555556
12,B4,144,72,72,18,54,25.000000,75.000000
13,B4,144,72,72,23,49,31.944444,68.055556
14,9B,144,72,72,5,67,6.944444,93.055556
15,32,144,72,72,27,45,37.500000,62.500000
16,2D,144,72,72,5,67,6.944444,93.055556
17,3A,144,72,72,23,49,31.944444,68.055556
18,3D,144,72,72,9,63,12.500000,87.500000
19,A9,144,72,72,9,63,12.500000,87.500000
20,2A,144,72,72,9,63,12.500000,87.500000
21,BA,144,72,72,34,38,47.222222,52.777778
22,B0,144,72,72,9,63,12.500000,87.500000
23,9C,144,72,72,10,62,13.888889,86.111111
24,B7,144,72,72,15,57,20.833333,79.166667
25,97,144,72,72,13,59,18.055556,81.944444
26,AE,144,72,72,14,58,19.444444,80.555556
27,20,144,72,72,1,71,1.388889,98.611111
28,3F,144,72,72,12,60,16.666667,83.333333
29,BA,144,72,72,19,53,26.388889,73.611111
30,B4,144,72,72,6,66,8.333333,91.666667
31,B9,144,72,72,24,48,33.333333,66.666667
32,AC,144,72,72,11,61,15.277778,84.722222
33,BF,144,72,72,16,56,22.222222,77.777778
34,B9,144,72,72,9,63,12.500000,87.500000
35,39,144,72,72,13,59,18.055556,81.944444
36,AA,144,72,72,1,71,1.388889,98.611111
37,BE,144,72,72,16,56,22.222222,77.777778
38,1C,144,72,72,4,68,5.555556,94.444444
39,27,144,72,72,17,55,23.611111,76.388889
40,BA,144,72,72,32,40,44.444444,55.555556
41,A9,144,72,72,12,60,16.666667,83.333333
42,B2,144,72,72,16,56,22.222222,77.777778
43,BC,144,72,72,20,52,27.777778,72.222222
44,2C,144,72,72,21,51,29.166667,70.833333
45,B3,144,72,72,14,58,19.444444,80.555556
46,9F,144,72,72,7,65,9.722222,90.277778
47,B9,144,72,72,24,48,33.333333,66.666667
48,33,144,72,72,20,52,27.777778,72.222222
49,37,144,72,72,23,49,31.944444,68.055556
50,98,144,72,72,3,69,4.166667,95.833333
51,39,144,72,72,19,53,26.388889,73.611111
52,33,144,72,72,18,54,25.000000,75.000000
53,2D,144,72,72,4,68,5.555556,94.444444
54,B3,144,72,72,23,49,31.944444,68.055556
55,2F,144,72,72,14,58,19.444444,80.555556
56,3D,144,72,72,18,54,25.000000,75.000000
57,B8,144,72,72,16,56,22.222222,77.777778
58,BC,144,72,72,12,60,16.666667,83.333333
59,B1,144,72,72,10,62,13.888889,86.111111
60,97,144,72,72,4,68,5.555556,94.444444
61,3B,144,72,72,14,58,19.444444,80.555556
62,B8,144,72,72,31,41,43.055556,56.944444
63,38,144,72,72,14,58,19.444444,80.555556
64,28,144,72,72,16,56,22.222222,77.777778
65,39,144,72,72,23,49,31.944444,68.055556
66,2E,144,72,72,4,68,5.555556,94.444444
67,B1,144,72,72,17,55,23.611111,76.388889
68,AA,144,72,72,16,56,22.222222,77.777778
69,36,144,72,72,14,58,19.444444,80.555556
70,32,144,72,72,16,56,22.222222,77.777778
71,3B,144,72,72,23,49,31.944444,68.055556
72,BA,144,72,72,26,46,36.111111,63.888889
73,A3,144,72,72,6,66,8.333333,91.666667
74,A3,144,72,72,10,62,13.888889,86.111111
75,B9,144,72,72,15,57,20.833333,79.166667
76,38,144,72,72,26,46,36.111111,63.888889
77,3D,144,72,72,28,44,38.888889,61.111111
78,39,144,72,72,12,60,16.666667,83.333333
79,BD,144,72,72,33,39,45.833333,54.166667
80,B0,144,72,72,7,65,9.722222,90.277778
81,B8,144,72,72,34,38,47.222222,52.777778
82,39,144,72,72,20,52,27.777778,72.222222
83,1C,144,72,72,19,53,26.388889,73.611111
84,98,144,72,72,6,66,8.333333,91.666667
85,3A,144,72,72,24,48,33.333333,66.666667
86,3E,144,72,72,32,40,44.444444,55.555556
87,31,144,72,72,29,43,40.277778,59.722222
88,2E,144,72,72,15,57,20.833333,79.166667
89,17,144,72,72,13,59,18.055556,81.944444
90,92,144,72,72,15,57,20.833333,79.166667
91,30,144,72,72,21,51,29.166667,70.833333
92,31,144,72,72,26,46,36.111111,63.888889
93,35,144,72,72,15,57,20.833333,79.166667
94,34,144,72,72,12,60,16.666667,83.333333
95,3A,144,72,72,22,50,30.555556,69.444444
96,A5,144,72,72,3,69,4.166667,95.833333
97,BB,144,72,72,18,54,25.000000,75.000000
98,34,144,72,72,16,56,22.222222,77.777778
99,A7,144,72,72,9,63,12.500000,87.500000
