target,width_bits,bit,stuck_at,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_sdc_percent
A0,16,0,0,100,41,59,0,59,100.000000
A0,16,0,1,100,59,41,0,41,100.000000
A0,16,1,0,100,50,50,0,50,100.000000
A0,16,1,1,100,50,50,0,50,100.000000
A0,16,2,0,100,59,41,0,41,100.000000
A0,16,2,1,100,41,59,0,59,100.000000
A0,16,3,0,100,54,46,0,46,100.000000
A0,16,3,1,100,46,54,0,54,100.000000
A0,16,4,0,100,46,54,0,54,100.000000
A0,16,4,1,100,54,46,0,46,100.000000
A0,16,5,0,100,48,52,0,52,100.000000
A0,16,5,1,100,52,48,0,48,100.000000
A0,16,6,0,100,52,48,0,48,100.000000
A0,16,6,1,100,48,52,0,52,100.000000
A0,16,7,0,100,56,44,0,44,100.000000
A0,16,7,1,100,44,56,0,56,100.000000
A0,16,8,0,100,50,50,0,50,100.000000
A0,16,8,1,100,50,50,0,50,100.000000
A0,16,9,0,100,55,45,0,45,100.000000
A0,16,9,1,100,45,55,0,55,100.000000
A0,16,10,0,100,53,47,0,47,100.000000
A0,16,10,1,100,47,53,0,53,100.000000
A0,16,11,0,100,53,47,0,47,100.000000
A0,16,11,1,100,47,53,0,53,100.000000
A0,16,12,0,100,53,47,0,47,100.000000
A0,16,12,1,100,47,53,0,53,100.000000
A0,16,13,0,100,53,47,0,47,100.000000
A0,16,13,1,100,47,53,0,53,100.000000
A0,16,14,0,100,53,47,0,47,100.000000
A0,16,14,1,100,47,53,0,53,100.000000
A0,16,15,0,100,53,47,0,47,100.000000
A0,16,15,1,100,47,53,0,53,100.000000
A1,16,0,0,100,59,41,0,41,100.000000
A1,16,0,1,100,41,59,0,59,100.000000
A1,16,1,0,100,42,58,0,58,100.000000
A1,16,1,1,100,58,42,0,42,100.000000
A1,16,2,0,100,53,47,0,47,100.000000
A1,16,2,1,100,47,53,0,53,100.000000
A1,16,3,0,100,52,48,0,48,100.000000
A1,16,3,1,100,48,52,0,52,100.000000
A1,16,4,0,100,58,42,0,42,100.000000
A1,16,4,1,100,42,58,0,58,100.000000
A1,16,5,0,100,50,50,0,50,100.000000
A1,16,5,1,100,50,50,0,50,100.000000
A1,16,6,0,100,57,43,0,43,100.000000
A1,16,6,1,100,43,57,0,57,100.000000
A1,16,7,0,100,31,69,0,69,100.000000
A1,16,7,1,100,69,31,0,31,100.000000
A1,16,8,0,100,52,48,0,48,100.000000
A1,16,8,1,100,48,52,0,52,100.000000
A1,16,9,0,100,45,55,0,55,100.000000
A1,16,9,1,100,55,45,0,45,100.000000
A1,16,10,0,100,51,49,0,49,100.000000
A1,16,10,1,100,49,51,0,51,100.000000
A1,16,11,0,100,51,49,0,49,100.000000
A1,16,11,1,100,49,51,0,51,100.000000
A1,16,12,0,100,51,49,0,49,100.000000
A1,16,12,1,100,49,51,0,51,100.000000
A1,16,13,0,100,51,49,0,49,100.000000
A1,16,13,1,100,49,51,0,51,100.000000
A1,16,14,0,100,51,49,0,49,100.000000
A1,16,14,1,100,49,51,0,51,100.000000
A1,16,15,0,100,51,49,0,49,100.000000
A1,16,15,1,100,49,51,0,51,100.000000
A2,16,0,0,100,56,44,0,44,100.000000
A2,16,0,1,100,44,56,0,56,100.000000
A2,16,1,0,100,53,47,0,47,100.000000
A2,16,1,1,100,47,53,0,53,100.000000
A2,16,2,0,100,48,52,0,52,100.000000
A2,16,2,1,100,52,48,0,48,100.000000
A2,16,3,0,100,58,42,0,42,100.000000
A2,16,3,1,100,42,58,0,58,100.000000
A2,16,4,0,100,47,53,0,53,100.000000
A2,16,4,1,100,53,47,0,47,100.000000
A2,16,5,0,100,49,51,0,51,100.000000
A2,16,5,1,100,51,49,0,49,100.000000
A2,16,6,0,100,48,52,0,52,100.000000
A2,16,6,1,100,52,48,0,48,100.000000
A2,16,7,0,100,54,46,0,46,100.000000
A2,16,7,1,100,46,54,0,54,100.000000
A2,16,8,0,100,46,54,0,54,100.000000
A2,16,8,1,100,54,46,0,46,100.000000
A2,16,9,0,100,52,48,0,48,100.000000
A2,16,9,1,100,48,52,0,52,100.000000
A2,16,10,0,100,64,36,0,36,100.000000
A2,16,10,1,100,36,64,0,64,100.000000
A2,16,11,0,100,64,36,0,36,100.000000
A2,16,11,1,100,36,64,0,64,100.000000
A2,16,12,0,100,64,36,0,36,100.000000
A2,16,12,1,100,36,64,0,64,100.000000
A2,16,13,0,100,64,36,0,36,100.000000
A2,16,13,1,100,36,64,0,64,100.000000
A2,16,14,0,100,64,36,0,36,100.000000
A2,16,14,1,100,36,64,0,64,100.000000
A2,16,15,0,100,64,36,0,36,100.000000
A2,16,15,1,100,36,64,0,64,100.000000
A3,16,0,0,100,48,52,0,52,100.000000
A3,16,0,1,100,52,48,0,48,100.000000
A3,16,1,0,100,51,49,0,49,100.000000
A3,16,1,1,100,49,51,0,51,100.000000
A3,16,2,0,100,57,43,0,43,100.000000
A3,16,2,1,100,43,57,0,57,100.000000
A3,16,3,0,100,54,46,0,46,100.000000
A3,16,3,1,100,46,54,0,54,100.000000
A3,16,4,0,100,46,54,0,54,100.000000
A3,16,4,1,100,54,46,0,46,100.000000
A3,16,5,0,100,53,47,0,47,100.000000
A3,16,5,1,100,47,53,0,53,100.000000
A3,16,6,0,100,49,51,0,51,100.000000
A3,16,6,1,100,51,49,0,49,100.000000
A3,16,7,0,100,50,50,0,50,100.000000
A3,16,7,1,100,50,50,0,50,100.000000
A3,16,8,0,100,46,54,0,54,100.000000
A3,16,8,1,100,54,46,0,46,100.000000
A3,16,9,0,100,44,56,0,56,100.000000
A3,16,9,1,100,56,44,0,44,100.000000
A3,16,10,0,100,48,52,0,52,100.000000
A3,16,10,1,100,52,48,0,48,100.000000
A3,16,11,0,100,48,52,0,52,100.000000
A3,16,11,1,100,52,48,0,48,100.000000
A3,16,12,0,100,48,52,0,52,100.000000
A3,16,12,1,100,52,48,0,48,100.000000
A3,16,13,0,100,48,52,0,52,100.000000
A3,16,13,1,100,52,48,0,48,100.000000
A3,16,14,0,100,48,52,0,52,100.000000
A3,16,14,1,100,52,48,0,48,100.000000
A3,16,15,0,100,48,52,0,52,100.000000
A3,16,15,1,100,52,48,0,48,100.000000
B0,16,0,0,100,46,54,0,54,100.000000
B0,16,0,1,100,54,46,0,46,100.000000
B0,16,1,0,100,50,50,0,50,100.000000
B0,16,1,1,100,50,50,0,50,100.000000
B0,16,2,0,100,53,47,0,47,100.000000
B0,16,2,1,100,47,53,0,53,100.000000
B0,16,3,0,100,51,49,0,49,100.000000
B0,16,3,1,100,49,51,0,51,100.000000
B0,16,4,0,100,52,48,0,48,100.000000
B0,16,4,1,100,48,52,0,52,100.000000
B0,16,5,0,100,55,45,0,45,100.000000
B0,16,5,1,100,45,55,0,55,100.000000
B0,16,6,0,100,54,46,0,46,100.000000
B0,16,6,1,100,46,54,0,54,100.000000
B0,16,7,0,100,51,49,0,49,100.000000
B0,16,7,1,100,49,51,0,51,100.000000
B0,16,8,0,100,44,56,0,56,100.000000
B0,16,8,1,100,56,44,0,44,100.000000
B0,16,9,0,100,53,47,0,47,100.000000
B0,16,9,1,100,47,53,0,53,100.000000
B0,16,10,0,100,47,53,0,53,100.000000
B0,16,10,1,100,53,47,0,47,100.000000
B0,16,11,0,100,47,53,0,53,100.000000
B0,16,11,1,100,53,47,0,47,100.000000
B0,16,12,0,100,47,53,0,53,100.000000
B0,16,12,1,100,53,47,0,47,100.000000
B0,16,13,0,100,47,53,0,53,100.000000
B0,16,13,1,100,53,47,0,47,100.000000
B0,16,14,0,100,47,53,0,53,100.000000
B0,16,14,1,100,53,47,0,47,100.000000
B0,16,15,0,100,47,53,0,53,100.000000
B0,16,15,1,100,53,47,0,47,100.000000
B1,16,0,0,100,53,47,0,47,100.000000
B1,16,0,1,100,47,53,0,53,100.000000
B1,16,1,0,100,47,53,0,53,100.000000
B1,16,1,1,100,53,47,0,47,100.000000
B1,16,2,0,100,52,48,0,48,100.000000
B1,16,2,1,100,48,52,0,52,100.000000
B1,16,3,0,100,40,60,0,60,100.000000
B1,16,3,1,100,60,40,0,40,100.000000
B1,16,4,0,100,53,47,0,47,100.000000
B1,16,4,1,100,47,53,0,53,100.000000
B1,16,5,0,100,46,54,0,54,100.000000
B1,16,5,1,100,54,46,0,46,100.000000
B1,16,6,0,100,44,56,0,56,100.000000
B1,16,6,1,100,56,44,0,44,100.000000
B1,16,7,0,100,39,61,0,61,100.000000
B1,16,7,1,100,61,39,0,39,100.000000
B1,16,8,0,100,49,51,0,51,100.000000
B1,16,8,1,100,51,49,0,49,100.000000
B1,16,9,0,100,52,48,0,48,100.000000
B1,16,9,1,100,48,52,0,52,100.000000
B1,16,10,0,100,46,54,0,54,100.000000
B1,16,10,1,100,54,46,0,46,100.000000
B1,16,11,0,100,46,54,0,54,100.000000
B1,16,11,1,100,54,46,0,46,100.000000
B1,16,12,0,100,46,54,0,54,100.000000
B1,16,12,1,100,54,46,0,46,100.000000
B1,16,13,0,100,46,54,0,54,100.000000
B1,16,13,1,100,54,46,0,46,100.000000
B1,16,14,0,100,46,54,0,54,100.000000
B1,16,14,1,100,54,46,0,46,100.000000
B1,16,15,0,100,46,54,0,54,100.000000
B1,16,15,1,100,54,46,0,46,100.000000
B2,16,0,0,100,54,46,0,46,100.000000
B2,16,0,1,100,46,54,0,54,100.000000
B2,16,1,0,100,47,53,0,53,100.000000
B2,16,1,1,100,53,47,0,47,100.000000
B2,16,2,0,100,46,54,0,54,100.000000
B2,16,2,1,100,54,46,0,46,100.000000
B2,16,3,0,100,51,49,0,49,100.000000
B2,16,3,1,100,49,51,0,51,100.000000
B2,16,4,0,100,56,44,0,44,100.000000
B2,16,4,1,100,44,56,0,56,100.000000
B2,16,5,0,100,45,55,0,55,100.000000
B2,16,5,1,100,55,45,0,45,100.000000
B2,16,6,0,100,47,53,0,53,100.000000
B2,16,6,1,100,53,47,0,47,100.000000
B2,16,7,0,100,51,49,0,49,100.000000
B2,16,7,1,100,49,51,0,51,100.000000
B2,16,8,0,100,47,53,0,53,100.000000
B2,16,8,1,100,53,47,0,47,100.000000
B2,16,9,0,100,45,55,0,55,100.000000
B2,16,9,1,100,55,45,0,45,100.000000
B2,16,10,0,100,51,49,0,49,100.000000
B2,16,10,1,100,49,51,0,51,100.000000
B2,16,11,0,100,51,49,0,49,100.000000
B2,16,11,1,100,49,51,0,51,100.000000
B2,16,12,0,100,51,49,0,49,100.000000
B2,16,12,1,100,49,51,0,51,100.000000
B2,16,13,0,100,51,49,0,49,100.000000
B2,16,13,1,100,49,51,0,51,100.000000
B2,16,14,0,100,51,49,0,49,100.000000
B2,16,14,1,100,49,51,0,51,100.000000
B2,16,15,0,100,51,49,0,49,100.000000
B2,16,15,1,100,49,51,0,51,100.000000
B3,16,0,0,100,46,54,0,54,100.000000
B3,16,0,1,100,54,46,0,46,100.000000
B3,16,1,0,100,54,46,0,46,100.000000
B3,16,1,1,100,46,54,0,54,100.000000
B3,16,2,0,100,56,44,0,44,100.000000
B3,16,2,1,100,44,56,0,56,100.000000
B3,16,3,0,100,49,51,0,51,100.000000
B3,16,3,1,100,51,49,0,49,100.000000
B3,16,4,0,100,47,53,0,53,100.000000
B3,16,4,1,100,53,47,0,47,100.000000
B3,16,5,0,100,42,58,0,58,100.000000
B3,16,5,1,100,58,42,0,42,100.000000
B3,16,6,0,100,56,44,0,44,100.000000
B3,16,6,1,100,44,56,0,56,100.000000
B3,16,7,0,100,52,48,0,48,100.000000
B3,16,7,1,100,48,52,0,52,100.000000
B3,16,8,0,100,54,46,0,46,100.000000
B3,16,8,1,100,46,54,0,54,100.000000
B3,16,9,0,100,54,46,0,46,100.000000
B3,16,9,1,100,46,54,0,54,100.000000
B3,16,10,0,100,45,55,0,55,100.000000
B3,16,10,1,100,55,45,0,45,100.000000
B3,16,11,0,100,46,54,0,54,100.000000
B3,16,11,1,100,54,46,0,46,100.000000
B3,16,12,0,100,46,54,0,54,100.000000
B3,16,12,1,100,54,46,0,46,100.000000
B3,16,13,0,100,46,54,0,54,100.000000
B3,16,13,1,100,54,46,0,46,100.000000
B3,16,14,0,100,46,54,0,54,100.000000
B3,16,14,1,100,54,46,0,46,100.000000
B3,16,15,0,100,46,54,0,54,100.000000
B3,16,15,1,100,54,46,0,46,100.000000
C0,32,0,0,100,61,39,0,39,100.000000
C0,32,0,1,100,39,61,0,61,100.000000
C0,32,1,0,100,53,47,0,47,100.000000
C0,32,1,1,100,47,53,0,53,100.000000
C0,32,2,0,100,52,48,0,48,100.000000
C0,32,2,1,100,48,52,0,52,100.000000
C0,32,3,0,100,59,41,0,41,100.000000
C0,32,3,1,100,41,59,0,59,100.000000
C0,32,4,0,100,50,50,0,50,100.000000
C0,32,4,1,100,50,50,0,50,100.000000
C0,32,5,0,100,56,44,0,44,100.000000
C0,32,5,1,100,44,56,0,56,100.000000
C0,32,6,0,100,49,51,0,51,100.000000
C0,32,6,1,100,51,49,0,49,100.000000
C0,32,7,0,100,42,58,0,58,100.000000
C0,32,7,1,100,58,42,0,42,100.000000
C0,32,8,0,100,54,46,0,46,100.000000
C0,32,8,1,100,46,54,0,54,100.000000
C0,32,9,0,100,45,55,0,55,100.000000
C0,32,9,1,100,55,45,0,45,100.000000
C0,32,10,0,100,55,45,0,45,100.000000
C0,32,10,1,100,45,55,0,55,100.000000
C0,32,11,0,100,50,50,0,50,100.000000
C0,32,11,1,100,50,50,0,50,100.000000
C0,32,12,0,100,48,52,0,52,100.000000
C0,32,12,1,100,52,48,0,48,100.000000
C0,32,13,0,100,50,50,0,50,100.000000
C0,32,13,1,100,50,50,0,50,100.000000
C0,32,14,0,100,53,47,0,47,100.000000
C0,32,14,1,100,47,53,0,53,100.000000
C0,32,15,0,100,53,47,0,47,100.000000
C0,32,15,1,100,47,53,0,53,100.000000
C0,32,16,0,100,50,50,0,50,100.000000
C0,32,16,1,100,50,50,0,50,100.000000
C0,32,17,0,100,58,42,0,42,100.000000
C0,32,17,1,100,42,58,0,58,100.000000
C0,32,18,0,100,55,45,0,45,100.000000
C0,32,18,1,100,45,55,0,55,100.000000
C0,32,19,0,100,55,45,0,45,100.000000
C0,32,19,1,100,45,55,0,55,100.000000
C0,32,20,0,100,56,44,0,44,100.000000
C0,32,20,1,100,44,56,0,56,100.000000
C0,32,21,0,100,56,44,0,44,100.000000
C0,32,21,1,100,44,56,0,56,100.000000
C0,32,22,0,100,56,44,0,44,100.000000
C0,32,22,1,100,44,56,0,56,100.000000
C0,32,23,0,100,56,44,0,44,100.000000
C0,32,23,1,100,44,56,0,56,100.000000
C0,32,24,0,100,56,44,0,44,100.000000
C0,32,24,1,100,44,56,0,56,100.000000
C0,32,25,0,100,56,44,0,44,100.000000
C0,32,25,1,100,44,56,0,56,100.000000
C0,32,26,0,100,56,44,0,44,100.000000
C0,32,26,1,100,44,56,0,56,100.000000
C0,32,27,0,100,56,44,0,44,100.000000
C0,32,27,1,100,44,56,0,56,100.000000
C0,32,28,0,100,56,44,0,44,100.000000
C0,32,28,1,100,44,56,0,56,100.000000
C0,32,29,0,100,56,44,0,44,100.000000
C0,32,29,1,100,44,56,0,56,100.000000
C0,32,30,0,100,56,44,0,44,100.000000
C0,32,30,1,100,44,56,0,56,100.000000
C0,32,31,0,100,56,44,0,44,100.000000
C0,32,31,1,100,44,56,0,56,100.000000
