vector_id,golden,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
0,FFFBE8F3,320,160,160,0,160,0.000000,100.000000
1,0011B895,320,160,160,0,160,0.000000,100.000000
2,00018F9C,320,160,160,0,160,0.000000,100.000000
3,FFFD4A4C,320,160,160,0,160,0.000000,100.000000
4,FFEC1568,320,160,160,0,160,0.000000,100.000000
5,0015B563,320,160,160,0,160,0.000000,100.000000
6,FFF587FE,320,160,160,0,160,0.000000,100.000000
7,0005821D,320,160,160,0,160,0.000000,100.000000
8,000BCB7B,320,160,160,0,160,0.000000,100.000000
9,FFFB5833,320,160,160,0,160,0.000000,100.000000
10,002222A7,320,160,160,0,160,0.000000,100.000000
11,000389C1,320,160,160,0,160,0.000000,100.000000
12,FFF48852,320,160,160,0,160,0.000000,100.000000
13,FFF398F7,320,160,160,0,160,0.000000,100.000000
14,FFFF29CA,320,160,160,0,160,0.000000,100.000000
15,0009C788,320,160,160,0,160,0.000000,100.000000
16,0006678F,320,160,160,0,160,0.000000,100.000000
17,00143A13,320,160,160,0,160,0.000000,100.000000
18,001A6311,320,160,160,0,160,0.000000,100.000000
19,FFFB7BC3,320,160,160,0,160,0.000000,100.000000
20,00048E65,320,160,160,0,160,0.000000,100.000000
21,FFEA94F8,320,160,160,0,160,0.000000,100.000000
22,FFF893C1,320,160,160,0,160,0.000000,100.000000
23,FFFEE66C,320,160,160,0,160,0.000000,100.000000
24,FFF073A8,320,160,160,0,160,0.000000,100.000000
25,FFFED53F,320,160,160,0,160,0.000000,100.000000
26,FFF8DC0C,320,160,160,0,160,0.000000,100.000000
27,000235CE,320,160,160,0,160,0.000000,100.000000
28,001EE02A,320,160,160,0,160,0.000000,100.000000
29,FFECDFBE,320,160,160,0,160,0.000000,100.000000
30,FFF39EB7,320,160,160,0,160,0.000000,100.000000
31,FFEC8002,320,160,160,0,160,0.000000,100.000000
32,FFF9A5BF,320,160,160,0,160,0.000000,100.000000
33,FFE27C6D,320,160,160,0,160,0.000000,100.000000
34,FFEEBF86,320,160,160,0,160,0.000000,100.000000
35,001165E5,320,160,160,0,160,0.000000,100.000000
36,FFFBBE69,320,160,160,0,160,0.000000,100.000000
37,FFE4B06A,320,160,160,0,160,0.000000,100.000000
38,00019982,320,160,160,0,160,0.000000,100.000000
39,000427A4,320,160,160,0,160,0.000000,100.000000
40,FFEBF0F1,320,160,160,0,160,0.000000,100.000000
41,FFFB61CD,320,160,160,0,160,0.000000,100.000000
42,FFF5894F,320,160,160,0,160,0.000000,100.000000
43,FFE6A41E,320,160,160,0,160,0.000000,100.000000
44,000718B6,320,160,160,0,160,0.000000,100.000000
45,FFF3F052,320,160,160,0,160,0.000000,100.000000
46,FFFDAF91,320,160,160,0,160,0.000000,100.000000
47,FFEEF08E,320,160,160,0,160,0.000000,100.000000
48,000C0DD8,320,160,160,0,160,0.000000,100.000000
49,000ED08D,320,160,160,0,160,0.000000,100.000000
50,FFFF03B7,320,160,160,0,160,0.000000,100.000000
51,00109DDD,320,160,160,0,160,0.000000,100.000000
52,000B5202,320,160,160,0,160,0.000000,100.000000
53,00068B2C,320,160,160,0,160,0.000000,100.000000
54,FFF4763D,320,160,160,0,160,0.000000,100.000000
55,000767AC,320,160,160,0,160,0.000000,100.000000
56,001C0206,320,160,160,0,160,0.000000,100.000000
57,FFEF9BE8,320,160,160,0,160,0.000000,100.000000
58,FFE89E7A,320,160,160,0,160,0.000000,100.000000
59,FFF66E9E,320,160,160,0,160,0.000000,100.000000
60,FFFFF59F,320,160,160,0,160,0.000000,100.000000
61,0016D47B,320,160,160,0,160,0.000000,100.000000
62,FFF0C2BC,320,160,160,0,160,0.000000,100.000000
63,0010B999,320,160,160,0,160,0.000000,100.000000
64,0003CC3C,320,160,160,0,160,0.000000,100.000000
65,00107499,320,160,160,0,160,0.000000,100.000000
66,00070FD3,320,160,160,0,160,0.000000,100.000000
67,FFF6F85A,320,160,160,0,160,0.000000,100.000000
68,FFFB1D43,320,160,160,0,160,0.000000,100.000000
69,000DE411,320,160,160,0,160,0.000000,100.000000
70,000836D8,320,160,160,0,160,0.000000,100.000000
71,00179F08,320,160,160,0,160,0.000000,100.000000
72,FFEDEDDA,320,160,160,0,160,0.000000,100.000000
73,FFFD493E,320,160,160,0,160,0.000000,100.000000
74,FFFDCD35,320,160,160,0,160,0.000000,100.000000
75,FFEF1CBC,320,160,160,0,160,0.000000,100.000000
76,000FBA31,320,160,160,0,160,0.000000,100.000000
77,001954DC,320,160,160,0,160,0.000000,100.000000
78,00127BDE,320,160,160,0,160,0.000000,100.000000
79,FFE5AF18,320,160,160,0,160,0.000000,100.000000
80,FFF6DCDB,320,160,160,0,160,0.000000,100.000000
81,FFEE9EF9,320,160,160,0,160,0.000000,100.000000
82,0011853E,320,160,160,0,160,0.000000,100.000000
83,0001239F,320,160,160,0,160,0.000000,100.000000
84,FFFEFFF3,320,160,160,0,160,0.000000,100.000000
85,00131DE4,320,160,160,0,160,0.000000,100.000000
86,001B2CCA,320,160,160,0,160,0.000000,100.000000
87,0009DB84,320,160,160,0,160,0.000000,100.000000
88,0006F100,320,160,160,0,160,0.000000,100.000000
89,00012A0D,320,160,160,0,160,0.000000,100.000000
90,FFFF69B5,320,160,160,0,160,0.000000,100.000000
91,00091005,320,160,160,0,160,0.000000,100.000000
92,0009C22D,320,160,160,0,160,0.000000,100.000000
93,000DDA3F,320,160,160,0,160,0.000000,100.000000
94,000C2D9F,320,160,160,0,160,0.000000,100.000000
95,00124E8A,320,160,160,0,160,0.000000,100.000000
96,FFFD1F9D,320,160,160,0,160,0.000000,100.000000
97,FFE85FE8,320,160,160,0,160,0.000000,100.000000
98,000B1408,320,160,160,0,160,0.000000,100.000000
99,FFFC083A,320,160,160,0,160,0.000000,100.000000
