vector_id,label,width_bits,fraction_bits,original,signed_raw,encoded_hex,decoded_fixed,quantization_error
0,A0,8,5,0.2788535969,9,09,0.28125,0.0023964031
0,A1,8,5,-0.9499784896,-30,E2,-0.9375,0.0124784896
0,A2,8,5,-0.4499413633,-14,F2,-0.4375,0.0124413633
0,A3,8,5,-0.5535785237,-18,EE,-0.5625,-0.0089214763
0,B0,8,5,0.4729424283,15,0F,0.46875,-0.0041924283
0,B1,8,5,0.3533989748,11,0B,0.34375,-0.0096489748
0,B2,8,5,0.7843591354,25,19,0.78125,-0.0031091354
0,B3,8,5,-0.8261223347,-26,E6,-0.8125,0.0136223347
0,C0,16,10,-0.1561563606,-160,FF60,-0.15625,-9.36394e-05
1,A0,8,5,-0.9404055611,-30,E2,-0.9375,0.0029055611
1,A1,8,5,-0.5627240504,-18,EE,-0.5625,0.0002240504
1,A2,8,5,0.0107105762,0,00,0,-0.0107105762
1,A3,8,5,-0.9469280606,-30,E2,-0.9375,0.0094280606
1,B0,8,5,-0.6023246986,-19,ED,-0.59375,0.0085746986
1,B1,8,5,0.2997688756,10,0A,0.3125,0.0127311244
1,B2,8,5,0.0898829612,3,03,0.09375,0.0038670388
1,B3,8,5,-0.5591187559,-18,EE,-0.5625,-0.0033812441
1,C0,16,10,0.1785313678,183,00B7,0.1787109375,0.0001795697
2,A0,8,5,0.6188609134,20,14,0.625,0.0061390866
2,A1,8,5,-0.9870024806,-32,E0,-1,-0.0129975194
2,A2,8,5,0.6116385037,20,14,0.625,0.0133614963
2,A3,8,5,0.3962787900,13,0D,0.40625,0.00997121
2,B0,8,5,-0.3194989670,-10,F6,-0.3125,0.006998967
2,B1,8,5,-0.6890410004,-22,EA,-0.6875,0.0015410004
2,B2,8,5,0.9144261444,29,1D,0.90625,-0.0081761444
2,B3,8,5,-0.3268109098,-10,F6,-0.3125,0.0143109098
2,C0,16,10,-0.8145083132,-834,FCBE,-0.814453125,5.51881999999e-05
3,A0,8,5,-0.8065672463,-26,E6,-0.8125,-0.0059327537
3,A1,8,5,0.6949887327,22,16,0.6875,-0.0074887327
3,A2,8,5,0.2074520627,7,07,0.21875,0.0112979373
3,A3,8,5,0.6142565465,20,14,0.625,0.0107434535
3,B0,8,5,0.4594635734,15,0F,0.46875,0.0092864266
3,B1,8,5,0.0724561829,2,02,0.0625,-0.0099561829
3,B2,8,5,0.9462315280,30,1E,0.9375,-0.008731528
3,B3,8,5,-0.2429312456,-8,F8,-0.25,-0.0070687544
3,C0,16,10,0.1040812625,107,006B,0.1044921875,0.000410925
4,A0,8,5,0.6588093285,21,15,0.65625,-0.0025593285
4,A1,8,5,0.2370395047,8,08,0.25,0.0129604953
4,A2,8,5,0.7234138006,23,17,0.71875,-0.0046638006
4,A3,8,5,0.1547042905,5,05,0.15625,0.0015457095
4,B0,8,5,0.4091436724,13,0D,0.40625,-0.0028936724
4,B1,8,5,-0.9083512327,-29,E3,-0.90625,0.0021012327
4,B2,8,5,-0.5442034487,-17,EF,-0.53125,0.0129534487
4,B3,8,5,-0.4212240728,-13,F3,-0.40625,0.0149740728
4,C0,16,10,-0.8404160462,-861,FCA3,-0.8408203125,-0.0004042663
5,A0,8,5,-0.5344182273,-17,EF,-0.53125,0.0031682273
5,A1,8,5,-0.7979971412,-26,E6,-0.8125,-0.0145028588
5,A2,8,5,-0.4440527938,-14,F2,-0.4375,0.0065527938
5,A3,8,5,0.2713688885,9,09,0.28125,0.0098811115
5,B0,8,5,-0.2703356421,-9,F7,-0.28125,-0.0109143579
5,B1,8,5,-0.2596380658,-8,F8,-0.25,0.0096380658
5,B2,8,5,-0.5809859385,-19,ED,-0.59375,-0.0127640615
5,B3,8,5,-0.4660443559,-15,F1,-0.46875,-0.0027056441
5,C0,16,10,0.8733091754,894,037E,0.873046875,-0.0002623004
6,A0,8,5,0.2960707705,9,09,0.28125,-0.0148207705
6,A1,8,5,0.2182620113,7,07,0.21875,0.0004879887
6,A2,8,5,-0.6577227036,-21,EB,-0.65625,0.0014727036
6,A3,8,5,0.4582535959,15,0F,0.46875,0.0104964041
6,B0,8,5,-0.6731950125,-22,EA,-0.6875,-0.0143049875
6,B1,8,5,-0.2410891165,-8,F8,-0.25,-0.0089108835
6,B2,8,5,0.9790467013,31,1F,0.96875,-0.0102967013
6,B3,8,5,0.2799995197,9,09,0.28125,0.0012504803
6,C0,16,10,0.1138994875,117,0075,0.1142578125,0.000358325
7,A0,8,5,0.3692285020,12,0C,0.375,0.005771498
7,A1,8,5,0.6857038404,22,16,0.6875,0.0017961596
7,A2,8,5,0.5519998231,18,12,0.5625,0.0105001769
7,A3,8,5,-0.5419038561,-17,EF,-0.53125,0.0106538561
7,B0,8,5,-0.9357995122,-30,E2,-0.9375,-0.0017004878
7,B1,8,5,-0.3690939039,-12,F4,-0.375,-0.0059060961
7,B2,8,5,-0.4645182480,-15,F1,-0.46875,-0.004231752
7,B3,8,5,-0.5780343128,-18,EE,-0.5625,0.0155343128
7,C0,16,10,0.8858194287,907,038B,0.8857421875,-7.72412e-05
8,A0,8,5,0.7527352529,24,18,0.75,-0.0027352529
8,A1,8,5,-0.3706442384,-12,F4,-0.375,-0.0043557616
8,A2,8,5,0.3108773306,10,0A,0.3125,0.0016226694
8,A3,8,5,-0.2087361979,-7,F9,-0.21875,-0.0100138021
8,B0,8,5,0.8290951795,27,1B,0.84375,0.0146548205
8,B1,8,5,-0.0822962948,-3,FD,-0.09375,-0.0114537052
8,B2,8,5,-0.4702396670,-15,F1,-0.46875,0.001489667
8,B3,8,5,-0.5067449846,-16,F0,-0.5,0.0067449846
8,C0,16,10,0.1227362683,126,007E,0.123046875,0.0003106067
9,A0,8,5,-0.4745167830,-15,F1,-0.46875,0.005766783
9,A1,8,5,0.1691719804,5,05,0.15625,-0.0129219804
9,A2,8,5,0.7956457672,25,19,0.78125,-0.0143957672
9,A3,8,5,-0.2011989897,-6,FA,-0.1875,0.0136989897
9,B0,8,5,-0.5613584817,-18,EE,-0.5625,-0.0011415183
9,B1,8,5,0.9950752130,32,20,1,0.004924787
9,B2,8,5,0.0190525874,1,01,0.03125,0.0121974126
9,B3,8,5,-0.8181811757,-26,E6,-0.8125,0.0056811757
9,C0,16,10,-0.9057672492,-928,FC60,-0.90625,-0.0004827508
10,A0,8,5,-0.7807017393,-25,E7,-0.78125,-0.0005482607
10,A1,8,5,0.2548920834,8,08,0.25,-0.0048920834
10,A2,8,5,0.5841587287,19,13,0.59375,0.0095912713
10,A3,8,5,-0.1556800664,-5,FB,-0.15625,-0.0005699336
10,B0,8,5,-0.8729445877,-28,E4,-0.875,-0.0020554123
10,B1,8,5,-0.2367614270,-8,F8,-0.25,-0.013238573
10,B2,8,5,0.9922427605,32,20,1,0.0077572395
10,B3,8,5,0.0582286902,2,02,0.0625,0.0042713098
10,C0,16,10,0.9421567552,965,03C5,0.9423828125,0.0002260573
11,A0,8,5,0.7215594045,23,17,0.71875,-0.0028094045
11,A1,8,5,-0.9770379561,-31,E1,-0.96875,0.0082879561
11,A2,8,5,0.4414436387,14,0E,0.4375,-0.0039436387
11,A3,8,5,0.3634207381,12,0C,0.375,0.0115792619
11,B0,8,5,0.0739406608,2,02,0.0625,-0.0114406608
11,B1,8,5,-0.4663496201,-15,F1,-0.46875,-0.0024003799
11,B2,8,5,0.2819235972,9,09,0.28125,-0.0006735972
11,B3,8,5,-0.7768956528,-25,E7,-0.78125,-0.0043543472
11,C0,16,10,-0.1304694987,-134,FF7A,-0.130859375,-0.0003898763
12,A0,8,5,-0.0925525873,-3,FD,-0.09375,-0.0011974127
12,A1,8,5,0.9076318550,29,1D,0.90625,-0.001381855
12,A2,8,5,0.7517058808,24,18,0.75,-0.0017058808
12,A3,8,5,-0.4732218985,-15,F1,-0.46875,0.0044718985
12,B0,8,5,0.0011722261,0,00,0,-0.0011722261
12,B1,8,5,-0.6426962389,-21,EB,-0.65625,-0.0135537611
12,B2,8,5,0.8252556787,26,1A,0.8125,-0.0127556787
12,B3,8,5,0.7410371397,24,18,0.75,0.0089628603
12,C0,16,10,-0.4031104171,-413,FE63,-0.4033203125,-0.0002098954
13,A0,8,5,0.2778989897,9,09,0.28125,0.0033510103
13,A1,8,5,0.2179404229,7,07,0.21875,0.0008095771
13,A2,8,5,-0.6943214629,-22,EA,-0.6875,0.0068214629
13,A3,8,5,0.5250216002,17,11,0.53125,0.0062283998
13,B0,8,5,0.0787580602,3,03,0.09375,0.0149919398
13,B1,8,5,0.5572529573,18,12,0.5625,0.0052470427
13,B2,8,5,0.0607073444,2,02,0.0625,0.0017926556
13,B3,8,5,-0.9988562077,-32,E0,-1,-0.0011437923
13,C0,16,10,-0.3516878860,-360,FE98,-0.3515625,0.000125386
14,A0,8,5,-0.9610465152,-31,E1,-0.96875,-0.0077034848
14,A1,8,5,0.8581972325,27,1B,0.84375,-0.0144472325
14,A2,8,5,0.7574437556,24,18,0.75,-0.0074437556
14,A3,8,5,0.6633310587,21,15,0.65625,-0.0070810587
14,B0,8,5,-0.3849717492,-12,F4,-0.375,0.0099717492
14,B1,8,5,-0.8841496670,-28,E4,-0.875,0.009149667
14,B2,8,5,0.7560191984,24,18,0.75,-0.0060191984
14,B3,8,5,0.8938988906,29,1D,0.90625,0.0123511094
14,C0,16,10,-0.8286930959,-849,FCAF,-0.8291015625,-0.0004084666
15,A0,8,5,-0.0280190734,-1,FF,-0.03125,-0.0032309266
15,A1,8,5,-0.8615749631,-28,E4,-0.875,-0.0134250369
15,A2,8,5,0.5212043305,17,11,0.53125,0.0100456695
15,A3,8,5,0.5316688586,17,11,0.53125,-0.0004188586
15,B0,8,5,-0.7432170710,-24,E8,-0.75,-0.006782929
15,B1,8,5,-0.0494352438,-2,FE,-0.0625,-0.0130647562
15,B2,8,5,0.0996071870,3,03,0.09375,-0.005857187
15,B3,8,5,-0.4698867421,-15,F1,-0.46875,0.0011367421
15,C0,16,10,0.7448660822,763,02FB,0.7451171875,0.0002511053
16,A0,8,5,-0.1537241196,-5,FB,-0.15625,-0.0025258804
16,A1,8,5,-0.5764035891,-18,EE,-0.5625,0.0139035891
16,A2,8,5,0.0785921776,3,03,0.09375,0.0151578224
16,A3,8,5,0.4598621382,15,0F,0.46875,0.0088878618
16,B0,8,5,-0.5976978732,-19,ED,-0.59375,0.0039478732
16,B1,8,5,-0.3765674174,-12,F4,-0.375,0.0015674174
16,B2,8,5,0.9902987133,32,20,1,0.0097012867
16,B3,8,5,0.2997561153,10,0A,0.3125,0.0127438847
16,C0,16,10,-0.1237998322,-127,FF81,-0.1240234375,-0.0002236053
17,A0,8,5,0.0351516821,1,01,0.03125,-0.0039016821
17,A1,8,5,-0.7579916083,-24,E8,-0.75,0.0079916083
17,A2,8,5,-0.5506053259,-18,EE,-0.5625,-0.0118946741
17,A3,8,5,-0.3238288757,-10,F6,-0.3125,0.0113288757
17,B0,8,5,0.1766174369,6,06,0.1875,0.0108825631
17,B1,8,5,-0.5397705348,-17,EF,-0.53125,0.0085205348
17,B2,8,5,-0.5595652311,-18,EE,-0.5625,-0.0029347689
17,B3,8,5,-0.8580138280,-27,E5,-0.84375,0.014263828
17,C0,16,10,0.2622059145,268,010C,0.26171875,-0.0004871645
18,A0,8,5,-0.5421164324,-17,EF,-0.53125,0.0108664324
18,A1,8,5,0.8108400260,26,1A,0.8125,0.001659974
18,A2,8,5,0.7192708005,23,17,0.71875,-0.0005208005
18,A3,8,5,-0.8582853002,-27,E5,-0.84375,0.0145353002
18,B0,8,5,-0.5239907313,-17,EF,-0.53125,-0.0072592687
18,B1,8,5,0.3379555566,11,0B,0.34375,0.0057944434
18,B2,8,5,-0.5715263853,-18,EE,-0.5625,0.0090263853
18,B3,8,5,-0.7353763025,-24,E8,-0.75,-0.0146236975
18,C0,16,10,0.8710284812,892,037C,0.87109375,6.52688e-05
19,A0,8,5,0.1420861867,5,05,0.15625,0.0141638133
19,A1,8,5,-0.0546579474,-2,FE,-0.0625,-0.0078420526
19,A2,8,5,0.5692388486,18,12,0.5625,-0.0067388486
19,A3,8,5,0.6149939955,20,14,0.625,0.0100060045
19,B0,8,5,-0.6191801713,-20,EC,-0.625,-0.0058198287
19,B1,8,5,-0.8061383715,-26,E6,-0.8125,-0.0063616285
19,B2,8,5,-0.1378976352,-4,FC,-0.125,0.0128976352
19,B3,8,5,-0.1528427540,-5,FB,-0.15625,-0.003407246
19,C0,16,10,-0.0659506639,-68,FFBC,-0.06640625,-0.0004555861
20,A0,8,5,0.4581516989,15,0F,0.46875,0.0105983011
20,A1,8,5,0.3467290946,11,0B,0.34375,-0.0029790946
20,A2,8,5,0.9683304227,31,1F,0.96875,0.0004195773
20,A3,8,5,-0.8031642577,-26,E6,-0.8125,-0.0093357423
20,B0,8,5,-0.1947574358,-6,FA,-0.1875,0.0072574358
20,B1,8,5,-0.3213947892,-10,F6,-0.3125,0.0088947892
20,B2,8,5,0.7233450727,23,17,0.71875,-0.0045950727
20,B3,8,5,-0.5026873322,-16,F0,-0.5,0.0026873322
20,C0,16,10,-0.6195821831,-634,FD86,-0.619140625,0.0004415581
21,A0,8,5,-0.1027729043,-3,FD,-0.09375,0.0090229043
21,A1,8,5,-0.1562367203,-5,FB,-0.15625,-1.32797e-05
21,A2,8,5,-0.4429097107,-14,F2,-0.4375,0.0054097107
21,A3,8,5,-0.5003871042,-16,F0,-0.5,0.0003871042
21,B0,8,5,0.8465311986,27,1B,0.84375,-0.0027811986
21,B1,8,5,-0.1137385099,-4,FC,-0.125,-0.0112614901
21,B2,8,5,0.7226982095,23,17,0.71875,-0.0039482095
21,B3,8,5,0.1006506249,3,03,0.09375,-0.0069006249
21,C0,16,10,-0.8988233410,-920,FC68,-0.8984375,0.000385841
22,A0,8,5,0.9985649368,32,20,1,0.0014350632
22,A1,8,5,0.6720551702,22,16,0.6875,0.0154448298
22,A2,8,5,0.9379925146,30,1E,0.9375,-0.0004925146
22,A3,8,5,0.8527339660,27,1B,0.84375,-0.008983966
22,B0,8,5,0.6973914688,22,16,0.6875,-0.0098914688
22,B1,8,5,-0.6673777788,-21,EB,-0.65625,0.0111277788
