vector_id,label,original,fp8_hex,decoded_fp8,quantization_error
0,A0,0.2788535969,29,0.28125,0.00239640308423
0,A1,-0.9499784896,B7,-0.9375,0.0124784895547
0,A2,-0.4499413633,AE,-0.4375,0.0124413632618
0,A3,-0.5535785237,B1,-0.5625,-0.00892147629765
0,B0,0.4729424283,2F,0.46875,-0.00419242832802
0,B1,0.3533989748,2B,0.34375,-0.00964897484582
0,B2,0.7843591354,35,0.8125,0.0281408645903
0,B3,-0.8261223347,B5,-0.8125,0.0136223347412
0,C0,-0.1561563606,A2,-0.15625,-9.36393705409e-05
1,A0,-0.9404055611,B7,-0.9375,0.00290556112386
1,A1,-0.5627240504,B1,-0.5625,0.000224050392793
1,A2,0.0107105762,05,0.009765625,-0.000944951206725
1,A3,-0.9469280606,B7,-0.9375,0.00942806063227
1,B0,-0.6023246986,B2,-0.625,-0.0226753013733
1,B1,0.2997688756,2A,0.3125,0.012731124441
1,B2,0.0898829612,1C,0.09375,0.00386703879357
1,B3,-0.5591187559,B1,-0.5625,-0.00338124408139
1,C0,0.1785313678,23,0.171875,-0.00665636775182
2,A0,0.6188609134,32,0.625,0.00613908664435
2,A1,-0.9870024806,B8,-1,-0.0129975193561
2,A2,0.6116385037,32,0.625,0.0133614963344
2,A3,0.3962787900,2D,0.40625,0.00997121002355
2,B0,-0.3194989670,AA,-0.3125,0.00699896696402
2,B1,-0.6890410004,B3,-0.6875,0.00154100037644
2,B2,0.9144261444,37,0.9375,0.0230738555864
2,B3,-0.3268109098,AA,-0.3125,0.0143109097747
2,C0,-0.8145083132,B5,-0.8125,0.0020083132397
3,A0,-0.8065672463,B5,-0.8125,-0.00593275366693
3,A1,0.6949887327,33,0.6875,-0.00748873269492
3,A2,0.2074520627,25,0.203125,-0.00432706273378
3,A3,0.6142565465,32,0.625,0.0107434534512
3,B0,0.4594635734,2F,0.46875,0.00928642661236
3,B1,0.0724561829,19,0.0703125,-0.0021436829094
3,B2,0.9462315280,37,0.9375,-0.00873152795874
3,B3,-0.2429312456,A8,-0.25,-0.00706875441671
3,C0,0.1040812625,1D,0.1015625,-0.00251876254645
4,A0,0.6588093285,33,0.6875,0.028690671494
4,A1,0.2370395047,27,0.234375,-0.00266450472849
4,A2,0.7234138006,34,0.75,0.0265861993784
4,A3,0.1547042905,22,0.15625,0.00154570948648
4,B0,0.4091436724,2D,0.40625,-0.00289367242985
4,B1,-0.9083512327,B7,-0.9375,-0.0291487673113
4,B2,-0.5442034487,B1,-0.5625,-0.0182965513031
4,B3,-0.4212240728,AD,-0.40625,0.0149740727958
4,C0,-0.8404160462,B5,-0.8125,0.0279160461527
5,A0,-0.5344182273,B1,-0.5625,-0.0280817727221
5,A1,-0.7979971412,B5,-0.8125,-0.0145028588195
5,A2,-0.4440527938,AE,-0.4375,0.00655279377982
5,A3,0.2713688885,29,0.28125,0.0098811114712
5,B0,-0.2703356421,A9,-0.28125,-0.0109143579402
5,B1,-0.2596380658,A8,-0.25,0.00963806576623
5,B2,-0.5809859385,B1,-0.5625,0.018485938457
5,B3,-0.4660443559,AF,-0.46875,-0.00270564409823
5,C0,0.8733091754,36,0.875,0.00169082457501
6,A0,0.2960707705,29,0.28125,-0.0148207704932
6,A1,0.2182620113,26,0.21875,0.000487988666024
6,A2,-0.6577227036,B3,-0.6875,-0.0297772963962
6,A3,0.4582535959,2F,0.46875,0.0104964040993
6,B0,-0.6731950125,B3,-0.6875,-0.0143049875239
6,B1,-0.2410891165,A7,-0.234375,0.0067141164847
6,B2,0.9790467013,38,1,0.0209532987268
6,B3,0.2799995197,29,0.28125,0.00125048029181
6,C0,0.1138994875,1F,0.1171875,0.00328801245071
7,A0,0.3692285020,2C,0.375,0.00577149802025
7,A1,0.6857038404,33,0.6875,0.00179615962038
7,A2,0.5519998231,31,0.5625,0.0105001769075
7,A3,-0.5419038561,B1,-0.5625,-0.0205961439282
7,B0,-0.9357995122,B7,-0.9375,-0.00170048780808
7,B1,-0.3690939039,AC,-0.375,-0.00590609611816
7,B2,-0.4645182480,AF,-0.46875,-0.00423175195141
7,B3,-0.5780343128,B1,-0.5625,0.0155343128273
7,C0,0.8858194287,36,0.875,-0.0108194286701
8,A0,0.7527352529,34,0.75,-0.00273525294534
8,A1,-0.3706442384,AC,-0.375,-0.00435576159696
8,A2,0.3108773306,2A,0.3125,0.00162266941024
8,A3,-0.2087361979,A5,-0.203125,0.00561119787867
8,B0,0.8290951795,35,0.8125,-0.0165951794811
8,B1,-0.0822962948,9B,-0.0859375,-0.0036412051748
8,B2,-0.4702396670,AF,-0.46875,0.0014896670039
8,B3,-0.5067449846,B0,-0.5,0.00674498461203
8,C0,0.1227362683,20,0.125,0.0022637316737
9,A0,-0.4745167830,AF,-0.46875,0.00576678295413
9,A1,0.1691719804,23,0.171875,0.00270301955292
9,A2,0.7956457672,35,0.8125,0.016854232795
9,A3,-0.2011989897,A5,-0.203125,-0.00192601028079
9,B0,-0.5613584817,B1,-0.5625,-0.00114151831457
9,B1,0.9950752130,38,1,0.00492478700978
9,B2,0.0190525874,0A,0.01953125,0.000478662647071
9,B3,-0.8181811757,B5,-0.8125,0.00568117565241
9,C0,-0.9057672492,B6,-0.875,0.0307672491505
10,A0,-0.7807017393,B4,-0.75,0.0307017392987
10,A1,0.2548920834,28,0.25,-0.00489208340618
10,A2,0.5841587287,31,0.5625,-0.0216587287259
10,A3,-0.1556800664,A2,-0.15625,-0.000569933599368
10,B0,-0.8729445877,B6,-0.875,-0.00205541230391
10,B1,-0.2367614270,A7,-0.234375,0.00238642698693
10,B2,0.9922427605,38,1,0.00775723951981
10,B3,0.0582286902,17,0.05859375,0.000365059801726
10,C0,0.9421567552,37,0.9375,-0.00465675522724
11,A0,0.7215594045,34,0.75,0.028440595531
11,A1,-0.9770379561,B8,-1,-0.0229620438856
11,A2,0.4414436387,2E,0.4375,-0.00394363872039
11,A3,0.3634207381,2C,0.375,0.0115792619469
11,B0,0.0739406608,19,0.0703125,-0.00362816081759
11,B1,-0.4663496201,AF,-0.46875,-0.00240037990509
11,B2,0.2819235972,29,0.28125,-0.000673597159616
