row,vector_id,target,operand_index,width_bits,bit,stuck_at,original,faulty,activated
0,0,A0,0,16,0,0,5C51,5C50,True
1,0,A0,0,16,0,1,5C51,5C51,False
2,0,A0,0,16,1,0,5C51,5C51,False
3,0,A0,0,16,1,1,5C51,5C53,True
4,0,A0,0,16,2,0,5C51,5C51,False
5,0,A0,0,16,2,1,5C51,5C55,True
6,0,A0,0,16,3,0,5C51,5C51,False
7,0,A0,0,16,3,1,5C51,5C59,True
8,0,A0,0,16,4,0,5C51,5C41,True
9,0,A0,0,16,4,1,5C51,5C51,False
10,0,A0,0,16,5,0,5C51,5C51,False
11,0,A0,0,16,5,1,5C51,5C71,True
12,0,A0,0,16,6,0,5C51,5C11,True
13,0,A0,0,16,6,1,5C51,5C51,False
14,0,A0,0,16,7,0,5C51,5C51,False
15,0,A0,0,16,7,1,5C51,5CD1,True
16,0,A0,0,16,8,0,5C51,5C51,False
17,0,A0,0,16,8,1,5C51,5D51,True
18,0,A0,0,16,9,0,5C51,5C51,False
19,0,A0,0,16,9,1,5C51,5E51,True
20,0,A0,0,16,10,0,5C51,5851,True
21,0,A0,0,16,10,1,5C51,5C51,False
22,0,A0,0,16,11,0,5C51,5451,True
23,0,A0,0,16,11,1,5C51,5C51,False
24,0,A0,0,16,12,0,5C51,4C51,True
25,0,A0,0,16,12,1,5C51,5C51,False
26,0,A0,0,16,13,0,5C51,5C51,False
27,0,A0,0,16,13,1,5C51,7C51,True
28,0,A0,0,16,14,0,5C51,1C51,True
29,0,A0,0,16,14,1,5C51,5C51,False
30,0,A0,0,16,15,0,5C51,5C51,False
31,0,A0,0,16,15,1,5C51,DC51,True
32,0,A1,1,16,0,0,7FDA,7FDA,False
33,0,A1,1,16,0,1,7FDA,7FDB,True
34,0,A1,1,16,1,0,7FDA,7FD8,True
35,0,A1,1,16,1,1,7FDA,7FDA,False
36,0,A1,1,16,2,0,7FDA,7FDA,False
37,0,A1,1,16,2,1,7FDA,7FDE,True
38,0,A1,1,16,3,0,7FDA,7FD2,True
39,0,A1,1,16,3,1,7FDA,7FDA,False
40,0,A1,1,16,4,0,7FDA,7FCA,True
