row,vector_id,target,operand_index,width_bits,bit,stuck_at,original,faulty,activated,golden,golden_kind,faulty_result,faulty_kind,class
0,0,A0,0,16,0,0,5C51,5C50,True,7C11,Normal,7C12,Normal,SDC
1,0,A0,0,16,0,1,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
2,0,A0,0,16,1,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
3,0,A0,0,16,1,1,5C51,5C53,True,7C11,Normal,7C10,Normal,SDC
4,0,A0,0,16,2,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
5,0,A0,0,16,2,1,5C51,5C55,True,7C11,Normal,7C10,Normal,SDC
6,0,A0,0,16,3,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
7,0,A0,0,16,3,1,5C51,5C59,True,7C11,Normal,7C0D,Normal,SDC
8,0,A0,0,16,4,0,5C51,5C41,True,7C11,Normal,7C1A,Normal,SDC
9,0,A0,0,16,4,1,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
10,0,A0,0,16,5,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
11,0,A0,0,16,5,1,5C51,5C71,True,7C11,Normal,7C00,Normal,SDC
12,0,A0,0,16,6,0,5C51,5C11,True,7C11,Normal,7C30,Normal,SDC
13,0,A0,0,16,6,1,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
14,0,A0,0,16,7,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
15,0,A0,0,16,7,1,5C51,5CD1,True,7C11,Normal,7BC5,Normal,SDC
16,0,A0,0,16,8,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
17,0,A0,0,16,8,1,5C51,5D51,True,7C11,Normal,7B60,Normal,SDC
18,0,A0,0,16,9,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
19,0,A0,0,16,9,1,5C51,5E51,True,7C11,Normal,79FA,Normal,SDC
20,0,A0,0,16,10,0,5C51,5851,True,7C11,Normal,7D03,Normal,SDC
21,0,A0,0,16,10,1,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
22,0,A0,0,16,11,0,5C51,5451,True,7C11,Normal,7D35,Normal,SDC
23,0,A0,0,16,11,1,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
24,0,A0,0,16,12,0,5C51,4C51,True,7C11,Normal,4A20,Normal,SDC
25,0,A0,0,16,12,1,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
26,0,A0,0,16,13,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
27,0,A0,0,16,13,1,5C51,7C51,True,7C11,Normal,7E1D,Normal,SDC
28,0,A0,0,16,14,0,5C51,1C51,True,7C11,Normal,7D44,Normal,SDC
29,0,A0,0,16,14,1,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
30,0,A0,0,16,15,0,5C51,5C51,False,7C11,Normal,7C11,Normal,Not activated
31,0,A0,0,16,15,1,5C51,DC51,True,7C11,Normal,DAA4,Special 11,SDC
32,0,A1,1,16,0,0,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
33,0,A1,1,16,0,1,7FDA,7FDB,True,7C11,Normal,7C13,Normal,SDC
34,0,A1,1,16,1,0,7FDA,7FD8,True,7C11,Normal,7C0E,Normal,SDC
35,0,A1,1,16,1,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
36,0,A1,1,16,2,0,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
37,0,A1,1,16,2,1,7FDA,7FDE,True,7C11,Normal,7C17,Normal,SDC
38,0,A1,1,16,3,0,7FDA,7FD2,True,7C11,Normal,7C07,Normal,SDC
39,0,A1,1,16,3,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
40,0,A1,1,16,4,0,7FDA,7FCA,True,7C11,Normal,7BFC,Normal,SDC
41,0,A1,1,16,4,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
42,0,A1,1,16,5,0,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
43,0,A1,1,16,5,1,7FDA,7FFA,True,7C11,Normal,7C3A,Normal,SDC
44,0,A1,1,16,6,0,7FDA,7F9A,True,7C11,Normal,7BBC,Normal,SDC
45,0,A1,1,16,6,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
46,0,A1,1,16,7,0,7FDA,7F5A,True,7C11,Normal,7B64,Normal,SDC
47,0,A1,1,16,7,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
48,0,A1,1,16,8,0,7FDA,7EDA,True,7C11,Normal,7AA4,Normal,SDC
49,0,A1,1,16,8,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
50,0,A1,1,16,9,0,7FDA,7DDA,True,7C11,Normal,78FC,Normal,SDC
51,0,A1,1,16,9,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
52,0,A1,1,16,10,0,7FDA,7BDA,True,7C11,Normal,700B,Normal,SDC
53,0,A1,1,16,10,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
54,0,A1,1,16,11,0,7FDA,77DA,True,7C11,Normal,57D6,Normal,SDC
55,0,A1,1,16,11,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
56,0,A1,1,16,12,0,7FDA,6FDA,True,7C11,Normal,6CDB,Normal,SDC
57,0,A1,1,16,12,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
58,0,A1,1,16,13,0,7FDA,5FDA,True,7C11,Normal,5D79,Normal,SDC
59,0,A1,1,16,13,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
60,0,A1,1,16,14,0,7FDA,3FDA,True,7C11,Normal,58B7,Normal,SDC
61,0,A1,1,16,14,1,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
62,0,A1,1,16,15,0,7FDA,7FDA,False,7C11,Normal,7C11,Normal,Not activated
63,0,A1,1,16,15,1,7FDA,FFDA,True,7C11,Normal,DAA4,Special 11,SDC
64,0,A2,2,16,0,0,7DB2,7DB2,False,7C11,Normal,7C11,Normal,Not activated
65,0,A2,2,16,0,1,7DB2,7DB3,True,7C11,Normal,7C12,Normal,SDC
66,0,A2,2,16,1,0,7DB2,7DB0,True,7C11,Normal,7C0E,Normal,SDC
67,0,A2,2,16,1,1,7DB2,7DB2,False,7C11,Normal,7C11,Normal,Not activated
68,0,A2,2,16,2,0,7DB2,7DB2,False,7C11,Normal,7C11,Normal,Not activated
69,0,A2,2,16,2,1,7DB2,7DB6,True,7C11,Normal,7C16,Normal,SDC
70,0,A2,2,16,3,0,7DB2,7DB2,False,7C11,Normal,7C11,Normal,Not activated
71,0,A2,2,16,3,1,7DB2,7DBA,True,7C11,Normal,7C1C,Normal,SDC
72,0,A2,2,16,4,0,7DB2,7DA2,True,7C11,Normal,7BFB,Normal,SDC
73,0,A2,2,16,4,1,7DB2,7DB2,False,7C11,Normal,7C11,Normal,Not activated
74,0,A2,2,16,5,0,7DB2,7D92,True,7C11,Normal,7BE4,Normal,SDC
75,0,A2,2,16,5,1,7DB2,7DB2,False,7C11,Normal,7C11,Normal,Not activated
76,0,A2,2,16,6,0,7DB2,7DB2,False,7C11,Normal,7C11,Normal,Not activated
77,0,A2,2,16,6,1,7DB2,7DF2,True,7C11,Normal,7C68,Normal,SDC
78,0,A2,2,16,7,0,7DB2,7D32,True,7C11,Normal,7B59,Normal,SDC
79,0,A2,2,16,7,1,7DB2,7DB2,False,7C11,Normal,7C11,Normal,Not activated
80,0,A2,2,16,8,0,7DB2,7CB2,True,7C11,Normal,7AA4,Normal,SDC
