target,bit,stuck_at,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_sdc_percent
A0,0,0,100,52,48,34,14,29.166667
A0,0,1,100,48,52,35,17,32.692308
A0,1,0,100,53,47,26,21,44.680851
A0,1,1,100,47,53,23,30,56.603774
A0,2,0,100,40,60,14,46,76.666667
A0,2,1,100,60,40,10,30,75.000000
A0,3,0,100,45,55,9,46,83.636364
A0,3,1,100,55,45,10,35,77.777778
A0,4,0,100,45,55,4,51,92.727273
A0,4,1,100,55,45,6,39,86.666667
A0,5,0,100,51,49,2,47,95.918367
A0,5,1,100,49,51,6,45,88.235294
A0,6,0,100,49,51,2,49,96.078431
A0,6,1,100,51,49,1,48,97.959184
A0,7,0,100,45,55,0,55,100.000000
A0,7,1,100,55,45,2,43,95.555556
A0,8,0,100,39,61,1,60,98.360656
A0,8,1,100,61,39,0,39,100.000000
A0,9,0,100,34,66,0,66,100.000000
A0,9,1,100,66,34,1,33,97.058824
A0,10,0,100,23,77,0,77,100.000000
A0,10,1,100,77,23,1,22,95.652174
A0,11,0,100,4,96,1,95,98.958333
A0,11,1,100,96,4,0,4,100.000000
A0,12,0,100,0,100,1,99,99.000000
A0,12,1,100,100,0,0,0,0.000000
A0,13,0,100,53,47,1,46,97.872340
A0,13,1,100,47,53,0,53,100.000000
A0,14,0,100,0,100,1,99,99.000000
A0,14,1,100,100,0,0,0,0.000000
A0,15,0,100,100,0,0,0,0.000000
A0,15,1,100,0,100,0,100,100.000000
A1,0,0,100,53,47,35,12,25.531915
A1,0,1,100,47,53,39,14,26.415094
A1,1,0,100,52,48,20,28,58.333333
A1,1,1,100,48,52,32,20,38.461538
A1,2,0,100,50,50,21,29,58.000000
A1,2,1,100,50,50,20,30,60.000000
A1,3,0,100,51,49,12,37,75.510204
A1,3,1,100,49,51,13,38,74.509804
A1,4,0,100,41,59,7,52,88.135593
A1,4,1,100,59,41,8,33,80.487805
A1,5,0,100,49,51,1,50,98.039216
A1,5,1,100,51,49,2,47,95.918367
A1,6,0,100,55,45,3,42,93.333333
A1,6,1,100,45,55,1,54,98.181818
A1,7,0,100,44,56,0,56,100.000000
A1,7,1,100,56,44,0,44,100.000000
A1,8,0,100,34,66,0,66,100.000000
A1,8,1,100,66,34,0,34,100.000000
A1,9,0,100,31,69,0,69,100.000000
A1,9,1,100,69,31,0,31,100.000000
A1,10,0,100,22,78,0,78,100.000000
A1,10,1,100,78,22,0,22,100.000000
A1,11,0,100,8,92,0,92,100.000000
A1,11,1,100,92,8,0,8,100.000000
A1,12,0,100,0,100,0,100,100.000000
A1,12,1,100,100,0,0,0,0.000000
