vector_id,golden,golden_kind,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
0,7C11,Normal,288,144,144,0,144,0.000000,100.000000
1,404B,Normal,288,144,144,32,112,22.222222,77.777778
2,594D,Normal,288,144,144,8,136,5.555556,94.444444
3,7AE0,Normal,288,144,144,5,139,3.472222,96.527778
4,60A2,Normal,288,144,144,16,128,11.111111,88.888889
5,40E1,Normal,288,144,144,17,127,11.805556,88.194444
6,7EC6,Normal,288,144,144,10,134,6.944444,93.055556
7,5CEA,Normal,288,144,144,5,139,3.472222,96.527778
8,5F1F,Normal,288,144,144,14,130,9.722222,90.277778
9,7C70,Normal,288,144,144,16,128,11.111111,88.888889
10,4230,Normal,288,144,144,30,114,20.833333,79.166667
11,5BA5,Normal,288,144,144,7,137,4.861111,95.138889
12,7F0A,Normal,288,144,144,32,112,22.222222,77.777778
13,7F43,Normal,288,144,144,21,123,14.583333,85.416667
14,777A,Normal,288,144,144,8,136,5.555556,94.444444
15,5E93,Normal,288,144,144,26,118,18.055556,81.944444
16,5D5D,Normal,288,144,144,15,129,10.416667,89.583333
17,40AD,Normal,288,144,144,23,121,15.972222,84.027778
18,4172,Normal,288,144,144,8,136,5.555556,94.444444
19,7C5B,Normal,288,144,144,20,124,13.888889,86.111111
20,5C5F,Normal,288,144,144,9,135,6.250000,93.750000
21,60D7,Normal,288,144,144,23,121,15.972222,84.027778
22,7DC9,Normal,288,144,144,9,135,6.250000,93.750000
23,783E,Normal,288,144,144,16,128,11.111111,88.888889
24,7FEB,Normal,288,144,144,21,123,14.583333,85.416667
25,7874,Normal,288,144,144,20,124,13.888889,86.111111
26,7DAD,Normal,288,144,144,14,130,9.722222,90.277778
27,5A4A,Normal,288,144,144,5,139,3.472222,96.527778
28,41E6,Normal,288,144,144,9,135,6.250000,93.750000
29,6084,Normal,288,144,144,14,130,9.722222,90.277778
30,7F43,Normal,288,144,144,10,134,6.944444,93.055556
31,6092,Normal,288,144,144,21,123,14.583333,85.416667
32,7D56,Normal,288,144,144,12,132,8.333333,91.666667
33,61C5,Normal,288,144,144,20,124,13.888889,86.111111
34,6038,Normal,288,144,144,16,128,11.111111,88.888889
35,403D,Normal,288,144,144,11,133,7.638889,92.361111
36,7C2E,Normal,288,144,144,8,136,5.555556,94.444444
37,618B,Normal,288,144,144,17,127,11.805556,88.194444
38,5964,Normal,288,144,144,11,133,7.638889,92.361111
39,5C18,Normal,288,144,144,6,138,4.166667,95.833333
40,60A7,Normal,288,144,144,27,117,18.750000,81.250000
41,7C6A,Normal,288,144,144,8,136,5.555556,94.444444
42,7EC6,Normal,288,144,144,17,127,11.805556,88.194444
43,6154,Normal,288,144,144,32,112,22.222222,77.777778
44,5DA9,Normal,288,144,144,24,120,16.666667,83.333333
45,7F30,Normal,288,144,144,19,125,13.194444,86.805556
46,7A6A,Normal,288,144,144,12,132,8.333333,91.666667
47,6030,Normal,288,144,144,24,120,16.666667,83.333333
48,5F31,Normal,288,144,144,29,115,20.138889,79.861111
49,5FC7,Normal,288,144,144,25,119,17.361111,82.638889
50,77F7,Normal,288,144,144,15,129,10.416667,89.583333
51,401C,Normal,288,144,144,22,122,15.277778,84.722222
52,5F01,Normal,288,144,144,23,121,15.972222,84.027778
53,5D6D,Normal,288,144,144,5,139,3.472222,96.527778
54,7F0F,Normal,288,144,144,19,125,13.194444,86.805556
55,5DC6,Normal,288,144,144,18,126,12.500000,87.500000
56,419E,Normal,288,144,144,27,117,18.750000,81.250000
57,6013,Normal,288,144,144,13,131,9.027778,90.972222
58,6117,Normal,288,144,144,13,131,9.027778,90.972222
59,7E85,Normal,288,144,144,8,136,5.555556,94.444444
60,0000,Zero class,288,144,144,31,113,21.527778,78.472222
61,4107,Normal,288,144,144,18,126,12.500000,87.500000
62,7FDC,Normal,288,144,144,26,118,18.055556,81.944444
63,4021,Normal,288,144,144,14,130,9.722222,90.277778
64,5BD9,Normal,288,144,144,19,125,13.194444,86.805556
65,4015,Normal,288,144,144,29,115,20.138889,79.861111
66,5DA4,Normal,288,144,144,8,136,5.555556,94.444444
67,7E5A,Normal,288,144,144,14,130,9.722222,90.277778
68,7C94,Normal,288,144,144,22,122,15.277778,84.722222
69,5F9A,Normal,288,144,144,31,113,21.527778,78.472222
70,5E12,Normal,288,144,144,9,135,6.250000,93.750000
71,4122,Normal,288,144,144,34,110,23.611111,76.388889
72,605A,Normal,288,144,144,28,116,19.444444,80.555556
73,7AE1,Normal,288,144,144,11,133,7.638889,92.361111
74,7A45,Normal,288,144,144,14,130,9.722222,90.277778
75,6028,Normal,288,144,144,11,133,7.638889,92.361111
76,5FF3,Normal,288,144,144,22,122,15.277778,84.722222
77,4154,Normal,288,144,144,30,114,20.833333,79.166667
78,406B,Normal,288,144,144,7,137,4.861111,95.138889
79,6172,Normal,288,144,144,52,92,36.111111,63.888889
80,7E63,Normal,288,144,144,2,142,1.388889,98.611111
81,603D,Normal,288,144,144,33,111,22.916667,77.083333
82,4043,Normal,288,144,144,21,123,14.583333,85.416667
83,585C,Normal,288,144,144,18,126,12.500000,87.500000
84,7803,Normal,288,144,144,27,117,18.750000,81.250000
85,4084,Normal,288,144,144,16,128,11.111111,88.888889
86,4188,Normal,288,144,144,44,100,30.555556,69.444444
87,5E98,Normal,288,144,144,20,124,13.888889,86.111111
88,5D98,Normal,288,144,144,15,129,10.416667,89.583333
89,587E,Normal,288,144,144,31,113,21.527778,78.472222
90,768D,Normal,288,144,144,15,129,10.416667,89.583333
91,5E58,Normal,288,144,144,36,108,25.000000,75.000000
92,5E93,Normal,288,144,144,28,116,19.444444,80.555556
93,5F96,Normal,288,144,144,17,127,11.805556,88.194444
94,5F38,Normal,288,144,144,11,133,7.638889,92.361111
95,4063,Normal,288,144,144,20,124,13.888889,86.111111
96,7B0F,Normal,288,144,144,14,130,9.722222,90.277778
97,6120,Normal,288,144,144,24,120,16.666667,83.333333
98,5EF1,Normal,288,144,144,14,130,9.722222,90.277778
99,7BFC,Normal,288,144,144,18,126,12.500000,87.500000
