target,bit,stuck_at,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_sdc_percent
A0,0,0,100,52,48,33,15,31.250000
A0,0,1,100,48,52,35,17,32.692308
A0,1,0,100,46,54,29,25,46.296296
A0,1,1,100,54,46,23,23,50.000000
A0,2,0,100,49,51,11,40,78.431373
A0,2,1,100,51,49,14,35,71.428571
A0,3,0,100,58,42,4,38,90.476190
A0,3,1,100,42,58,7,51,87.931034
A0,4,0,100,54,46,4,42,91.304348
A0,4,1,100,46,54,4,50,92.592593
A0,5,0,100,56,44,1,43,97.727273
A0,5,1,100,44,56,1,55,98.214286
A0,6,0,100,55,45,0,45,100.000000
A0,6,1,100,45,55,2,53,96.363636
A0,7,0,100,47,53,0,53,100.000000
A0,7,1,100,53,47,2,45,95.744681
A0,8,0,100,50,50,0,50,100.000000
A0,8,1,100,50,50,1,49,98.000000
A0,9,0,100,54,46,0,46,100.000000
A0,9,1,100,46,54,1,53,98.148148
A0,10,0,100,54,46,1,45,97.826087
A0,10,1,100,46,54,0,54,100.000000
A0,11,0,100,57,43,0,43,100.000000
A0,11,1,100,43,57,0,57,100.000000
A0,12,0,100,54,46,0,46,100.000000
A0,12,1,100,46,54,1,53,98.148148
A0,13,0,100,48,52,0,52,100.000000
A0,13,1,100,52,48,0,48,100.000000
A0,14,0,100,53,47,0,47,100.000000
A0,14,1,100,47,53,0,53,100.000000
A0,15,0,100,53,47,0,47,100.000000
A0,15,1,100,47,53,0,53,100.000000
A1,0,0,100,53,47,36,11,23.404255
A1,0,1,100,47,53,39,14,26.415094
A1,1,0,100,50,50,28,22,44.000000
A1,1,1,100,50,50,29,21,42.000000
A1,2,0,100,51,49,16,33,67.346939
A1,2,1,100,49,51,22,29,56.862745
A1,3,0,100,54,46,5,41,89.130435
A1,3,1,100,46,54,11,43,79.629630
A1,4,0,100,46,54,4,50,92.592593
A1,4,1,100,54,46,5,41,89.130435
A1,5,0,100,48,52,0,52,100.000000
A1,5,1,100,52,48,3,45,93.750000
A1,6,0,100,45,55,2,53,96.363636
A1,6,1,100,55,45,0,45,100.000000
A1,7,0,100,59,41,1,40,97.560976
A1,7,1,100,41,59,0,59,100.000000
A1,8,0,100,53,47,0,47,100.000000
A1,8,1,100,47,53,0,53,100.000000
A1,9,0,100,57,43,0,43,100.000000
A1,9,1,100,43,57,0,57,100.000000
A1,10,0,100,46,54,0,54,100.000000
A1,10,1,100,54,46,0,46,100.000000
A1,11,0,100,50,50,0,50,100.000000
A1,11,1,100,50,50,0,50,100.000000
A1,12,0,100,47,53,0,53,100.000000
A1,12,1,100,53,47,0,47,100.000000
A1,13,0,100,43,57,0,57,100.000000
A1,13,1,100,57,43,0,43,100.000000
A1,14,0,100,51,49,0,49,100.000000
A1,14,1,100,49,51,0,51,100.000000
A1,15,0,100,51,49,0,49,100.000000
A1,15,1,100,49,51,0,51,100.000000
A2,0,0,100,45,55,40,15,27.272727
A2,0,1,100,55,45,35,10,22.222222
A2,1,0,100,55,45,24,21,46.666667
A2,1,1,100,45,55,35,20,36.363636
A2,2,0,100,46,54,17,37,68.518519
A2,2,1,100,54,46,18,28,60.869565
A2,3,0,100,51,49,14,35,71.428571
A2,3,1,100,49,51,6,45,88.235294
A2,4,0,100,63,37,7,30,81.081081
A2,4,1,100,37,63,7,56,88.888889
A2,5,0,100,51,49,5,44,89.795918
A2,5,1,100,49,51,5,46,90.196078
A2,6,0,100,58,42,4,38,90.476190
A2,6,1,100,42,58,2,56,96.551724
A2,7,0,100,42,58,2,56,96.551724
A2,7,1,100,58,42,0,42,100.000000
A2,8,0,100,46,54,2,52,96.296296
A2,8,1,100,54,46,0,46,100.000000
A2,9,0,100,47,53,0,53,100.000000
A2,9,1,100,53,47,0,47,100.000000
A2,10,0,100,47,53,0,53,100.000000
A2,10,1,100,53,47,0,47,100.000000
A2,11,0,100,49,51,0,51,100.000000
A2,11,1,100,51,49,0,49,100.000000
A2,12,0,100,48,52,0,52,100.000000
A2,12,1,100,52,48,0,48,100.000000
A2,13,0,100,45,55,0,55,100.000000
A2,13,1,100,55,45,0,45,100.000000
A2,14,0,100,64,36,0,36,100.000000
A2,14,1,100,36,64,0,64,100.000000
A2,15,0,100,64,36,0,36,100.000000
A2,15,1,100,36,64,0,64,100.000000
A3,0,0,100,51,49,31,18,36.734694
A3,0,1,100,49,51,41,10,19.607843
A3,1,0,100,51,49,21,28,57.142857
A3,1,1,100,49,51,31,20,39.215686
A3,2,0,100,53,47,9,38,80.851064
A3,2,1,100,47,53,14,39,73.584906
A3,3,0,100,47,53,10,43,81.132075
A3,3,1,100,53,47,5,42,89.361702
A3,4,0,100,60,40,4,36,90.000000
A3,4,1,100,40,60,6,54,90.000000
A3,5,0,100,54,46,2,44,95.652174
A3,5,1,100,46,54,1,53,98.148148
A3,6,0,100,45,55,1,54,98.181818
A3,6,1,100,55,45,2,43,95.555556
A3,7,0,100,53,47,0,47,100.000000
A3,7,1,100,47,53,1,52,98.113208
A3,8,0,100,40,60,0,60,100.000000
A3,8,1,100,60,40,1,39,97.500000
A3,9,0,100,47,53,0,53,100.000000
A3,9,1,100,53,47,0,47,100.000000
A3,10,0,100,53,47,0,47,100.000000
