vector_id,golden,golden_is_nar,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
0,DFA6,False,288,144,144,2,142,1.388889,98.611111
1,41B5,False,288,144,144,22,122,15.277778,84.722222
2,1484,False,288,144,144,2,142,1.388889,98.611111
3,E52E,False,288,144,144,13,131,9.027778,90.972222
4,BC14,False,288,144,144,21,123,14.583333,85.416667
5,45B4,False,288,144,144,23,121,15.972222,84.027778
6,CB15,False,288,144,144,16,128,11.111111,88.888889
7,2606,False,288,144,144,12,132,8.333333,91.666667
8,3794,False,288,144,144,20,124,13.888889,86.111111
9,DD5C,False,288,144,144,16,128,11.111111,88.888889
10,5112,False,288,144,144,37,107,25.694444,74.305556
11,1E20,False,288,144,144,12,132,8.333333,91.666667
12,C910,False,288,144,144,29,115,20.138889,79.861111
13,C734,False,288,144,144,15,129,10.416667,89.583333
14,F154,False,288,144,144,9,135,6.250000,93.750000
15,3388,False,288,144,144,22,122,15.277778,84.722222
16,29A8,False,288,144,144,14,130,9.722222,90.277778
17,4437,False,288,144,144,16,128,11.111111,88.888889
18,4A62,False,288,144,144,17,127,11.805556,88.194444
19,DDEE,False,288,144,144,16,128,11.111111,88.888889
20,222C,False,288,144,144,14,130,9.722222,90.277778
21,BA96,False,288,144,144,26,118,18.055556,81.944444
22,D23B,False,288,144,144,7,137,4.861111,95.138889
23,EF54,False,288,144,144,20,124,13.888889,86.111111
24,C0E7,False,288,144,144,16,128,11.111111,88.888889
25,EEB2,False,288,144,144,16,128,11.111111,88.888889
26,D362,False,288,144,144,13,131,9.027778,90.972222
27,18E0,False,288,144,144,3,141,2.083333,97.916667
28,4EE5,False,288,144,144,11,133,7.638889,92.361111
29,BCE0,False,288,144,144,18,126,12.500000,87.500000
30,C73C,False,288,144,144,15,129,10.416667,89.583333
31,BC7F,False,288,144,144,20,124,13.888889,86.111111
32,D69A,False,288,144,144,12,132,8.333333,91.666667
33,B27A,False,288,144,144,18,126,12.500000,87.500000
34,BEBE,False,288,144,144,13,131,9.027778,90.972222
35,4165,False,288,144,144,9,135,6.250000,93.750000
36,DF00,False,288,144,144,11,133,7.638889,92.361111
37,B4AE,False,288,144,144,24,120,16.666667,83.333333
38,14D8,False,288,144,144,8,136,5.555556,94.444444
39,2098,False,288,144,144,4,140,2.777778,97.222222
40,BBF2,False,288,144,144,30,114,20.833333,79.166667
41,DD89,False,288,144,144,3,141,2.083333,97.916667
42,CB15,False,288,144,144,12,132,8.333333,91.666667
43,B6A6,False,288,144,144,28,116,19.444444,80.555556
44,2C69,False,288,144,144,13,131,9.027778,90.972222
45,C7DD,False,288,144,144,11,133,7.638889,92.361111
46,E6BA,False,288,144,144,7,137,4.861111,95.138889
47,BEF2,False,288,144,144,22,122,15.277778,84.722222
48,3818,False,288,144,144,18,126,12.500000,87.500000
49,3D9D,False,288,144,144,14,130,9.722222,90.277778
50,F026,False,288,144,144,13,131,9.027778,90.972222
51,409B,False,288,144,144,18,126,12.500000,87.500000
52,36A8,False,288,144,144,19,125,13.194444,86.805556
53,2A30,False,288,144,144,7,137,4.861111,95.138889
54,C8EB,False,288,144,144,12,132,8.333333,91.666667
55,2D9E,False,288,144,144,14,130,9.722222,90.277778
56,4C04,False,288,144,144,19,125,13.194444,86.805556
57,BF98,False,288,144,144,19,125,13.194444,86.805556
58,B8A2,False,288,144,144,14,130,9.722222,90.277778
59,CCDC,False,288,144,144,12,132,8.333333,91.666667
60,FCA0,False,288,144,144,3,141,2.083333,97.916667
61,46D6,False,288,144,144,12,132,8.333333,91.666667
62,C188,False,288,144,144,20,124,13.888889,86.111111
63,40BC,False,288,144,144,17,127,11.805556,88.194444
64,1F34,False,288,144,144,14,130,9.722222,90.277778
65,4073,False,288,144,144,17,127,11.805556,88.194444
66,2C3E,False,288,144,144,2,142,1.388889,98.611111
67,CDED,False,288,144,144,6,138,4.166667,95.833333
68,DC72,False,288,144,144,16,128,11.111111,88.888889
69,3BC6,False,288,144,144,15,129,10.416667,89.583333
70,3069,False,288,144,144,13,131,9.027778,90.972222
71,47A2,False,288,144,144,20,124,13.888889,86.111111
72,BDF0,False,288,144,144,33,111,22.916667,77.083333
73,E52E,False,288,144,144,12,132,8.333333,91.666667
74,E73C,False,288,144,144,13,131,9.027778,90.972222
75,BF1E,False,288,144,144,16,128,11.111111,88.888889
76,3F70,False,288,144,144,21,123,14.583333,85.416667
77,4956,False,288,144,144,26,118,18.055556,81.944444
78,427D,False,288,144,144,17,127,11.805556,88.194444
79,B5AF,False,288,144,144,33,111,22.916667,77.083333
80,CDB8,False,288,144,144,12,132,8.333333,91.666667
81,BE9F,False,288,144,144,24,120,16.666667,83.333333
82,4183,False,288,144,144,17,127,11.805556,88.194444
83,1116,False,288,144,144,15,129,10.416667,89.583333
84,F002,False,288,144,144,10,134,6.944444,93.055556
85,431E,False,288,144,144,27,117,18.750000,81.250000
86,4B2E,False,288,144,144,32,112,22.222222,77.777778
87,33B2,False,288,144,144,22,122,15.277778,84.722222
88,2BC4,False,288,144,144,14,130,9.722222,90.277778
89,113E,False,288,144,144,17,127,11.805556,88.194444
90,F33C,False,288,144,144,14,130,9.722222,90.277778
91,321B,False,288,144,144,15,129,10.416667,89.583333
92,3382,False,288,144,144,19,125,13.194444,86.805556
93,3BBB,False,288,144,144,9,135,6.250000,93.750000
94,3864,False,288,144,144,11,133,7.638889,92.361111
95,424E,False,288,144,144,23,121,15.972222,84.027778
96,E476,False,288,144,144,15,129,10.416667,89.583333
97,B85C,False,288,144,144,19,125,13.194444,86.805556
98,3628,False,288,144,144,14,130,9.722222,90.277778
99,E01D,False,288,144,144,11,133,7.638889,92.361111
