metric,count,percentage
num_vectors,100,
total_cases,28800,100.000000
not_activated,14400,50.000000
activated_cases,14400,50.000000
activated_masked,1583,10.993056
activated_sdc,12817,89.006944
faulty_nar_results,0,0.000000
mean_vector_activated_sdc_percent,,89.006944
stdev_vector_activated_sdc_percent,,4.871677
standard_error_vector_sdc_percent,,0.487168
approx_95ci_low_percent,,88.052096
approx_95ci_high_percent,,89.961793
min_vector_activated_sdc_percent,,74.305556
max_vector_activated_sdc_percent,,98.611111
