vector_id,golden,golden_kind,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
0,CFD238DA,Finite,576,288,288,8,280,2.777778,97.222222
1,40DA7BE8,Finite,576,288,288,29,259,10.069444,89.930556
2,247F83D8,Finite,576,288,288,3,285,1.041667,98.958333
3,D52DDF30,Finite,576,288,288,9,279,3.125000,96.875000
4,BE0A2C29,Finite,576,288,288,10,278,3.472222,96.527778
5,42DA17A3,Finite,576,288,288,11,277,3.819444,96.180556
6,C58A96A4,Finite,576,288,288,12,276,4.166667,95.833333
7,33024E58,Finite,576,288,288,10,278,3.472222,96.527778
8,3BCA69BF,Finite,576,288,288,16,272,5.555556,94.444444
9,CEADD9A8,Finite,576,288,288,17,271,5.902778,94.097222
10,488917C4,Finite,576,288,288,39,249,13.541667,86.458333
11,2E1EEDC6,Finite,576,288,288,7,281,2.430556,97.569444
12,C487AD16,Finite,576,288,288,32,256,11.111111,88.888889
13,C399E89B,Finite,576,288,288,16,272,5.555556,94.444444
14,E15B5DD8,Finite,576,288,288,3,285,1.041667,98.958333
15,39C41795,Finite,576,288,288,15,273,5.208333,94.791667
16,34D37339,Finite,576,288,288,10,278,3.472222,96.527778
17,421BA890,Finite,576,288,288,25,263,8.680556,91.319444
18,4531902F,Finite,576,288,288,6,282,2.083333,97.916667
19,CEF6E88E,Finite,576,288,288,16,272,5.555556,94.444444
20,3115F452,Finite,576,288,288,9,279,3.125000,96.875000
21,BD4ABC50,Finite,576,288,288,27,261,9.375000,90.625000
22,C91D48C1,Finite,576,288,288,5,283,1.736111,98.263889
23,DF507B58,Finite,576,288,288,26,262,9.027778,90.972222
24,C0734F7C,Finite,576,288,288,21,267,7.291667,92.708333
25,DEB1C3E0,Finite,576,288,288,15,273,5.208333,94.791667
26,C9B1558E,Finite,576,288,288,17,271,5.902778,94.097222
27,28DED90A,Finite,576,288,288,6,282,2.083333,97.916667
28,47726034,Finite,576,288,288,18,270,6.250000,93.750000
29,BE6FFA07,Finite,576,288,288,11,277,3.819444,96.180556
30,C39DF14F,Finite,576,288,288,4,284,1.388889,98.611111
31,BE3F5200,Finite,576,288,288,20,268,6.944444,93.055556
32,CB4CA278,Finite,576,288,288,19,269,6.597222,93.402778
33,B93D213D,Finite,576,288,288,9,279,3.125000,96.875000
34,BF5FD96F,Finite,576,288,288,16,272,5.555556,94.444444
35,40B2AA30,Finite,576,288,288,14,274,4.861111,95.138889
36,CF7F5692,Finite,576,288,288,13,275,4.513889,95.486111
37,BA56F996,Finite,576,288,288,26,262,9.027778,90.972222
38,24DB0A58,Finite,576,288,288,9,279,3.125000,96.875000
39,304BB8C4,Finite,576,288,288,8,280,2.777778,97.222222
40,BDF93742,Finite,576,288,288,38,250,13.194444,86.805556
41,CEC47A04,Finite,576,288,288,10,278,3.472222,96.527778
42,C58AFA62,Finite,576,288,288,15,273,5.208333,94.791667
43,BB52EED4,Finite,576,288,288,31,257,10.763889,89.236111
44,363463DC,Finite,576,288,288,22,266,7.638889,92.361111
45,C3EDFC06,Finite,576,288,288,19,269,6.597222,93.402778
46,D6B83B0C,Finite,576,288,288,10,278,3.472222,96.527778
47,BF792DD4,Finite,576,288,288,34,254,11.805556,88.194444
48,3C0C48C0,Finite,576,288,288,17,271,5.902778,94.097222
49,3ECECCF6,Finite,576,288,288,24,264,8.333333,91.666667
50,E024EC20,Finite,576,288,288,17,271,5.902778,94.097222
51,404DAF66,Finite,576,288,288,20,268,6.944444,93.055556
52,3B54909C,Finite,576,288,288,22,266,7.638889,92.361111
53,351712D8,Finite,576,288,288,7,281,2.430556,97.569444
54,C47547B2,Finite,576,288,288,27,261,9.375000,90.625000
55,36CEFBD6,Finite,576,288,288,20,268,6.944444,93.055556
56,4601A52D,Finite,576,288,288,15,273,5.208333,94.791667
57,BFCBE4C2,Finite,576,288,288,24,264,8.333333,91.666667
58,BC512814,Finite,576,288,288,17,271,5.902778,94.097222
59,C66DBE30,Finite,576,288,288,17,271,5.902778,94.097222
60,F14EA1C0,Finite,576,288,288,4,284,1.388889,98.611111
61,436ADC02,Finite,576,288,288,17,271,5.902778,94.097222
62,C0C3E7DC,Finite,576,288,288,26,262,9.027778,90.972222
63,405D7E4C,Finite,576,288,288,23,265,7.986111,92.013889
64,2F32F3A8,Finite,576,288,288,19,269,6.597222,93.402778
65,4039306F,Finite,576,288,288,15,273,5.208333,94.791667
66,361E5274,Finite,576,288,288,10,278,3.472222,96.527778
67,C6F63FC6,Finite,576,288,288,17,271,5.902778,94.097222
68,CE39419E,Finite,576,288,288,19,269,6.597222,93.402778
69,3DE29A3A,Finite,576,288,288,18,270,6.250000,93.750000
70,3834AAA8,Finite,576,288,288,19,269,6.597222,93.402778
71,43D0BC8B,Finite,576,288,288,28,260,9.722222,90.277778
72,BEF7BF3B,Finite,576,288,288,28,260,9.722222,90.277778
