vector_id,golden,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
0,EE,144,72,72,5,67,6.944444,93.055556
1,44,144,72,72,23,49,31.944444,68.055556
2,07,144,72,72,2,70,2.777778,97.222222
3,F4,144,72,72,6,66,8.333333,91.666667
4,B8,144,72,72,19,53,26.388889,73.611111
5,4C,144,72,72,23,49,31.944444,68.055556
6,D6,144,72,72,5,67,6.944444,93.055556
7,17,144,72,72,5,67,6.944444,93.055556
8,2F,144,72,72,9,63,12.500000,87.500000
9,EE,144,72,72,9,63,12.500000,87.500000
10,61,144,72,72,29,43,40.277778,59.722222
11,10,144,72,72,6,66,8.333333,91.666667
12,D3,144,72,72,9,63,12.500000,87.500000
13,CD,144,72,72,12,60,16.666667,83.333333
14,FA,144,72,72,3,69,4.166667,95.833333
15,28,144,72,72,8,64,11.111111,88.888889
16,1A,144,72,72,7,65,9.722222,90.277778
17,4A,144,72,72,24,48,33.333333,66.666667
18,55,144,72,72,4,68,5.555556,94.444444
19,ED,144,72,72,7,65,9.722222,90.277778
20,14,144,72,72,9,63,12.500000,87.500000
21,B5,144,72,72,11,61,15.277778,84.722222
22,E1,144,72,72,4,68,5.555556,94.444444
23,FB,144,72,72,20,52,27.777778,72.222222
24,C2,144,72,72,9,63,12.500000,87.500000
25,FC,144,72,72,13,59,18.055556,81.944444
26,E4,144,72,72,5,67,6.944444,93.055556
27,09,144,72,72,3,69,4.166667,95.833333
28,5E,144,72,72,16,56,22.222222,77.777778
29,BA,144,72,72,20,52,27.777778,72.222222
30,CF,144,72,72,5,67,6.944444,93.055556
31,B9,144,72,72,14,58,19.444444,80.555556
32,E7,144,72,72,10,62,13.888889,86.111111
33,A4,144,72,72,15,57,20.833333,79.166667
34,BE,144,72,72,14,58,19.444444,80.555556
35,42,144,72,72,15,57,20.833333,79.166667
36,EF,144,72,72,2,70,2.777778,97.222222
37,A8,144,72,72,18,54,25.000000,75.000000
38,06,144,72,72,3,69,4.166667,95.833333
39,11,144,72,72,5,67,6.944444,93.055556
40,B8,144,72,72,30,42,41.666667,58.333333
41,EE,144,72,72,11,61,15.277778,84.722222
42,D7,144,72,72,9,63,12.500000,87.500000
43,AE,144,72,72,19,53,26.388889,73.611111
44,1D,144,72,72,20,52,27.777778,72.222222
45,D0,144,72,72,8,64,11.111111,88.888889
46,F7,144,72,72,12,60,16.666667,83.333333
47,BD,144,72,72,10,62,13.888889,86.111111
48,2E,144,72,72,13,59,18.055556,81.944444
49,3B,144,72,72,9,63,12.500000,87.500000
50,FC,144,72,72,13,59,18.055556,81.944444
51,40,144,72,72,12,60,16.666667,83.333333
52,2E,144,72,72,11,61,15.277778,84.722222
53,19,144,72,72,5,67,6.944444,93.055556
54,D2,144,72,72,10,62,13.888889,86.111111
55,1E,144,72,72,11,61,15.277778,84.722222
56,58,144,72,72,22,50,30.555556,69.444444
57,BF,144,72,72,5,67,6.944444,93.055556
58,B2,144,72,72,16,56,22.222222,77.777778
59,DB,144,72,72,6,66,8.333333,91.666667
60,00,144,72,72,4,68,5.555556,94.444444
61,4E,144,72,72,16,56,22.222222,77.777778
62,C4,144,72,72,14,58,19.444444,80.555556
63,42,144,72,72,16,56,22.222222,77.777778
64,10,144,72,72,15,57,20.833333,79.166667
65,40,144,72,72,15,57,20.833333,79.166667
66,1C,144,72,72,8,64,11.111111,88.888889
67,DA,144,72,72,10,62,13.888889,86.111111
68,ED,144,72,72,18,54,25.000000,75.000000
69,36,144,72,72,13,59,18.055556,81.944444
70,21,144,72,72,13,59,18.055556,81.944444
71,50,144,72,72,21,51,29.166667,70.833333
72,BC,144,72,72,25,47,34.722222,65.277778
73,F5,144,72,72,5,67,6.944444,93.055556
74,F7,144,72,72,10,62,13.888889,86.111111
75,BE,144,72,72,14,58,19.444444,80.555556
76,40,144,72,72,13,59,18.055556,81.944444
77,52,144,72,72,19,53,26.388889,73.611111
78,45,144,72,72,1,71,1.388889,98.611111
79,AA,144,72,72,31,41,43.055556,56.944444
80,DB,144,72,72,4,68,5.555556,94.444444
81,BD,144,72,72,16,56,22.222222,77.777778
82,44,144,72,72,16,56,22.222222,77.777778
83,04,144,72,72,14,58,19.444444,80.555556
84,FC,144,72,72,8,64,11.111111,88.888889
85,46,144,72,72,24,48,33.333333,66.666667
86,56,144,72,72,27,45,37.500000,62.500000
87,26,144,72,72,13,59,18.055556,81.944444
88,1C,144,72,72,8,64,11.111111,88.888889
89,04,144,72,72,19,53,26.388889,73.611111
90,FD,144,72,72,9,63,12.500000,87.500000
91,26,144,72,72,14,58,19.444444,80.555556
92,28,144,72,72,15,57,20.833333,79.166667
93,37,144,72,72,9,63,12.500000,87.500000
94,31,144,72,72,3,69,4.166667,95.833333
95,45,144,72,72,8,64,11.111111,88.888889
96,F5,144,72,72,6,66,8.333333,91.666667
97,B0,144,72,72,16,56,22.222222,77.777778
98,2D,144,72,72,7,65,9.722222,90.277778
99,F1,144,72,72,14,58,19.444444,80.555556
