#Compact FlexGrip FXP16_32 experiment.
#RTL-derived fixed-point interpretation:
#  X,Y : signed_6_M10  -> 16-bit with 10 fractional bits
#  A,R : signed_11_M20 -> 32-bit with 20 fractional bits
#Raw-domain fixed-point reference: D_raw = C_raw + A_raw @ B_raw, saturated to signed 32-bit.
#DPU-like error reference uses original random real operands before fixed-point quantization.
#Only B is transposed by the global_mem generator for hardware feeding.

#FULL_A_16x16 decoded_real_signed_6_M10
1.09570312 -0.24414062 1.43457031 0.78906250 -1.62304688 1.90234375 1.04492188 1.14453125 -1.48730469 -0.19824219 -0.51660156 1.70703125 0.57519531 1.29101562 -0.22656250 -1.09082031
0.21875000 -1.74511719 1.31054688 0.52636719 1.03222656 -0.58203125 1.88281250 1.57226562 1.11328125 -1.22167969 -0.13281250 -1.82519531 -1.38281250 0.73242188 0.97949219 1.87011719
-0.69628906 -0.51855469 -0.12207031 -1.24218750 -1.48046875 -0.09765625 -1.09277344 0.67968750 -0.25097656 1.33105469 0.80078125 -0.75097656 1.32910156 1.21875000 -0.45019531 -0.84667969
0.73046875 -1.44140625 -1.20019531 -1.97070312 1.14746094 0.65917969 0.82031250 1.12304688 -0.16406250 0.27539062 -1.44042969 -1.54199219 0.67382812 -0.11523438 0.26074219 1.05957031
0.53906250 0.21386719 0.23730469 -0.78417969 -1.87695312 -0.25292969 -1.14160156 -0.36621094 1.41406250 -1.06445312 -1.76660156 -0.87402344 -0.82519531 0.64746094 0.22851562 1.13574219
0.65722656 -0.37402344 1.25585938 -1.33203125 -1.90917969 -1.63964844 0.88964844 -0.15234375 -1.35449219 0.00390625 -1.39062500 0.78515625 -0.21582031 -0.47558594 -0.79394531 0.52148438
-0.55273438 -1.64941406 -1.52832031 1.84765625 1.63476562 0.79882812 -0.93652344 1.87695312 1.11523438 0.86718750 -0.20214844 -0.91113281 -1.61425781 1.61035156 -0.17675781 -1.19042969
-0.77636719 0.31640625 -1.29296875 1.42675781 1.03417969 0.87792969 -0.27148438 0.50878906 0.33593750 0.59960938 -1.66210938 -0.33691406 -1.83398438 -0.02441406 -0.68066406 -1.42187500
-1.58593750 0.35058594 -1.31738281 1.70019531 0.32421875 -0.61230469 0.36328125 -1.90917969 1.83398438 -0.07031250 1.13085938 -1.66894531 -0.05371094 -0.03710938 1.75097656 0.28710938
-0.10644531 -0.93164062 -0.67382812 0.08300781 -0.24414062 -1.91308594 1.30468750 1.58496094 -1.43945312 0.21582031 -1.56542969 0.68847656 -0.87500000 0.63769531 0.90820312 1.07421875
-1.56933594 1.66406250 -1.07910156 -1.85058594 0.21972656 -0.51660156 1.31933594 1.23339844 -0.73144531 1.81152344 -0.83593750 0.06054688 -0.97656250 1.74414062 -1.34179688 -1.82031250
-0.25976562 1.96972656 1.56640625 0.99414062 1.56347656 1.57421875 0.07519531 -0.73632812 1.08789062 0.64648438 -0.50488281 -1.62207031 0.98730469 -0.95019531 1.74707031 -1.03613281
-1.50878906 1.32421875 -1.38671875 -1.28320312 0.39746094 1.49804688 -1.21386719 -0.75878906 1.10937500 1.88769531 0.00292969 -1.42480469 -1.94433594 -1.08105469 -1.47265625 0.71093750
-1.51269531 0.02539062 0.77734375 0.32421875 -1.20117188 1.21679688 0.86132812 0.95605469 -1.47558594 -1.50488281 1.70996094 -0.41015625 -0.79589844 -0.04589844 0.65136719 1.82226562
-0.85449219 1.69921875 -1.90039062 0.22070312 0.53613281 -1.57617188 -1.43847656 -0.32324219 1.86523438 0.38378906 1.73242188 1.21777344 -0.13085938 1.13867188 -1.92871094 -1.56347656
1.31738281 1.18750000 -1.06933594 0.12304688 0.42382812 1.47070312 0.41210938 -0.34960938 -0.50292969 -0.29687500 0.60742188 1.46972656 -0.18457031 -1.00878906 -1.05371094 0.98437500
#FULL_A_16x16 encoded
0462 FF06 05BD 0328 F982 079C 042E 0494 FA0D FF35 FDEF 06D4 024D 052A FF18 FBA3
00E0 F905 053E 021B 0421 FDAC 0788 064A 0474 FB1D FF78 F8B3 FA78 02EE 03EB 077B
FD37 FDED FF83 FB08 FA14 FF9C FBA1 02B8 FEFF 0553 0334 FCFF 0551 04E0 FE33 FC9D
02EC FA3C FB33 F81E 0497 02A3 0348 047E FF58 011A FA3D F9D5 02B2 FF8A 010B 043D
0228 00DB 00F3 FCDD F87E FEFD FB6F FE89 05A8 FBBE F8EF FC81 FCB3 0297 00EA 048B
02A1 FE81 0506 FAAC F85D F971 038F FF64 FA95 0004 FA70 0324 FF23 FE19 FCD3 0216
FDCA F967 F9E3 0764 068A 0332 FC41 0782 0476 0378 FF31 FC5B F98B 0671 FF4B FB3D
FCE5 0144 FAD4 05B5 0423 0383 FEEA 0209 0158 0266 F95A FEA7 F8AA FFE7 FD47 FA50
F9A8 0167 FABB 06CD 014C FD8D 0174 F85D 0756 FFB8 0486 F953 FFC9 FFDA 0701 0126
FF93 FC46 FD4E 0055 FF06 F859 0538 0657 FA3E 00DD F9BD 02C1 FC80 028D 03A2 044C
F9B9 06A8 FBAF F899 00E1 FDEF 0547 04EF FD13 073F FCA8 003E FC18 06FA FAA2 F8B8
FEF6 07E1 0644 03FA 0641 064C 004D FD0E 045A 0296 FDFB F983 03F3 FC33 06FD FBDB
F9F7 054C FA74 FADE 0197 05FE FB25 FCF7 0470 078D 0003 FA4D F839 FBAD FA1C 02D8
F9F3 001A 031C 014C FB32 04DE 0372 03D3 FA19 F9FB 06D7 FE5C FCD1 FFD1 029B 074A
FC95 06CC F866 00E2 0225 F9B2 FA3F FEB5 0776 0189 06EE 04DF FF7A 048E F849 F9BF
0545 04C0 FBB9 007E 01B2 05E2 01A6 FE9A FDFD FED0 026E 05E1 FF43 FBF7 FBC9 03F0
#FULL_B_16x16 decoded_real_signed_6_M10
1.26660156 -1.57910156 -1.73339844 0.37792969 -1.41503906 1.29882812 -0.75878906 -1.42480469 1.68359375 -1.33789062 -0.86132812 -1.38574219 -1.53808594 -1.91503906 -1.77832031 -1.30175781
-1.78613281 0.36425781 0.72265625 -0.42578125 -0.72851562 0.01855469 1.50000000 1.40429688 -1.82617188 -1.27441406 -1.05273438 -1.00292969 0.28515625 -0.33496094 -1.80273438 -0.50585938
0.09472656 -1.59375000 1.33398438 -1.79199219 1.69921875 -1.60351562 1.37402344 1.61035156 1.91796875 1.20800781 1.11816406 0.57031250 1.11621094 -1.46191406 0.14453125 0.05664062
1.43066406 -0.14843750 -0.45996094 0.55859375 -0.93457031 -1.44140625 -0.08886719 -0.33203125 -1.06933594 -0.53027344 -0.53417969 -0.69042969 -0.48242188 0.74316406 -0.81250000 1.79589844
1.66503906 -0.07617188 -0.68652344 0.14160156 1.39453125 0.61035156 1.21777344 0.13085938 0.53125000 -0.84765625 0.93945312 -1.19042969 0.77929688 1.44335938 -1.47167969 0.45703125
-1.61914062 0.90332031 -1.66210938 1.74414062 -1.45019531 1.83593750 1.20312500 0.37500000 1.13085938 1.18066406 1.78417969 -0.98632812 0.36035156 -1.62011719 0.46484375 -1.31445312
0.25976562 0.29003906 -0.13574219 0.09082031 1.05566406 1.19726562 -0.03125000 0.39843750 1.72460938 -1.52148438 -1.53125000 -1.64941406 0.63183594 -0.32519531 1.09765625 0.68457031
-0.66503906 1.59375000 1.04980469 -0.91796875 -0.54296875 -0.74218750 -1.36914062 -1.40917969 1.74414062 -0.24804688 -0.46679688 0.91894531 0.21191406 1.74414062 1.12109375 -0.08300781
-0.49414062 1.94628906 0.87109375 1.80468750 -1.52636719 1.40234375 0.54785156 -1.51269531 0.35351562 0.74414062 -1.95117188 -0.18261719 1.30175781 -0.81835938 -0.16601562 -0.23046875
-0.79199219 1.67382812 1.12500000 -1.55761719 1.98828125 1.51660156 -0.86425781 1.34765625 -1.57421875 1.99609375 0.66308594 0.60058594 -1.63867188 1.58789062 -1.88378906 -1.03710938
-1.42773438 1.10742188 -1.20703125 1.64257812 0.62500000 -1.85546875 -1.97851562 -1.79296875 0.42382812 1.20605469 -1.04589844 1.39746094 -1.77148438 1.20410156 1.71093750 1.08886719
0.79296875 1.35156250 -1.83984375 -1.19335938 -1.50000000 0.01855469 0.98046875 0.52050781 1.40429688 -1.37890625 0.93847656 -1.22753906 -0.91699219 0.83984375 1.92089844 0.44628906
-1.78222656 0.46484375 -1.83105469 1.53613281 0.83789062 -1.30761719 -1.63281250 -1.26562500 1.91992188 -0.16601562 1.13671875 0.54589844 0.29003906 -1.41992188 1.78417969 -0.79492188
0.31250000 0.79882812 0.59667969 1.76269531 -1.40625000 0.03320312 -0.38378906 -0.10351562 -1.52343750 -1.46386719 -0.88769531 -0.78125000 -0.28808594 0.44433594 0.53808594 -0.35253906
-0.36523438 -1.12988281 0.35351562 -0.73144531 -1.85546875 -0.32617188 -0.10351562 -1.09765625 0.29003906 0.26269531 0.80761719 0.59179688 0.60937500 -0.73535156 1.14941406 0.19628906
-0.27441406 0.50390625 -0.55761719 0.05078125 0.94726562 1.54589844 1.68457031 0.01464844 0.08105469 1.19921875 -0.74218750 1.34960938 -0.02343750 -1.53613281 -1.71191406 1.36816406
#FULL_B_16x16 encoded
