#FULL_A_16x16
2.1914062500 -0.4892578125 2.8691406250 1.5791015625 -3.2460937500 3.8046875000 2.0888671875 2.2880859375 -2.9746093750 -0.3964843750 -1.0332031250 3.4140625000 1.1513671875 2.5820312500 -0.4531250000 -2.1816406250
0.4365234375 -3.4892578125 2.6210937500 1.0537109375 2.0644531250 -1.1640625000 3.7656250000 3.1445312500 2.2275390625 -2.4433593750 -0.2666015625 -3.6494140625 -2.7656250000 1.4648437500 1.9580078125 3.7402343750
-1.3935546875 -1.0361328125 -0.2431640625 -2.4843750000 -2.9609375000 -0.1943359375 -2.1845703125 1.3583984375 -0.5029296875 2.6611328125 1.6025390625 -1.5009765625 2.6582031250 2.4384765625 -0.9003906250 -1.6933593750
1.4599609375 -2.8818359375 -2.4003906250 -3.9414062500 2.2949218750 1.3183593750 1.6416015625 2.2460937500 -0.3291015625 0.5498046875 -2.8818359375 -3.0839843750 1.3476562500 -0.2314453125 0.5214843750 2.1201171875
1.0781250000 0.4287109375 0.4736328125 -1.5683593750 -3.7539062500 -0.5058593750 -2.2832031250 -0.7314453125 2.8271484375 -2.1289062500 -3.5332031250 -1.7490234375 -1.6513671875 1.2949218750 0.4560546875 2.2714843750
1.3144531250 -0.7490234375 2.5117187500 -2.6640625000 -3.8183593750 -3.2792968750 1.7792968750 -0.3046875000 -2.7099609375 0.0087890625 -2.7812500000 1.5703125000 -0.4306640625 -0.9521484375 -1.5878906250 1.0419921875
-1.1054687500 -3.2988281250 -3.0556640625 3.6953125000 3.2685546875 1.5976562500 -1.8730468750 3.7529296875 2.2304687500 1.7353515625 -0.4052734375 -1.8222656250 -3.2285156250 3.2207031250 -0.3535156250 -2.3808593750
-1.5527343750 0.6337890625 -2.5859375000 2.8525390625 2.0683593750 1.7558593750 -0.5429687500 1.0185546875 0.6728515625 1.1992187500 -3.3242187500 -0.6738281250 -3.6669921875 -0.0478515625 -1.3613281250 -2.8437500000
-3.1728515625 0.7011718750 -2.6357421875 3.4013671875 0.6484375000 -1.2246093750 0.7275390625 -3.8173828125 3.6689453125 -0.1416015625 2.2617187500 -3.3378906250 -0.1064453125 -0.0742187500 3.5029296875 0.5742187500
-0.2119140625 -1.8642578125 -1.3476562500 0.1650390625 -0.4882812500 -3.8271484375 2.6103515625 3.1689453125 -2.8779296875 0.4326171875 -3.1318359375 1.3779296875 -1.7500000000 1.2753906250 1.8164062500 2.1494140625
-3.1376953125 3.3281250000 -2.1582031250 -3.7011718750 0.4384765625 -1.0322265625 2.6386718750 2.4658203125 -1.4628906250 3.6230468750 -1.6728515625 0.1201171875 -1.9521484375 3.4882812500 -2.6835937500 -3.6406250000
-0.5195312500 3.9394531250 3.1337890625 1.9892578125 3.1259765625 3.1474609375 0.1503906250 -1.4726562500 2.1757812500 1.2929687500 -1.0107421875 -3.2441406250 1.9746093750 -1.9003906250 3.4941406250 -2.0722656250
-3.0175781250 2.6484375000 -2.7734375000 -2.5654296875 0.7949218750 2.9960937500 -2.4287109375 -1.5175781250 2.2197265625 3.7744140625 0.0058593750 -2.8486328125 -3.8886718750 -2.1630859375 -2.9453125000 1.4208984375
-3.0253906250 0.0507812500 1.5537109375 0.6494140625 -2.4013671875 2.4326171875 1.7236328125 1.9121093750 -2.9511718750 -3.0097656250 3.4208984375 -0.8193359375 -1.5927734375 -0.0917968750 1.3027343750 3.6445312500
-1.7080078125 3.3984375000 -3.8007812500 0.4414062500 1.0722656250 -3.1523437500 -2.8769531250 -0.6474609375 3.7294921875 0.7685546875 3.4638671875 2.4345703125 -0.2607421875 2.2783203125 -3.8574218750 -3.1269531250
2.6357421875 2.3750000000 -2.1386718750 0.2460937500 0.8476562500 2.9423828125 0.8251953125 -0.6992187500 -1.0068359375 -0.5927734375 1.2158203125 2.9394531250 -0.3691406250 -2.0175781250 -2.1064453125 1.9677734375
#FULL_A_16x16 encoded
08C4 FE0B 0B7A 0651 F304 0F38 085B 0927 F41A FE6A FBDE 0DA8 049B 0A54 FE30 F746
01BF F20B 0A7C 0437 0842 FB58 0F10 0C94 08E9 F63A FEEF F167 F4F0 05DC 07D5 0EF6
FA6D FBDB FF07 F610 F428 FF39 F743 056F FDFD 0AA5 0669 F9FF 0AA2 09C1 FC66 F93A
05D7 F479 F666 F03C 092E 0546 0691 08FC FEAF 0233 F479 F3AA 0564 FF13 0216 087B
0450 01B7 01E5 F9BA F0FC FDFA F6DE FD13 0B4F F77C F1DE F901 F965 052E 01D3 0916
0542 FD01 0A0C F558 F0BA F2E2 071E FEC8 F529 0009 F4E0 0648 FE47 FC31 F9A6 042B
FB94 F2CE F3C7 0EC8 0D13 0664 F882 0F03 08EC 06F1 FE61 F8B6 F316 0CE2 FE96 F67A
F9CA 0289 F5A8 0B69 0846 0706 FDD4 0413 02B1 04CC F2B4 FD4E F155 FFCF FA8E F4A0
F34F 02CE F575 0D9B 0298 FB1A 02E9 F0BB 0EAD FF6F 090C F2A6 FF93 FFB4 0E03 024C
FF27 F88B FA9C 00A9 FE0C F0B1 0A71 0CAD F47D 01BB F379 0583 F900 051A 0744 0899
F373 0D50 F75E F132 01C1 FBDF 0A8E 09DD FA26 0E7E F94F 007B F831 0DF4 F544 F170
FDEC 0FC2 0C89 07F5 0C81 0C97 009A FA1C 08B4 052C FBF5 F306 07E6 F866 0DFA F7B6
F3EE 0A98 F4E8 F5BD 032E 0BFC F649 F9EE 08E1 0F19 0006 F49B F072 F759 F438 05AF
F3E6 0034 0637 0299 F665 09BB 06E5 07A6 F432 F3F6 0DAF FCB9 F9A1 FFA2 0536 0E94
F92B 0D98 F0CC 01C4 044A F364 F47E FD69 0EEB 0313 0DDB 09BD FEF5 091D F092 F37E
0A8B 0980 F772 00FC 0364 0BC5 034D FD34 FBF9 FDA1 04DD 0BC2 FE86 F7EE F793 07DF
