#FULL_A_16x16
2.19141 -0.489014 2.86914 1.5791 -3.24609 3.80469 2.08984 2.28906 -2.97461 -0.396973 -1.0332 3.41406 1.15137 2.58203 -0.452637 -2.18164
0.436768 -3.49023 2.62109 1.05371 2.06445 -1.16406 3.76562 3.14453 2.22656 -2.44336 -0.266113 -3.65039 -2.76562 1.46484 1.95801 3.74023
-1.39355 -1.03613 -0.24353 -2.48438 -2.96094 -0.194336 -2.18555 1.3584 -0.50293 2.66211 1.60254 -1.50098 2.6582 2.4375 -0.900391 -1.69336
1.45996 -2.88281 -2.40039 -3.94141 2.29492 1.31836 1.6416 2.24609 -0.328613 0.549805 -2.88086 -3.08398 1.34766 -0.231201 0.521973 2.11914
1.07812 0.428711 0.473633 -1.56836 -3.75391 -0.506348 -2.2832 -0.731934 2.82812 -2.12891 -3.5332 -1.74902 -1.65137 1.29492 0.456299 2.27148
1.31445 -0.749023 2.51172 -2.66406 -3.81836 -3.2793 1.7793 -0.304932 -2.70898 0.00836182 -2.78125 1.57031 -0.430664 -0.95166 -1.58789 1.04199
-1.10547 -3.29883 -3.05664 3.69531 3.26953 1.59766 -1.87305 3.75391 2.23047 1.73535 -0.405029 -1.82227 -3.22852 3.2207 -0.35376 -2.38086
-1.55273 0.633789 -2.58594 2.85352 2.06836 1.75586 -0.543457 1.01855 0.672852 1.19922 -3.32422 -0.67334 -3.66797 -0.0480652 -1.36133 -2.84375
-3.17188 0.701172 -2.63477 3.40039 0.648438 -1.22461 0.727539 -3.81836 3.66797 -0.141602 2.26172 -3.33789 -0.10675 -0.0743408 3.50195 0.57373
-0.212036 -1.86426 -1.34766 0.165405 -0.48877 -3.82617 2.60938 3.16992 -2.87891 0.432373 -3.13086 1.37793 -1.75 1.27539 1.81641 2.14844
-3.13867 3.32812 -2.1582 -3.70117 0.438721 -1.03223 2.63867 2.4668 -1.46289 3.62305 -1.67285 0.120483 -1.95215 3.48828 -2.68359 -3.64062
-0.519043 3.93945 3.13281 1.98926 3.12695 3.14844 0.150879 -1.47266 2.17578 1.29297 -1.01074 -3.24414 1.97461 -1.90039 3.49414 -2.07227
-3.01758 2.64844 -2.77344 -2.56641 0.794922 2.99609 -2.42773 -1.51758 2.21875 3.77539 0.00592804 -2.84961 -3.88867 -2.16211 -2.94531 1.4209
-3.02539 0.0506287 1.55371 0.648926 -2.40234 2.43359 1.72363 1.91211 -2.95117 -3.00977 3.41992 -0.819336 -1.59277 -0.0913086 1.30273 3.64453
-1.70801 3.39844 -3.80078 0.44165 1.07227 -3.15234 -2.87695 -0.646973 3.73047 0.768555 3.46484 2.43555 -0.260986 2.27734 -3.85742 -3.12695
2.63477 2.375 -2.13867 0.246216 0.848145 2.94141 0.824707 -0.699219 -1.00684 -0.592773 1.21582 2.93945 -0.368896 -2.01758 -2.10742 1.96777
#FULL_A_16x16 encoded
4062 B7D3 41BD 3E51 C27E 439C 402E 4094 C1F3 B65A BC22 42D4 3C9B 412A B73E C05D
