#FlexGrip INT16_32 experiment.
#Format: A/B signed int16, C/D signed int32.
#Golden math: D = A @ B + C, saturated to signed int32.
#Only B is transposed by the global_mem generator for hardware feeding.

#FULL_A_16x16
-211 140 79 -32 -35 183 -212 101 -153 -208 13 243 120 133 111 146
6 -191 173 -26 0 -67 -163 218 144 73 -50 165 23 -29 -26 -140
-209 27 198 -224 183 167 -115 67 -172 132 102 -75 -222 240 -28 201
91 142 133 -157 -70 -18 -2 -234 23 -178 124 93 216 125 -69 239
-46 -90 207 -67 -217 -16 151 -159 -19 -190 95 -13 -87 -140 33 86
225 -33 -174 170 66 102 -207 -97 137 170 -34 156 174 -58 203 -109
-134 93 70 -185 170 -154 156 -253 151 146 143 84 -15 105 -115 143
28 -22 2 35 -237 -185 -131 -198 -31 86 79 -15 181 33 -216 135
38 68 33 27 -210 30 150 -101 52 -241 -79 -33 247 -147 -115 -47
252 180 -239 -137 164 -227 182 -112 213 -106 -34 82 -192 29 2 145
254 84 -47 -48 -43 160 -92 -171 -85 -245 -202 -210 139 113 100 -20
111 -174 205 0 224 -179 -2 100 -3 -28 -171 -61 -134 -102 94 66
54 -71 235 -212 -81 -196 -83 236 -69 209 -3 102 -22 -120 135 240
-122 142 -123 111 147 -26 121 -117 -216 -207 -28 206 -191 -23 104 -153
113 -100 158 40 24 -166 -19 182 -247 132 -4 112 83 -35 -98 65
-185 43 -208 76 65 -213 131 -44 146 -235 -165 -4 -160 -88 82 -183
#FULL_A_16x16 encoded
FF2D 008C 004F FFE0 FFDD 00B7 FF2C 0065 FF67 FF30 000D 00F3 0078 0085 006F 0092
0006 FF41 00AD FFE6 0000 FFBD FF5D 00DA 0090 0049 FFCE 00A5 0017 FFE3 FFE6 FF74
FF2F 001B 00C6 FF20 00B7 00A7 FF8D 0043 FF54 0084 0066 FFB5 FF22 00F0 FFE4 00C9
005B 008E 0085 FF63 FFBA FFEE FFFE FF16 0017 FF4E 007C 005D 00D8 007D FFBB 00EF
FFD2 FFA6 00CF FFBD FF27 FFF0 0097 FF61 FFED FF42 005F FFF3 FFA9 FF74 0021 0056
00E1 FFDF FF52 00AA 0042 0066 FF31 FF9F 0089 00AA FFDE 009C 00AE FFC6 00CB FF93
FF7A 005D 0046 FF47 00AA FF66 009C FF03 0097 0092 008F 0054 FFF1 0069 FF8D 008F
001C FFEA 0002 0023 FF13 FF47 FF7D FF3A FFE1 0056 004F FFF1 00B5 0021 FF28 0087
0026 0044 0021 001B FF2E 001E 0096 FF9B 0034 FF0F FFB1 FFDF 00F7 FF6D FF8D FFD1
00FC 00B4 FF11 FF77 00A4 FF1D 00B6 FF90 00D5 FF96 FFDE 0052 FF40 001D 0002 0091
00FE 0054 FFD1 FFD0 FFD5 00A0 FFA4 FF55 FFAB FF0B FF36 FF2E 008B 0071 0064 FFEC
006F FF52 00CD 0000 00E0 FF4D FFFE 0064 FFFD FFE4 FF55 FFC3 FF7A FF9A 005E 0042
0036 FFB9 00EB FF2C FFAF FF3C FFAD 00EC FFBB 00D1 FFFD 0066 FFEA FF88 0087 00F0
FF86 008E FF85 006F 0093 FFE6 0079 FF8B FF28 FF31 FFE4 00CE FF41 FFE9 0068 FF67
0071 FF9C 009E 0028 0018 FF5A FFED 00B6 FF09 0084 FFFC 0070 0053 FFDD FF9E 0041
FF47 002B FF30 004C 0041 FF2B 0083 FFD4 0092 FF15 FF5B FFFC FF60 FFA8 0052 FF49
#FULL_B_16x16
90 -204 -167 44 150 -169 -103 217 250 41 -28 -79 57 46 -106 -245
-179 234 -42 -10 -17 144 -223 -214 -115 -7 87 -5 -31 224 -174 36
21 -14 157 -120 232 -87 23 10 179 -32 -111 -245 -70 167 -251 202
21 -185 -102 27 -95 -201 84 88 -196 -113 -132 81 117 116 224 137
-92 -201 58 212 243 -139 -135 -237 -184 28 23 -67 -98 168 -21 157
237 -94 -153 231 69 -108 62 7 207 -125 251 223 -164 -172 16 -234
-104 -34 240 252 -179 200 -210 127 176 200 -142 201 -197 9 -16 -95
-245 139 -85 82 -46 -65 197 -208 121 126 -62 -122 -254 223 229 -133
-240 -194 -222 169 200 -178 126 -165 -68 50 112 191 -234 -156 -113 -98
254 142 -92 241 -1 0 -34 -183 222 -249 -167 -139 -113 -189 -247 90
240 -194 -105 3 218 99 136 41 -43 -154 186 155 -244 110 -213 122
166 -189 -34 -193 34 218 -215 -53 242 -102 -189 -6 4 83 -96 233
10 -110 235 217 -1 -244 49 28 -181 68 174 -202 114 -185 127 -42
-253 238 -172 49 -164 221 122 155 -35 -17 68 145 177 -247 83 -201
-109 168 -128 151 -19 -137 -85 15 135 54 221 188 129 52 -108 -45
-196 -65 218 -38 -198 77 236 188 -116 -24 15 -130 -119 -135 253 125
#FULL_B_16x16 encoded
005A FF34 FF59 002C 0096 FF57 FF99 00D9 00FA 0029 FFE4 FFB1 0039 002E FF96 FF0B
FF4D 00EA FFD6 FFF6 FFEF 0090 FF21 FF2A FF8D FFF9 0057 FFFB FFE1 00E0 FF52 0024
0015 FFF2 009D FF88 00E8 FFA9 0017 000A 00B3 FFE0 FF91 FF0B FFBA 00A7 FF05 00CA
0015 FF47 FF9A 001B FFA1 FF37 0054 0058 FF3C FF8F FF7C 0051 0075 0074 00E0 0089
FFA4 FF37 003A 00D4 00F3 FF75 FF79 FF13 FF48 001C 0017 FFBD FF9E 00A8 FFEB 009D
00ED FFA2 FF67 00E7 0045 FF94 003E 0007 00CF FF83 00FB 00DF FF5C FF54 0010 FF16
FF98 FFDE 00F0 00FC FF4D 00C8 FF2E 007F 00B0 00C8 FF72 00C9 FF3B 0009 FFF0 FFA1
FF0B 008B FFAB 0052 FFD2 FFBF 00C5 FF30 0079 007E FFC2 FF86 FF02 00DF 00E5 FF7B
FF10 FF3E FF22 00A9 00C8 FF4E 007E FF5B FFBC 0032 0070 00BF FF16 FF64 FF8F FF9E
00FE 008E FFA4 00F1 FFFF 0000 FFDE FF49 00DE FF07 FF59 FF75 FF8F FF43 FF09 005A
00F0 FF3E FF97 0003 00DA 0063 0088 0029 FFD5 FF66 00BA 009B FF0C 006E FF2B 007A
00A6 FF43 FFDE FF3F 0022 00DA FF29 FFCB 00F2 FF9A FF43 FFFA 0004 0053 FFA0 00E9
000A FF92 00EB 00D9 FFFF FF0C 0031 001C FF4B 0044 00AE FF36 0072 FF47 007F FFD6
FF03 00EE FF54 0031 FF5C 00DD 007A 009B FFDD FFEF 0044 0091 00B1 FF09 0053 FF37
FF93 00A8 FF80 0097 FFED FF77 FFAB 000F 0087 0036 00DD 00BC 0081 0034 FF94 FFD3
FF3C FFBF 00DA FFDA FF3A 004D 00EC 00BC FF8C FFE8 000F FF7E FF89 FF79 00FD 007D
#FULL_C_16x16
2792 2593 3761 -3234 3126 -3551 -202 773 -1165 -2899 -2521 2659 -1486 -1554 3468 -2918
3401 3448 807 -2740 -2820 -1764 634 -2838 -364 -3150 330 -3923 1712 -3643 -2501 -2666
2711 -3659 -580 746 131 1480 2483 -872 2688 -1492 3968 37 1933 3072 2397 2876
299 -3740 -57 -2610 3187 -2157 -2228 -2054 1167 583 3676 -686 -1784 -3693 -4039 -1036
3488 194 3223 -3264 -3332 2731 -3222 -3671 -786 3480 1551 -3285 2761 2814 2463 3298
-2131 3928 -1469 2474 650 2289 1047 1167 952 2285 1958 -2994 2671 295 -1450 116
3825 2929 2733 -305 2327 -942 1525 1143 -2050 -1914 -3596 -2952 -544 -182 -2744 -681
853 -2191 -1326 -1086 41 -1095 1941 -1414 -542 -988 -2598 1521 -2168 -1664 2398 3677
1399 3410 2901 -157 2214 -1407 -324 290 3772 2855 -89 1249 -2439 2493 434 268
2181 1088 -3503 -1736 -2649 1924 -3809 -2438 798 1595 27 2955 3431 -3014 3706 936
