#FULL_A_16x16
2.19141 -0.488953 2.86865 1.57886 -3.24658 3.80518 2.08936 2.28857 -2.9751 -0.396912 -1.03369 3.41406 1.15088 2.58203 -0.452698 -2.18213
0.436707 -3.48926 2.62109 1.05322 2.06494 -1.16382 3.76562 3.14502 2.22705 -2.44287 -0.266235 -3.64941 -2.76562 1.46436 1.95801 3.74023
-1.39331 -1.03638 -0.24353 -2.48438 -2.96045 -0.194336 -2.18457 1.3584 -0.502808 2.66162 1.60205 -1.50098 2.6582 2.43799 -0.900146 -1.69336
1.45996 -2.88184 -2.40088 -3.94092 2.29541 1.31885 1.64136 2.24561 -0.328674 0.549927 -2.88184 -3.08398 1.34717 -0.231201 0.521851 2.12012
1.07764 0.42865 0.473633 -1.56836 -3.75342 -0.506226 -2.2832 -0.731812 2.82715 -2.12842 -3.53369 -1.74902 -1.65137 1.29541 0.456238 2.271
1.31445 -0.748901 2.51221 -2.66406 -3.81836 -3.27979 1.77881 -0.304993 -2.70996 0.00836182 -2.78174 1.57056 -0.430725 -0.951782 -1.58789 1.04224
-1.10547 -3.29883 -3.05615 3.69531 3.26855 1.59766 -1.87305 3.75342 2.22998 1.73511 -0.40509 -1.82202 -3.229 3.2207 -0.35376 -2.38086
-1.55225 0.633789 -2.58594 2.85303 2.06836 1.75562 -0.543213 1.01855 0.672729 1.19873 -3.32422 -0.673584 -3.66699 -0.0480652 -1.36108 -2.84375
-3.17285 0.701172 -2.63525 3.40088 0.648438 -1.2251 0.727295 -3.81738 3.66846 -0.141602 2.26172 -3.33838 -0.10672 -0.0743408 3.50244 0.573853
-0.212097 -1.86426 -1.34741 0.165405 -0.488708 -3.82715 2.61035 3.16943 -2.87793 0.432312 -3.13135 1.37793 -1.75024 1.27539 1.81592 2.14941
-3.13818 3.32812 -2.1582 -3.70068 0.438843 -1.03271 2.63818 2.46582 -1.46289 3.62305 -1.67261 0.120453 -1.95239 3.48828 -2.68311 -3.64062
-0.519165 3.93896 3.1333 1.98877 3.12646 3.14746 0.150879 -1.47266 2.17627 1.29321 -1.01074 -3.24414 1.97437 -1.90039 3.49463 -2.07227
-3.01807 2.64893 -2.77393 -2.56592 0.795044 2.99658 -2.42871 -1.51733 2.21924 3.77441 0.00592804 -2.84863 -3.88867 -2.1626 -2.94531 1.42139
