93935B96 91A0F7AC 8B53C8C4 8EE4C5F4 8A646A45 8D39AA9E 8E3258DA 72B27908 7694BAF2 8B0560C8 74988684 8AB8A0EA 8D1D1220 8BFDF39C 768DFBA5 8BFF7123
75B6AD06 8C8A2DE6 7579C87C 70309F99 72606800 7266B3A2 725BDC6F 8B11F240 75E08A38 6DEA35C0 89EC2D00 727E3392 75F53757 8D5E8922 8FC1ACA2 75E3BEE4
89B72A63 74AD1B66 738DE4BA 726FDCB8 73065A4E 8BBBEC2B 894F9FB0 8DCAAEC6 8CCA2D1E 7515BB04 71BF9B43 75DE9E3A 8C244622 73434232 752728A6 8B078842
9B224590 9EDFE1A8 91A9B988 718B9A44 741B0524 76D27D12 8E6E48E1 8BFD526B 755D0955 6FA41AEF 71C6BF40 6FCA42AC 739FFA2C 8C6F974C 8D4CC438 8B66F7C0
992BF160 8C450EB6 754AF6DB 6ECB02B7 89FC6125 74959305 74BD174A 983482B0 8BE72FE2 70F25FA6 8B81526A 721F6D2A 7452C107 8947D446 8B56974D 8CFEC0E9
73220F63 8AA61C92 731B88B5 890D9DF6 74FF49DB 9A3A34F0 701CD4C2 7572C55C 7415E4BB 8DA44118 530A8F80 708940C9 905AD5E1 8BB7B4CA 6CE95C48 8FB98909
756B25FA 76022827 7476850A 74FADBD7 8ADE42E3 72BB69A7 8BB8433E 8B3035CF 8A507385 6C084600 8E59FC98 8DFF1916 9377883C 7791F196 8D4E0DB9 6F8C8343
74DF099A 7327C1D6 749449F6 8F5AFBF4 8BC1EF6D 74C14B9A 74194AD0 746F1E64 8989F949 8D17D81A 6963CBD0 8A6BF144 720EFEDC 76466DD4 8A30E8A5 91FB6774
8E694447 7132FF07 72D9BBEB 76474274 8E8243AF 8FCCF3DA 9402B692 8B8D33E7 8922B7B9 73BF091F 8A77DCF2 728FD57A 733C9556 6DDEF664 8E563B34 758EE890
7606B3D3 8ED1F2BB 745FB004 896E0068 6E8A3DB0 70C54ED7 8F1D0370 6EDDE036 AE0A4200 8AADB0DE 8D948CBE 6CF06560 92B8D50A 7505F401 6E0B42B8 745E26FC
8C94A17C 7652D684 76B6633B 8B48A1B2 743149DE 743C759A 8DEF821C 7667A5B1 896877C3 8AC364EE 8D1E3BCD 8B98E067 962158D0 777CB9BA 94C9AA84 8B29D3FF
8B29F058 8C4BCC47 7311DC85 70433064 6D4896A0 6305A000 753297CB 7366F9F0 600A8380 74000FD6 74AF74A2 8CB82741 760EBD33 8AA50E1D 8ACAB022 8C59ABA2
8A35B43E 762C4E04 75590E14 6F98EC50 74807430 772D2723 75ABA31C 75E1C1DC 88522CC6 76F57910 9136D648 72B04001 66354910 73CE8870 886B1082 8C3B9909
8B0299E9 98FF2C8E 93A646D2 6E1C5E20 6ECB63C7 8B120218 71B4F3CE 9894B858 734DF304 745FCF8B 91BF907C 7548E61F 70733FAA 8E066F9E 7608C123 75EC04C3
8E6F3D33 77260327 6FEAF810 75A0B74A 8BD4EA0C 8BF77820 8BD992B8 8D12835D 88B724EB 8B86BCAE 89C63EDA 8DD2D66D 8B4F91FD 7781BD92 9569ABC6 6D1E23E8
910B41DC 72DE7890 89254A44 7273A21C 8CE1EFE2 7573F4A6 744EB4B1 6E9A2FEA 737A6772 8C43FF31 936DA450 8ACBCFAC 8B982926 8D14165E 8C0A964D 96E6DBB0
