<a0> <a1> <a2> <a3> <b0> <b1> <b2> <b3> <c0> <r> <r_gold>
5 7 -8 3.75 9 -7 7 -5 7.5 -72 -72
5.5 -3.25 5 -6.5 1 7.5 -1.5 10 8 -80 -80
-3 9 -1.625 9 -4.5 6.5 -7.5 6.5 -7.5 144 144
-3.75 -4 -7 0.625 9 9 -8 4 -4.5 -22 -10
3 -1 6 8 10 9 0.5 6 7.5 80 80
7.5 -0.28125 0.40625 -5 1.125 -5.5 -8 -2.75 2.75 24 22
0.25 -4 -6 7.5 -6 2.25 8 3.75 5.5 -24 -22
-6.5 -6 7.5 1.25 -2 2.75 1.25 1.5 1.25 9 9
1 4.5 6.5 -1.875 -8 1 7 -1.125 -5 40 36
-6.5 -2.75 -4.5 -1.625 -8 -2.75 0.75 -5.5 -5 60 60
-0.015625 5.5 -0.75 3.25 -1.625 8 -1.875 -3.75 2.5 36 36
-4 -10 7 -4 -3.5 -7.5 2.75 0.8125 -7.5 96 104
10 -4.5 8 6.5 9 3.25 -2.75 8 -9 96 88
0.125 1.25 -3.25 0.28125 0.75 1.625 4 6 8 -1.25 -1
7 -0.21875 5 -4.5 6.5 -0 9 -7 7 128 128
-6.5 4 -1.5 0.875 8 5.5 3.25 -9 -9 -52 -52
5.5 9 -0.375 -9 -9 4 -8 -4 3 28 32
-10 -5 7 -9 -7.5 8 2.5 7 3.25 -7 -13
-7 0.0234375 -0.875 -0.875 -6.5 -0.171875 0.875 -6 -8 40 40
-8 -1.75 1.5 -7.5 -10 -6.5 -4 3.5 7 60 64
-3.5 5.5 -9 -0.046875 5 -6.5 6 1.375 -8 -112 -120
-3 10 -1.375 10 -8 5.5 -2.75 -3.75 6 52 48
7.5 8 -7.5 -6.5 -1.25 3.75 -2.25 5.5 -4.5 -3.75 -4.5
3.5 -5 -9 -6 6.5 -4 6 9 8 -60 -64
-4.5 -2 -5.5 -1.875 5 -6.5 -0.375 -5.5 4.5 7.5 7.5
10 8 -5.5 1.375 -6 -5 9 2.25 -7 -160 -144
-4.5 9 2.75 -0.0507812 -8 -4.5 1.5 -2.75 -9 -8 -9
7 6.5 -3.5 -5 -5.5 -0.00195312 -1.375 10 4.5 -80 -72
-7.5 5 -1.625 -4.5 -1.5 7.5 -9 3 -7.5 44 40
-4 -6.5 7 -0.078125 -8 -4.5 -9 0.75 3.25 0.9375 3.25
-7.5 -5.5 -8 7.5 -2.75 3 -2.5 9 -2 88 88
9 7 5 7 -9 -7 6.5 1.375 0.625 -88 -88
-9 -2 -1.125 -9 2.25 2 7 7 4.5 -88 -88
-6.5 9 6.5 1 -8 -8 3 3 6 6.5 9
-1.875 10 -5 8 6 -9 1.125 -7.5 -8 -176 -160
7.5 1.75 -0.8125 -7.5 9 1.25 -3.5 -0.5625 -2 72 64
-5.5 0.140625 -4 -3.75 2.75 7 2.5 5.5 -7.5 -52 -52
-5 0.75 -6 -5.5 0.0429688 9 -0.6875 5.5 4 -16 -16
7.5 1 -9 7.5 -8 -9 7.5 3.75 4 -96 -96
-10 1.5 2.25 1.375 3 -8 -5 -10 -1.75 -72 -64
6 10 4.5 5 -4.5 -4 2.75 -2 9 -56 -56
-2.75 -7.5 6.5 2.25 0.8125 6 10 -5 -3.75 1.75 1.25
-9 -1.25 3 8 -1.75 -2.5 -5 1.625 -2.25 16 16
-6.5 6.5 3.5 -9 1.625 7.5 -1 -1.625 5 56 52
-8 6.5 2.25 2.75 -1.75 1.5 6.5 6 -6 48 48
8 4 -9 -6.5 4.5 3.5 -4.5 2.25 -2.5 72 72
-3.25 -8 3.5 0.375 7.5 -6.5 8 0.171875 3.5 60 60
3.5 4.5 -0.875 -5.5 6.5 -2.75 5 -9 5.5 60 56
-7 4 -0.34375 2.25 -4.5 -1.5 -5.5 4.5 -9 28 32
-2.75 -9 -3.5 -9 3.25 -1.375 -4.5 -1.5 2.5 36 36
3.25 4 5 -3 -0.117188 -7.5 4.5 -10 2 24 24
-1.75 -3.75 2.25 -4 6.5 1.25 3.25 -3 -5 -1 -1
