# vector_id a_hex b_hex golden_hex delta sign_case
16385 5000 0000 5000 -1 zero_operand
16386 5000 5000 5200 0 same_sign
16387 5000 5001 5201 1 same_sign
16388 5000 5002 5201 2 same_sign
16389 5000 5003 5202 3 same_sign
16390 5000 5004 5202 4 same_sign
16391 5000 5005 5203 5 same_sign
16392 5000 5006 5203 6 same_sign
16393 5000 5007 5204 7 same_sign
16394 5000 5008 5204 8 same_sign
16395 5000 5009 5205 9 same_sign
16396 5000 500A 5205 10 same_sign
16397 5000 500B 5206 11 same_sign
16398 5000 500C 5206 12 same_sign
16399 5000 500D 5207 13 same_sign
16400 5000 500E 5207 14 same_sign
16401 5000 500F 5208 15 same_sign
16402 5000 5010 5208 16 same_sign
16403 5000 5011 5209 17 same_sign
16404 5000 5012 5209 18 same_sign
16405 5000 5013 520A 19 same_sign
16406 5000 5014 520A 20 same_sign
16407 5000 5015 520B 21 same_sign
16408 5000 5016 520B 22 same_sign
16409 5000 5017 520C 23 same_sign
16410 5000 5018 520C 24 same_sign
16411 5000 5019 520D 25 same_sign
16412 5000 501A 520D 26 same_sign
16413 5000 501B 520E 27 same_sign
16414 5000 501C 520E 28 same_sign
16415 5000 501D 520F 29 same_sign
16416 5000 501E 520F 30 same_sign
16417 5000 501F 5210 31 same_sign
16418 5000 5020 5210 32 same_sign
16419 5000 5021 5211 33 same_sign
16420 5000 5022 5211 34 same_sign
16421 5000 5023 5212 35 same_sign
16422 5000 5024 5212 36 same_sign
16423 5000 5025 5213 37 same_sign
16424 5000 5026 5213 38 same_sign
16425 5000 5027 5214 39 same_sign
16426 5000 5028 5214 40 same_sign
16427 5000 5029 5215 41 same_sign
16428 5000 502A 5215 42 same_sign
16429 5000 502B 5216 43 same_sign
16430 5000 502C 5216 44 same_sign
16431 5000 502D 5217 45 same_sign
16432 5000 502E 5217 46 same_sign
16433 5000 502F 5218 47 same_sign
16434 5000 5030 5218 48 same_sign
16435 5000 5031 5219 49 same_sign
16436 5000 5032 5219 50 same_sign
16437 5000 5033 521A 51 same_sign
16438 5000 5034 521A 52 same_sign
16439 5000 5035 521B 53 same_sign
16440 5000 5036 521B 54 same_sign
16441 5000 5037 521C 55 same_sign
16442 5000 5038 521D 56 same_sign
16443 5000 5039 521D 57 same_sign
16444 5000 503A 521E 58 same_sign
16445 5000 503B 521E 59 same_sign
16446 5000 503C 521F 60 same_sign
16447 5000 503D 521F 61 same_sign
16448 5000 503E 5220 62 same_sign
16449 5000 503F 5220 63 same_sign
16450 5000 5040 5221 64 same_sign
16451 5000 5041 5221 65 same_sign
16452 5000 5042 5222 66 same_sign
16453 5000 5043 5222 67 same_sign
16454 5000 5044 5223 68 same_sign
16455 5000 5045 5223 69 same_sign
16456 5000 5046 5224 70 same_sign
16457 5000 5047 5224 71 same_sign
16458 5000 5048 5225 72 same_sign
16459 5000 5049 5225 73 same_sign
16460 5000 504A 5226 74 same_sign
16461 5000 504B 5226 75 same_sign
16462 5000 504C 5227 76 same_sign
16463 5000 504D 5228 77 same_sign
16464 5000 504E 5228 78 same_sign
16465 5000 504F 5229 79 same_sign
16466 5000 5050 5229 80 same_sign
16467 5000 5051 522A 81 same_sign
16468 5000 5052 522A 82 same_sign
16469 5000 5053 522B 83 same_sign
16470 5000 5054 522B 84 same_sign
16471 5000 5055 522C 85 same_sign
16472 5000 5056 522C 86 same_sign
16473 5000 5057 522D 87 same_sign
16474 5000 5058 522D 88 same_sign
16475 5000 5059 522E 89 same_sign
16476 5000 505A 522E 90 same_sign
16477 5000 505B 522F 91 same_sign
16478 5000 505C 522F 92 same_sign
16479 5000 505D 5230 93 same_sign
16480 5000 505E 5230 94 same_sign
16481 5000 505F 5231 95 same_sign
16482 5000 5060 5232 96 same_sign
16483 5000 5061 5232 97 same_sign
16484 5000 5062 5233 98 same_sign
16485 5000 5063 5233 99 same_sign
16486 5000 5064 5234 100 same_sign
16487 5000 5065 5234 101 same_sign
16488 5000 5066 5235 102 same_sign
16489 5000 5067 5235 103 same_sign
16490 5000 5068 5236 104 same_sign
16491 5000 5069 5236 105 same_sign
16492 5000 506A 5237 106 same_sign
16493 5000 506B 5237 107 same_sign
16494 5000 506C 5238 108 same_sign
16495 5000 506D 5239 109 same_sign
16496 5000 506E 5239 110 same_sign
16497 5000 506F 523A 111 same_sign
16498 5000 5070 523A 112 same_sign
16499 5000 5071 523B 113 same_sign
16500 5000 5072 523B 114 same_sign
16501 5000 5073 523C 115 same_sign
16502 5000 5074 523C 116 same_sign
16503 5000 5075 523D 117 same_sign
16504 5000 5076 523D 118 same_sign
16505 5000 5077 523E 119 same_sign
16506 5000 5078 523E 120 same_sign
16507 5000 5079 523F 121 same_sign
16508 5000 507A 5240 122 same_sign
16509 5000 507B 5240 123 same_sign
16510 5000 507C 5241 124 same_sign
16511 5000 507D 5241 125 same_sign
16512 5000 507E 5242 126 same_sign
16513 5000 507F 5242 127 same_sign
16514 5000 5080 5243 128 same_sign
16515 5000 5081 5243 129 same_sign
16516 5000 5082 5244 130 same_sign
16517 5000 5083 5244 131 same_sign
16518 5000 5084 5245 132 same_sign
16519 5000 5085 5245 133 same_sign
16520 5000 5086 5246 134 same_sign
16521 5000 5087 5247 135 same_sign
16522 5000 5088 5247 136 same_sign
16523 5000 5089 5248 137 same_sign
16524 5000 508A 5248 138 same_sign
16525 5000 508B 5249 139 same_sign
16526 5000 508C 5249 140 same_sign
16527 5000 508D 524A 141 same_sign
16528 5000 508E 524A 142 same_sign
16529 5000 508F 524B 143 same_sign
16530 5000 5090 524C 144 same_sign
16531 5000 5091 524C 145 same_sign
16532 5000 5092 524D 146 same_sign
16533 5000 5093 524D 147 same_sign
16534 5000 5094 524E 148 same_sign
16535 5000 5095 524E 149 same_sign
16536 5000 5096 524F 150 same_sign
16537 5000 5097 524F 151 same_sign
16538 5000 5098 5250 152 same_sign
16539 5000 5099 5250 153 same_sign
16540 5000 509A 5251 154 same_sign
16541 5000 509B 5252 155 same_sign
16542 5000 509C 5252 156 same_sign
16543 5000 509D 5253 157 same_sign
