#SET 0 results
#STEP0_D00
44B7 6892 5A20 4832
6423 45BD 4818 6523
7B60 6881 7C30 4849
45FD 66A0 68CD 4442
#STEP0_D10
6626 694C 43B0 42D7
4703 6820 62E2 4929
463D 47D0 606D 7F7C
419D 674C 7EB1 44F3
#STEP1_D01
6627 4346 41C9 6655
7A9B 63BB 66D6 6056
61D5 61EF 481A 680D
44E9 60E3 468F 46DE
#STEP1_D11
446B 41F1 48AD 6318
648A 7E78 42FC 65FA
64D1 7A7E 68E7 60C6
4512 7B9F 4736 63FE
#STEP0_D20
66E1 426D 7D22 678C
6434 479B 636E 686D
6617 60D4 4265 679A
4064 4702 651C 4421
#STEP0_D30
46C9 46EC 6866 7D15
6754 40B6 4930 66AA
5EBF 4293 43D0 5D4A
6418 6791 621F 4361
#STEP1_D21
4783 42B0 672D 48FF
45CF 77A2 654B 4621
46C4 62AA 6653 48B1
7D94 6389 6521 6237
#STEP1_D31
6406 43AD 429E 63F1
4333 63A1 65EB 6186
7F0F 4227 457C 6562
46B3 5CD1 46E6 46F0
#STEP0_D02
4324 6932 63CA 656A
66B3 435F 6757 4759
45F3 6811 437C 68FE
45CC 45AC 475E 688E
#STEP0_D12
440F 619A 646A 6A1C
43C7 69E2 6771 624E
6500 66E3 7EFB 49C8
41EF 65D2 64B5 6794
#STEP1_D03
5E7D 4757 6837 4534
646C 468C 45FB 682B
42D4 5C95 6926 476E
5A2F 62F7 676A 4892
#STEP1_D13
46CB 4805 682A 48D9
43E5 48A5 68B9 46A7
65E7 6474 483F 68F1
4365 4690 676E 4708
#STEP0_D22
4259 48C7 6541 4548
5E37 490F 47A1 4245
404C 494A 666A 7EC8
646E 6374 4696 4700
#STEP0_D32
448A 4284 495B 4558
6639 45E6 6811 45EC
6006 4158 4633 5DBF
44C0 463F 665B 683B
#STEP1_D23
4182 4695 483B 6000
6619 68B8 476D 659D
4583 4853 4784 461D
6689 673A 45F1 6697
#STEP1_D33
65E9 69D6 5B49 6611
444F 483B 473C 64F2
64B8 64F5 61AB 6511
46F2 46D6 6735 4882

#SET 1 results
#STEP0_D00
484D 6A2C 4554 4AB2
7B04 6335 4961 6792
4157 6AC0 6276 4950
4744 69EF 6AA7 4760
#STEP0_D10
7FD7 696A 47FA 42F4
4224 66F6 4780 4833
4342 4960 64E8 66CE
43B3 6812 41A8 4625
#STEP1_D01
68F1 7D2B 658A 67DB
6275 46F6 6938 46A4
664E 42B0 7ED1 65D7
4884 67FF 6006 601E
#STEP1_D11
7E16 46B9 47F6 601D
696B 48BF 5F36 4850
432E 62A2 6784 6322
4247 41B3 4644 625F
#STEP0_D20
6802 660A 6730 653C
450A 47BD 466F 68BD
68AF 454E 44C5 6920
43F0 48B4 423F 47D8
#STEP0_D30
652F 49B9 6983 6714
6746 4675 4A44 63B4
462F 4581 498F 48C2
43AE 6633 44B4 636B
#STEP1_D21
472B 6412 6800 4933
459E 45B0 6692 4547
431E 45CD 6519 4A62
6726 64EF 4248 6523
#STEP1_D31
7D34 5D2D 4851 4051
66FB 5F83 62AC 4224
69F4 46F2 4611 6004
483A 4349 472D 448F
#STEP0_D02
431E 66A3 6889 6766
46A7 6505 6789 42CC
614A 457F 45DD 69D0
7967 4929 45BF 67C1
#STEP0_D12
4946 67E4 67A5 6AAA
653B 690F 4515 6753
6541 68A1 4420 4A4C
42F3 6477 6556 6818
#STEP1_D03
68C1 4A32 68DD 486B
66E3 60D1 47A4 68BC
692C 46B5 6AA2 4617
698B 7D78 69E8 47E7
#STEP1_D13
4736 4732 6454 4986
4752 496B 68A1 44BC
4524 67A8 48CB 6962
60D3 4757 679C 4749
#STEP0_D22
693A 4B30 43AC 464A
49E5 59FE 7E22 63EF
67AC 4A07 46B6 624F
6633 6296 43EF 46EC
#STEP0_D32
68B4 4601 4B0E 47FA
6750 4671 681D 4450
61B5 4609 7CEA 66D0
4A41 6872 6901 6871
#STEP1_D23
67BE 490D 636D 6575
639C 69DE 49EB 597F
4823 4869 4681 0000
62D6 40E5 4765 5EDC
#STEP1_D33
4720 69FA 6521 682F
472C 49B0 4833 4107
6408 48C5 455C 4706
48D5 649D 4563 4933

#SET 2 results
#STEP0_D00
45AE 68E1 4260 4A7E
4512 63F1 4A3E 629D
6525 6973 635B 48D6
63F6 697C 6A22 63C9
#STEP0_D10
623D 6794 489C 418F
4716 6754 4946 48C3
6724 49E1 6838 69AF
6758 67B4 46EA 44E7
#STEP1_D01
69CD 456C 6234 66B9
6248 47BB 6A83 494A
6874 4829 4478 45DD
486E 46DD 4114 46CE
#STEP1_D11
664F 4979 4832 48BF
695C 4A0B 65BE 4A84
401B 7FCD 44CC 68B5
435F 48AA 62DD 4651
#STEP0_D20
68C3 45EC 68BA 684E
4820 5DEB 459E 68C2
6743 4522 6295 6820
6630 494B 66ED 4512
#STEP0_D30
65E6 4AE1 6A4A 64B6
6738 4798 4A26 666D
48A1 6267 4AA9 4912
428F 468E 653A 6575
#STEP1_D21
403C 44E0 4351 49CB
47F3 661C 65DA 66F4
418B 668B 6222 4967
67AC 6761 4801 6966
#STEP1_D31
66EE 647E 490D 4449
67B3 4579 447E 4550
695E 4894 613D 4761
43EF 442F 49B7 468F
#STEP0_D02
45C9 6751 6369 685C
46B9 66B4 6817 46A4
5D22 42BF 489B 69CC
46B3 49ED 4776 63B6
#STEP0_D12
492E 68B3 6698 6A35
669C 6954 6583 414A
623D 676D 47CC 4960
4842 7FA1 453A 661C
#STEP1_D03
67AC 4B27 6771 455C
681F 6689 47E5 613B
6989 4847 6A82 45E2
6A6D 450F 69E9 471E
#STEP1_D13
5F8F 46BD 663B 4AA9
658B 4658 69F3 4A3C
47F2 4350 4929 6BAD
5CBB 4903 7CB2 45DD
#STEP0_D22
69B1 4B07 46F5 43F0
4930 4443 6830 64BE
68CA 49A2 4664 673B
6493 5F9B 4854 6389
#STEP0_D32
68FF 7F63 4BDF 4429
67E5 465E 6857 4501
64E5 467C 688B 44EC
49A9 696A 6713 69B9
#STEP1_D23
6888 49CA 66CD 677D
6438 6AB8 48EA 41C3
4948 4861 467D 6409
47C8 48BC 48EF 6A03
#STEP1_D33
48F1 68CA 4193 6952
44EC 4987 46BF 43FE
6931 58E0 65AC 4AB8
490C 435A 4381 4837

#SET 3 results
#STEP0_D00
4886 68DA 45B3 49F2
4876 66A7 49C7 6617
6738 691E 48A3 4829
45E9 69A1 6ACC 665C
#STEP0_D10
64DF 684D 6735 4827
48ED 67B1 4734 47D0
669C 4A31 67AF 6854
63E5 68C2 4672 42D9
#STEP1_D01
6A55 458E 497F 6796
683F 4606 64DA 49C6
681A 4628 40E6 4618
476B 482B 496F 46B8
#STEP1_D11
656E 4A27 65FC 48AF
69D7 4AB9 47C3 4AAA
453D 7F2A 631E 6A49
6708 4654 48D3 4782
#STEP0_D20
6999 4729 6710 6A9A
489C 64DE 48BE 69A7
6760 43F7 6734 677D
6827 49C3 44FD 6648
#STEP0_D30
67AC 4AE9 6B3E 6455
6688 47DB 4B01 681F
4A54 7BE7 49F2 4A2D
4392 45AE 427A 6881
#STEP1_D21
4622 486D 462A 4B04
5E3E 698D 479C 61A1
5F52 6632 659C 4992
65D0 661E 47BE 6819
#STEP1_D31
6439 451C 4537 4697
6807 4486 4861 45B4
696C 4955 4788 65E2
6398 60BF 4B17 48CB
#STEP0_D02
43F6 6671 67DD 433F
4156 661B 6827 4AD9
4758 66B1 46D7 6ABC
5E99 4AC3 45E4 48BE
#STEP0_D12
4779 66CA 47BA 6AE4
68C9 674A 66C8 4966
5FA8 67CF 47C1 46CE
4751 645F 4672 47FC
#STEP1_D03
69E4 4AB8 6816 5BC2
6A89 696E 49B2 4336
68C5 4A52 6A82 6560
6BA1 66AF 6A29 47BF
#STEP1_D13
4781 635A 640D 4BF5
6985 667A 6A34 4AAC
49F8 471C 47C9 6BE1
677D 4740 481E 4712
#STEP0_D22
6971 4B76 6581 46F3
4994 6676 6854 4784
6943 49E5 481D 6721
4341 7F4D 432F 65C3
#STEP0_D32
6976 45E9 4C29 631D
6747 4578 69AE 476A
676C 4865 68F2 4732
49C0 69C8 685B 6718
#STEP1_D23
6AA2 49C3 68F3 68E7
67F5 6AA9 4AEA 621E
496E 475B 4769 4378
45C0 49DA 4799 6AEF
#STEP1_D33
492E 6974 62E0 6814
62FC 49D6 4622 6475
68FC 65D6 6899 4ABD
4546 5CDA 4741 4782

#FINAL_16x16_RESULT
4886 68DA 45B3 49F2 6A55 458E 497F 6796 43F6 6671 67DD 433F 69E4 4AB8 6816 5BC2
4876 66A7 49C7 6617 683F 4606 64DA 49C6 4156 661B 6827 4AD9 6A89 696E 49B2 4336
6738 691E 48A3 4829 681A 4628 40E6 4618 4758 66B1 46D7 6ABC 68C5 4A52 6A82 6560
45E9 69A1 6ACC 665C 476B 482B 496F 46B8 5E99 4AC3 45E4 48BE 6BA1 66AF 6A29 47BF
64DF 684D 6735 4827 656E 4A27 65FC 48AF 4779 66CA 47BA 6AE4 4781 635A 640D 4BF5
48ED 67B1 4734 47D0 69D7 4AB9 47C3 4AAA 68C9 674A 66C8 4966 6985 667A 6A34 4AAC
669C 4A31 67AF 6854 453D 7F2A 631E 6A49 5FA8 67CF 47C1 46CE 49F8 471C 47C9 6BE1
63E5 68C2 4672 42D9 6708 4654 48D3 4782 4751 645F 4672 47FC 677D 4740 481E 4712
6999 4729 6710 6A9A 4622 486D 462A 4B04 6971 4B76 6581 46F3 6AA2 49C3 68F3 68E7
