#SET 0 results
#STEP0_D00
4867 CCAA C2D8 C888
4CD1 CB0D 3BBA C28C
C8ED 44BF 441C C56E
BC3C 2B85 C8A1 486E
#STEP0_D10
2D0B C2E1 40C8 C446
C15D C990 B6F7 CA10
4D36 48A0 CA08 4C92
454D 4A06 BAFF 476B
#STEP1_D01
B1C7 C624 BC44 4262
48F2 C8A7 C804 C5A2
49A8 4383 BDE0 BAF0
3770 4E07 CB54 CD39
#STEP1_D11
3AD5 4612 BFBC AF1F
4A41 4415 46FC 44FA
C59B 286E CCBE CC23
C91A BE1C 29BA BDC8
#STEP0_D20
38D6 4D14 BEFF 480F
4895 3FCB C4FC 459D
CEB7 4D7B 4B0D C0ED
C717 C5BE 4A26 C8CA
#STEP0_D30
CEAD 4D64 49CB 44D1
C597 43D1 4934 C2FD
CC91 4C92 B87F 48A2
C325 A134 C915 45BC
#STEP1_D21
C660 C6B3 C4E4 3609
C2C0 4651 C9C1 CA34
46EF 48C4 468C 4A5D
385D CC99 4E08 4D63
#STEP1_D31
B70A 482E 48A8 491B
48B1 CC99 46DF 48EE
CC76 4300 452A C03A
CD00 4C22 C668 C81A
#STEP0_D02
4CE9 B61D BA4D C264
4D8E 4921 4855 4902
3B5A 49D6 421A 46F5
4ACC 4045 3C72 4732
#STEP0_D12
4949 AFE5 C135 C0DE
4D94 48B0 4981 462A
C8A6 BCA3 C4F2 C127
CED1 C7C0 C98E C6FA
#STEP1_D03
C52E CB98 C419 44C0
456A C4FC 4A65 4932
43C5 41F1 4AAD C454
C7D5 B59B 4ADD CBA4
#STEP1_D13
C1F0 C9F7 39CE C89E
476A CACB 4604 CB85
C6A5 4D33 4A69 4CB7
BFF1 4CC2 2978 4C12
#STEP0_D22
CF4D C708 C654 41B4
B987 4341 431E 468F
CEA3 C386 C655 444D
C66F C0EE BD2C C73F
#STEP0_D32
CD9E 3885 BE22 3B4D
C629 4994 4662 4591
D034 CAEA CB42 C793
C6D8 CD55 CC8D CC6F
#STEP1_D23
40BD 4D95 4549 4C90
C535 4583 43D2 42F3
49B1 48AD 43D5 C50F
46D9 C823 CC5C 47DD
#STEP1_D33
4793 4973 45C6 B9AE
4889 470E 4675 49F5
3837 4CB1 C8F4 39F8
C834 C87F CD5D CA2F

#SET 1 results
#STEP0_D00
CC12 C190 C760 B84B
4EEB C450 4794 C9EB
CD83 47E9 4A22 C8EB
31A5 4919 CA42 4924
#STEP0_D10
C97F C76F 4828 C62C
C2E5 CC19 4B4B CDF1
4D26 4DA1 CABB 4C63
44DD 4C76 C745 4A15
#STEP1_D01
CC96 457A C637 3687
4DE4 C6B6 CB53 C9EA
C0F1 C7D2 CA5D C75C
4411 500B CA13 CE15
#STEP1_D11
CA16 C4C1 C913 BCEC
4BBA C7E8 C8BD 4397
C894 B150 CC55 CEA4
C9E4 44A2 468C C1C9
#STEP0_D20
4A19 4640 C6C8 4996
4C44 46BB 4B2D CA9C
CDFD 4F59 4D59 C8FF
C4D6 C524 C59A 4505
#STEP0_D30
D01F 4D26 BFF9 4C76
CDC8 4BE1 4894 3C75
C520 485A 47DE BA11
C875 42D7 CDB3 4C6B
#STEP1_D21
44AC C1FE 4427 497C
4836 C6C9 CFB0 CD90
4B05 4878 BF25 4738
401B B766 516B 4F40
#STEP1_D31
C932 4C31 4DB1 4B80
C1A1 C98D 3E1E 470A
C98A CA59 404A C4AA
CDEB 4FD7 449A C24D
#STEP0_D02
5100 469B BF62 C5A9
51B8 C881 C614 3A0C
C579 4D8E 4071 4E06
5010 C4C1 4200 C050
#STEP0_D12
C4FF 4A2E C392 4AD9
4BF4 41AE CA84 4BA7
446E 3B44 4890 B6DD
CCDB C5F8 B3CA C9D9
#STEP1_D03
C3C7 CF91 4CAD C5BE
4AF1 4AA2 4D3D 4CFF
C21B 3CDA 4D08 C8E0
B479 4862 4C35 CB61
#STEP1_D13
CA31 CD8C 44A7 CB2D
3CDF CC0D 4C5B C76D
BCAF 50EC 487F 4B3B
4080 4DCE C2A5 4A52
#STEP0_D22
D143 C9AB C812 C5B2
4918 CB0C CD7D 4A3F
C95B CC0C CCE4 3C7D
B8D9 AAF9 4C2F CE06
#STEP0_D32
CF21 4B38 4CE0 BEAF
48B3 4B63 42FC 4451
D27A CB02 CB2B 4466
3C78 CC7F C7FD CF63
#STEP1_D23
3F2F 4B31 C4BA 4DEC
C417 4E77 4B50 4C09
4BDA 4D36 4A7E 3D10
4AC6 CB58 CEAC 41CC
#STEP1_D33
4742 B346 C107 C978
4909 C071 4DF7 455E
C3F6 4FEC CDF1 462E
C438 CCC3 CD3E CC86

#SET 2 results
#STEP0_D00
C457 C85F CDE1 CD65
4E15 CB24 4D02 49D3
D017 4B2F 4CC2 C98B
41EF C3EA 4673 4547
#STEP0_D10
C232 CC07 4DDB 4277
48D3 CF34 4968 D1CE
4AF4 4FCB 4005 4DCD
495C 4BA7 471A 3E2F
#STEP1_D01
CD98 AF32 3FFF 4BCB
4C6B C706 CB0B CEFF
4C0A C729 CECA C5F8
4A74 5175 C80E CB5D
#STEP1_D11
CF1C 48E3 4730 C4AC
4BC9 C51B 3E81 4DE8
C41C 4A65 CCF6 CF45
C99A 4D9E 4C42 48C3
#STEP0_D20
C1E8 4C04 461D 5108
4F96 C63C 4A67 D0D1
CDD2 500E 4FA6 D00B
C9A6 C2B4 4BBD 4AA2
#STEP0_D30
D1B6 5046 4D36 4D3B
CE9F B720 C800 4A83
CC04 5102 BCED 4BF0
C5C9 4814 D0F4 4A6E
#STEP1_D21
45C0 BE9B C716 CA0B
4970 BF84 CCE4 3492
4F9D 4D82 C19A 4EE2
4883 4A99 5123 4E8A
#STEP1_D31
466A 504A 4A86 4BBF
3BAE D127 C9D3 C542
CD99 CA56 C407 CDF2
CF90 4D95 457B C203
#STEP0_D02
51FC C9A9 4C74 CC14
5191 C607 CE13 453A
CC44 5103 3E2B 5075
4CDD BDF3 4540 BF6F
#STEP0_D12
C434 4461 CAC4 4487
4C01 CA1A 4652 44AF
C4EC 4B9A 30BD 442F
CEDC C657 4468 CC89
#STEP1_D03
CA77 CDDA 4FB1 C180
506A C4E8 4B3F 4D0B
CC01 49EA 48FE CA71
4A76 BC48 C6D7 CE32
#STEP1_D13
4C6C D1A0 C713 CD20
3C71 CBE6 4B66 C96D
4374 50A6 C6AD 4752
4A8A 4C34 CD82 4001
#STEP0_D22
D1D1 481C D034 474F
4802 CF00 BC0E 3FB8
CE0F C822 C552 3C25
CA8E 4B6D 45FB CC8D
#STEP0_D32
D1DB 5115 493D 4888
4C59 486F 40A6 4AAC
D13A C382 CFA3 47A9
49C7 CEC1 BF7A D037
#STEP1_D23
48F5 47C7 C93F 4E0F
C46F 4EAE 4843 497E
45B9 4FBB C572 C88E
4E21 CD82 D207 C5E2
#STEP1_D33
45DD 42B9 CF1A CD95
3E8B ADB4 5197 4CEC
CAC4 510F C6AD 4A4A
CB4C C9B6 C1E6 C98F

#SET 3 results
#STEP0_D00
C54E C4B8 CDA2 C840
4FE7 CB96 4F47 45D6
D0E2 4D44 4ABC 46D1
C30C C03B BA0A 4807
#STEP0_D10
400A CB27 4F34 4094
4996 CE86 487C D216
4F41 4FEE 4D06 4E3A
4E95 4A03 4DAB C819
#STEP1_D01
CF89 C8B3 C980 4A89
485E 494C 4604 CE5E
4AF2 CCA6 D168 C9A2
4C79 51CB C54C CCCB
#STEP1_D11
D007 4D3A 4CC9 BEC8
4E59 32E8 479B 4F1C
CD72 4B2A CCEE CD37
CC63 4E09 4CF0 4D6F
#STEP0_D20
C57D 4841 4820 5054
505C C7C4 4CE8 D13B
C918 50D3 5182 CDA0
CD3B CB44 4961 474D
#STEP0_D30
CFF4 5066 4F36 45D0
CDF5 BD63 C56B 4647
C897 5221 4268 4F1B
C544 49AB D18C 47E6
#STEP1_D21
C621 BF90 C578 CCDE
3EBC 481F C7F5 3839
4D1C 4C78 C968 50B2
3A64 BA4A 4F1B 4AE8
#STEP1_D31
4CE6 5255 501A 5009
38E5 CEA9 45A2 C3EC
CD36 CCC0 CB54 CB9C
CAD3 4FA7 4BA7 420E
#STEP0_D02
517A CE2F 4C97 CE61
4FCC 38D4 D072 4A2B
CB8A 4EE4 4451 4F47
4E7E 441A 466D 4650
#STEP0_D12
CAEE 46D3 CD8E 4760
4C21 C79C 41D6 46A3
CEEE 3BA1 C8F9 C99C
D154 CA43 BF4E CFD6
#STEP1_D03
CB1B CC40 5183 CA46
5062 C910 C035 5051
CC3A 4A7C 4E75 CDF5
4B2F CA31 C82B CD31
#STEP1_D13
4C1C D1D9 CC93 CA32
B89D CC12 4505 C744
B522 5321 C765 430C
48BA 50BE CF25 B741
#STEP0_D22
D193 49D9 CF3D 4A80
BCC1 CE43 C782 45FA
D191 CEFE CB72 CCE3
3FD0 4C29 4DA4 CB45
#STEP0_D32
D316 5244 BD96 4846
4A74 4CC6 C470 4DC8
D290 CCF7 D099 C898
4BB1 CC58 C574 CF0A
#STEP1_D23
4B12 3C69 C4DE 4ED9
C411 4DE3 378E 4CDD
B82A 52D6 C0BA CCDF
4FC7 CF07 CF08 C9FD
#STEP1_D33
3CCD 4A39 D309 C9F3
405F C861 4F5D 5019
CCE4 5351 C2A2 3D3E
CC14 CB8E CC81 C48E

#FINAL_16x16_RESULT
C54E C4B8 CDA2 C840 CF89 C8B3 C980 4A89 517A CE2F 4C97 CE61 CB1B CC40 5183 CA46
4FE7 CB96 4F47 45D6 485E 494C 4604 CE5E 4FCC 38D4 D072 4A2B 5062 C910 C035 5051
D0E2 4D44 4ABC 46D1 4AF2 CCA6 D168 C9A2 CB8A 4EE4 4451 4F47 CC3A 4A7C 4E75 CDF5
C30C C03B BA0A 4807 4C79 51CB C54C CCCB 4E7E 441A 466D 4650 4B2F CA31 C82B CD31
400A CB27 4F34 4094 D007 4D3A 4CC9 BEC8 CAEE 46D3 CD8E 4760 4C1C D1D9 CC93 CA32
4996 CE86 487C D216 4E59 32E8 479B 4F1C 4C21 C79C 41D6 46A3 B89D CC12 4505 C744
4F41 4FEE 4D06 4E3A CD72 4B2A CCEE CD37 CEEE 3BA1 C8F9 C99C B522 5321 C765 430C
4E95 4A03 4DAB C819 CC63 4E09 4CF0 4D6F D154 CA43 BF4E CFD6 48BA 50BE CF25 B741
C57D 4841 4820 5054 C621 BF90 C578 CCDE D193 49D9 CF3D 4A80 4B12 3C69 C4DE 4ED9
505C C7C4 4CE8 D13B 3EBC 481F C7F5 3839 BCC1 CE43 C782 45FA C411 4DE3 378E 4CDD
C918 50D3 5182 CDA0 4D1C 4C78 C968 50B2 D191 CEFE CB72 CCE3 B82A 52D6 C0BA CCDF
CD3B CB44 4961 474D 3A64 BA4A 4F1B 4AE8 3FD0 4C29 4DA4 CB45 4FC7 CF07 CF08 C9FD
CFF4 5066 4F36 45D0 4CE6 5255 501A 5009 D316 5244 BD96 4846 3CCD 4A39 D309 C9F3
CDF5 BD63 C56B 4647 38E5 CEA9 45A2 C3EC 4A74 4CC6 C470 4DC8 405F C861 4F5D 5019
C897 5221 4268 4F1B CD36 CCC0 CB54 CB9C D290 CCF7 D099 C898 CCE4 5351 C2A2 3D3E
C544 49AB D18C 47E6 CAD3 4FA7 4BA7 420E 4BB1 CC58 C574 CF0A CC14 CB8E CC81 C48E

