#SET 0 results
#STEP0_D00
443EA38B C488DDCA C31156D8 C3D8CBD7
448ADAC4 C44C730A C1B1EC6E C396D878
C3EAC9D9 43A37562 439B84F8 C31F73C8
42ECA199 42ED75FD C43AAB1E 43FCB9D8
#STEP0_D10
C3327F29 C3817AA8 C07D1ACF C34A2A03
C2AA6C8A C43CF9A2 43411B83 C4292128
4499AB8C 441AA060 C446E8EC 4489A44E
42F9D336 444AAA87 C33B64AE 4425390B
#STEP1_D01
428FACF1 C3FAAAE2 4314FDF6 4266973C
442AC4BA C424AF02 C3934858 C3660BE3
441859EC 4386F551 C2A0AAE9 42C9CDF0
C21559E6 44B751B1 C483FF0F C48E7ABA
#STEP1_D11
425D33FF 43BB1AB3 4255C829 4219C405
443169DA 43491627 43677C89 438453B6
C40E3411 C356AF18 C48BE035 C49178B6
C4297821 C368AE52 C33B9399 C36CDAB2
#STEP0_D20
C28958F1 4491BB51 42B435D0 441FBD3F
43D634A7 4356A785 C3B3B5CA 43CACBCA
C4F2B264 44A4208C 4456EB4E C2DA6826
C40DA246 C3C0C777 445CF6BA C445B941
#STEP0_D30
C4C98761 44A900B0 4418BB21 4334EB2A
C3B5B559 438C16CC 445A6163 C3D6DECF
C481C543 449D3FFC 413DBE73 441D9F66
C2E28027 4106DBB0 C437450A 43F47970
#STEP1_D21
C3E75132 C4134EC6 C2B6267C 418C0C1A
C2E646F0 43673B63 C4150EDC C417F7AD
4380FA71 4418DB70 4411A5A3 445A9AF1
4319CE69 C4894A8A 44AA3258 44AAC218
#STEP1_D31
BF19AE6E 440860E8 43BB3AEB 440FC211
4442993F C472B4B4 440A528B 444E6D4E
C465AD89 43C6E7B4 4327F9CA 42B047B1
C496872B 44582F75 C34FEF8D C3FDC9E2
#STEP0_D02
4489365E 42030D0D 42D150D4 C379AACF
44B05687 4449A63F 442FF44A 43F50044
4349D49D 440D213E 43C79B41 440D2904
44687B91 42ED2B30 430F437E 4398EF45
#STEP0_D12
43F4EF17 C284E71C C1B11F45 C2A6BECE
44B3D22C 43F1798A 4402E5B0 4393D55B
C430E206 C0B93A95 C313A595 4222A291
C4C03D2F C3DB861E C3FE2F7C C387D0E0
#STEP1_D03
C3214A88 C463E84F C3E9F94E 42A40778
42FEF274 C3AC1005 44269D63 43DECBF4
43AADE0E 4342BEC9 444BEFCB C388F84A
C3F6ADF9 C30ECA7B 4434354D C474E763
#STEP1_D13
C24F4E80 C409B369 C3110A42 C40DE512
