#SET 0 results
#STEP0_D00
FFFFE090 0000591A 00003ACD FFFFDEF0
0000326A FFFFE2C5 000026D6 FFFFE29D
FFFFF30E 00004777 00005399 FFFFDCBF
FFFFEF9C 00001ACE 00000F09 FFFFE4CE
#STEP0_D10
00001C19 FFFFFEE4 00003DFC FFFFD849
00001143 FFFFBE73 FFFFAB77 00002C54
FFFFF0BA 00005BFD 00003A14 FFFFEB3A
00000A5D FFFFE6A2 FFFFF40C FFFFFDCE
#STEP1_D01
FFFFFF5E 0000289F FFFFF52B FFFFB70E
000022A5 FFFFD376 00002D6E 00001DC0
00002327 00004779 00000B38 FFFFB98C
000043DB 0000106D FFFFC4F8 FFFFE0FF
#STEP1_D11
000022E0 0000015C 00000A9F FFFFF6EF
FFFFEC97 FFFFCC64 FFFFFEFC 000047D3
00001524 00003E2E FFFFF1B0 FFFFC5AC
000001EA FFFFED1A 00000C62 000007EC
#STEP0_D20
FFFFFDFC 00001021 00000498 FFFFFD44
FFFFF7A5 00001787 FFFFAAC6 00001AE9
00000A0A FFFFDD03 FFFFD440 000015B9
00002A7B FFFFC894 0000240F FFFFF7F6
#STEP0_D30
000005F8 00000A2D 0000231C FFFFE489
FFFFD07E 00003444 FFFFFB62 FFFFFE86
000026AA FFFFC416 00000D6F 00000109
FFFFD873 000031A5 FFFFF74B 00000FEA
#STEP1_D21
000011D5 FFFFF5E1 FFFFEED2 FFFFFD7C
FFFFEDF7 000026D7 FFFF9FAD FFFFF7D0
00001FF0 FFFFE1F1 FFFFCF9A 00002D61
00004F31 FFFFD202 00001228 000035AA
#STEP1_D31
0000514B 00000188 000003A3 00000B3A
FFFFCE60 000010ED FFFFFAC4 FFFFC3A3
00003C5B FFFFD246 0000157A 00002A29
FFFFB55D 000023EF FFFFFF8F FFFFDBD6
#STEP0_D02
FFFFCB84 FFFFEC6D 0000034D 000004E4
000038AB FFFFF2F3 FFFFE18A FFFFC5FB
00002194 00000484 00001EA5 FFFFCF55
00003FA2 00001226 00001DC1 FFFFC967
#STEP0_D12
00002CB8 00000DA2 FFFFF1FE FFFFC07D
FFFFFF79 00000474 FFFFFBC9 00001A16
FFFFFCA0 00000517 00000DAA FFFFDF0D
0000010D FFFFF98F FFFFEEA3 0000060F
#STEP1_D03
FFFFE145 0000180D FFFFF182 00003797
FFFFFE50 FFFFE0FA FFFFE638 00000BDF
FFFFD458 00000EFA FFFFB8F5 000047E8
FFFFDE98 0000182E FFFF8BBB FFFFF061
#STEP1_D13
FFFFF54C 00000EEE FFFFDC1B 00003460
000036E6 FFFFFAD4 000038EF FFFFBDB3
FFFFD9D1 000003AC FFFFB99B 000015DF
FFFFFD77 FFFFFA1F 00001127 00000BC6
#STEP0_D22
000010E5 00000836 FFFFFD79 FFFFFBDB
00001CF2 00002588 0000345F 000025AD
00003C7D 00000481 00001A43 00000221
00005920 00000229 FFFFC9AB FFFFBA75
#STEP0_D32
00006DE1 00001B68 000007A7 FFFFBD00
FFFFA724 FFFFF6CE 000015F7 00002C7A
000043ED FFFFF76B FFFFDF21 FFFFCF10
FFFF90C2 FFFFF824 000023EF 00005425
#STEP1_D23
FFFFF72F 00002274 FFFFF005 00000413
00001655 FFFFF062 FFFFF2AE FFFF8BC6
FFFFFE87 00001A31 FFFFD5C2 FFFFB916
FFFFFE2A 000003AA FFFFD557 FFFFFD2E
#STEP1_D33
FFFFDDC2 00000057 FFFF9639 000005AF
00001751 00001AB8 000021BE 00001DED
FFFFFCFF 00000258 FFFFF606 FFFFFAC9
000006E3 FFFFF0B1 00005389 00000E8F

#SET 1 results
#STEP0_D00
00000B40 00006403 FFFFE34E FFFFD433
FFFFFF07 00000BD6 FFFFF851 FFFFBC70
000004E3 00002112 00002436 00001073
00002A2B 00000ACC 000020F6 FFFFBF0A
#STEP0_D10
00004333 000010D2 000064A3 FFFFBFA9
00004F82 FFFFA1C4 FFFF7758 000015DE
FFFFEB23 0000212E 000094C3 FFFFFDE2
000031DA 0000105B FFFFF43B FFFF726A
#STEP1_D01
000023B8 FFFFEA7F 00004396 FFFF9217
0000312A FFFFAC8D 000074AC FFFFDCE4
00006A9D 0000022C 00002185 FFFF748A
00003CFB 00002A96 FFFFA0CC 00002072
#STEP1_D11
FFFFDB1D 00004876 FFFFE938 00005C77
00002BED FFFF964D 0000144B 00003365
00002314 00006605 FFFF812D FFFFE40C
FFFFDD6A 0000143D 000015E7 00005620
#STEP0_D20
00002109 00002413 00001FE9 FFFFF546
FFFFBCC9 FFFFF6F8 00000A6A 00002D79
00006588 FFFFC2E1 FFFFB294 00000C23
FFFFD50D FFFFBA75 000042F3 0000056C
#STEP0_D30
FFFFB000 00004EF0 0000146F FFFFA5C3
FFFFCD8B 000005F7 00002D99 00002AFE
FFFFD48F FFFFE7C8 000013C9 FFFFEA5F
FFFF9EBF 00002E6B 00003D44 00000991
#STEP1_D21
FFFFCC69 0000334C FFFFDA3E 000055A5
FFFFEA9F 0000533B FFFF4154 FFFFFD81
00003810 FFFFD033 FFFFD114 00005029
00007409 FFFFBF88 FFFFFD0F FFFFEBFD
#STEP1_D31
00003510 000001CC 0000410F FFFFE2DD
FFFFDF5C 00001EC0 FFFFB69B FFFFC849
00003258 FFFFD0DD 00002F2D FFFFFC2E
FFFFA167 00004DFB FFFFC705 FFFFE4A4
#STEP0_D02
FFFFDDE1 FFFFB7F2 0000464E FFFFF96B
00002859 FFFFF61C FFFFDA7B FFFF7D3C
00001611 FFFFE688 0000572C FFFFC8B7
00002CD3 FFFFF544 0000264D FFFFE5A3
#STEP0_D12
000057B4 00001340 FFFFDE4A FFFFFBDB
FFFFD8E6 FFFFC506 000038E2 00000EDE
FFFFBC25 00001BE7 FFFFE577 FFFFEF1B
FFFFD882 FFFFD7CB FFFFDA68 FFFFEB59
#STEP1_D03
FFFFD7C1 00000799 00000EB4 00000F4E
FFFFF2D7 00001A61 00001842 00000E42
FFFFAE66 00001E5B FFFFC826 00003FF0
0000229B FFFFDCF9 FFFF58E2 000008A3
#STEP1_D13
00001768 FFFFCC56 FFFFBA92 00001DB2
000060C6 FFFFDDA7 0000268A FFFFD0C5
0000030D 00000395 FFFF788E 00006593
00007CAB FFFFC65C FFFFE956 0000384E
#STEP0_D22
00004A7E 00000F86 FFFFF1A9 000039C1
FFFFE3C4 00005BD6 FFFFEDC6 00001A3F
0000409D FFFFC87B 0000578D 00002A43
0000180A 00002A59 FFFF9CC2 FFFF7841
#STEP0_D32
00006267 00003DEA FFFFD366 FFFF6B6E
FFFF8E79 000006EA 00000942 000042A4
0000301C 00001EFD FFFFAEDF FFFF8FE4
FFFF6B65 00002833 FFFFE1B3 00004022
#STEP1_D23
000002C6 FFFFE605 FFFFDBF2 FFFFDC83
000023BE 00001ABA FFFFCFD0 FFFFD674
00002591 FFFFD217 FFFFB458 FFFFACF4
FFFFED23 00005C50 FFFFE403 00003B8A
#STEP1_D33
FFFFDAB3 00004651 FFFFCAC8 00000EF9
00001393 00001E65 0000020D 00003E4D
FFFFEC02 00004977 00001BC0 00000E6F
000014D0 0000169D 000042FD 000042C8

#SET 2 results
#STEP0_D00
000025CB 0000352B 00000E1A FFFF5C5C
FFFFFE01 FFFFE595 FFFFD25C FFFFC5C5
00005987 00004EBD 0000359B 000021C4
000024D6 FFFFC562 00001C4B FFFF87BE
#STEP0_D10
00002C85 FFFFEB0D 000070C7 FFFF92AF
00006B1F FFFF8912 FFFF48ED 00003667
00001B18 FFFFEE85 000055A3 00002913
00005E5F 00001689 FFFFEBE6 FFFF8481
#STEP1_D01
000010A3 000039EF 00000617 FFFFC423
000047F3 FFFFB1A6 00005AC4 FFFFAE02
00005BF4 000019A7 0000258D FFFF80B2
00005F14 00004637 FFFFA67A 00003CDB
#STEP1_D11
FFFFEB20 000051F4 FFFFFC81 00008642
00004419 FFFF9C9E FFFFF9F6 FFFFF53F
0000611C 00006B6B FFFF8FED FFFFB29D
FFFFE712 00001DDC 00001CD8 00004FC0
#STEP0_D20
FFFFC08F 00000E21 000033CA FFFFCB5F
FFFF7621 FFFFB755 FFFFE6C6 000027CF
FFFFEB48 FFFFFE4B FFFFF735 FFFFEBC3
FFFF9CAE FFFFE36C 00005A32 0000099D
#STEP0_D30
00000399 000066E0 00000DF3 FFFFB7B2
FFFFE768 FFFFF120 00006B2C FFFFAFB9
000040A5 0000150C 00003A63 FFFFCB65
FFFF1A6F 00001239 00004422 FFFFEAA4
#STEP1_D21
FFFFC4E1 00001B5D FFFFE539 0000775E
00000FB8 00003C95 FFFF491F FFFFE888
FFFFF5C5 FFFF9F1C FFFFE022 00008D7D
00004CA2 FFFFA291 FFFFF3BB FFFFEE38
#STEP1_D31
00002985 0000234C 00001B7E FFFFC34D
FFFFB675 00006D79 FFFF73C3 000004B8
00000484 0000136F FFFFF41F 0000069A
FFFF9AE8 000023DD FFFFCB9E FFFFF11B
#STEP0_D02
FFFFF3B0 FFFFC94C 00002CDD FFFFF9AB
0000574D FFFFE2BF FFFFB6E8 FFFF85A1
000027C3 FFFFB623 00004F55 FFFFA68A
00001530 000005FC 00004B5D 0000142A
#STEP0_D12
0000287E 000033EB 00000EF2 00002057
00001B0D FFFF97BC 000008BF 00000AD5
FFFFDF96 FFFFE1DC FFFFE820 00000BD7
FFFFE625 FFFFB719 FFFFD9EF FFFFE57A
#STEP1_D03
00001030 00005A52 00003907 00004405
FFFFD679 FFFFFED8 FFFFF1DD 00002601
FFFFAE68 000024F0 FFFFAD23 000056EF
00001435 00000F56 FFFF5F01 00001A81
#STEP1_D13
00001AAD FFFFFB9D FFFFD87B 000016F0
0000377B FFFFB23B FFFFE6B5 FFFFF1FD
FFFFAF03 FFFFE79F FFFF1EF2 00008800
000067C2 FFFFC260 FFFFC945 00004898
#STEP0_D22
00000DFA 00005C90 000016D4 000058A8
FFFFD38C 00007D03 000000F6 00004A7B
FFFFE80B 000033A3 000078C7 00001ECA
00000AF9 00005108 FFFF8D2D FFFF61D6
#STEP0_D32
0000AC6C FFFFFE28 FFFF95F7 FFFF40CE
FFFFA19C 00001ED7 FFFFE873 00003195
000077D6 FFFFE819 FFFF6895 FFFF4E92
FFFF34B9 0000824F FFFFFAFA 0000628C
#STEP1_D23
000024C3 FFFFFFAF 000024AC FFFFB108
00000785 00001103 FFFFD14D FFFFC760
000083EB FFFFE652 00003766 FFFF57EB
000019E9 00004AAD 000014FF 000016EC
#STEP1_D33
FFFFD4E4 00003220 FFFF9779 00003E96
00006391 00007362 00003F03 00006C07
00001760 00005F4B 00000DBA 00004AAB
00003543 00001A02 00008EF5 00000B62

#SET 3 results
#STEP0_D00
FFFFDE76 00004F98 000024AF FFFF868E
00002340 FFFFE101 FFFFC1DF FFFFCA64
FFFFF88E 00008CE2 000008A4 FFFFF2AA
FFFFE227 FFFFB02D 0000743E FFFFA808
#STEP0_D10
00003A7D FFFFD3AC 0000827E FFFF7B0E
00007A90 FFFF9121 FFFF49C3 00007A0F
FFFFF26C FFFFEC3A 00006D3E 00001450
000055BF FFFFDE90 0000472F FFFF875C
#STEP1_D01
FFFFDCE2 000035B6 000033DA FFFFF794
0000684A FFFF9F13 00003A24 FFFF900A
00000FD3 000094BB 0000682F FFFFC30E
00001E25 0000487C FFFFFC1B 00008026
#STEP1_D11
FFFFF077 00004AEA FFFFF8D5 00007F06
00005E5F FFFF434F FFFFD0E4 FFFFDFD9
0000374B 00009FBF FFFFC609 FFFFDA4D
FFFFCBE7 000020E6 00005A1E 00006F22
#STEP0_D20
FFFFFD52 FFFFC15E 00008925 FFFFE91D
FFFF5188 FFFFC983 FFFFD49A FFFFFB92
FFFFC9EF 00001B32 FFFFF32C 00001D83
FFFF9DF1 FFFFE547 00004F02 FFFFF3E3
#STEP0_D30
FFFFE4D1 000053DD 00003F6C FFFFB827
FFFFFDCA 00001B29 0000158B FFFF9B0C
000048A7 FFFFEFAB 00006D0C FFFFCA46
FFFF491C 00002845 FFFFFCEE FFFFD79B
#STEP1_D21
FFFFE7A6 FFFFCD05 FFFFDDCD 00005D70
FFFFEFBA 00007AC4 FFFF647A 000001F5
FFFFE57A FFFF8754 FFFFE6F0 00009FCD
00004EA2 FFFFA4D0 FFFFE89D FFFFE89E
#STEP1_D31
00000BC2 00000E83 00003839 FFFFDE8C
FFFFD66C 00007C9F FFFF3BAD FFFFE102
FFFFFFA9 00000A1E 00000AA8 00000DD7
FFFFCB4A 00001E60 FFFF8857 FFFFBED6
#STEP0_D02
FFFFD793 FFFFD153 000063A6 FFFFF638
000060E7 FFFFE6A5 FFFFB127 FFFF8A12
00002C76 FFFF9D03 00003644 FFFFD58D
FFFFC651 000008E1 00006C84 FFFFCFED
#STEP0_D12
00003780 00003035 FFFFFEBF 000018F8
0000250F FFFFB18A 00004C5B 00001367
FFFFBF82 FFFFD586 FFFFD555 FFFFF64C
FFFF9995 FFFFB3F5 FFFFCE12 FFFF8DCD
#STEP1_D03
000030E0 000016C0 00006AB1 000031CC
FFFFE0EC 00001363 FFFFD275 00001B3C
FFFFA401 FFFFF727 FFFFD936 00004A2C
00001CED FFFFA6E8 FFFFC577 00001926
#STEP1_D13
FFFFF2BD 000023B5 FFFFD43B 00003F24
00006706 FFFFB98A FFFFC719 FFFFDFE6
FFFF9FF7 FFFFB897 FFFF547C 00008A8C
00005698 FFFF7D2A 000019BD 000054D4
#STEP0_D22
FFFFDDB7 00006A82 00001D39 0000041D
FFFFE4A3 00006C80 FFFFE498 00006261
FFFFDAEE 00004093 0000ACE0 00002837
00002B33 00004D56 FFFF84BB FFFF76CE
#STEP0_D32
0000AAE6 0000003F FFFFAA54 FFFF2E67
FFFFE3A2 00001B9B FFFFDA78 00007ABA
00005674 FFFFE782 FFFF5FF2 FFFF1F37
FFFF73D4 000081DE FFFFE90C 00009C26
#STEP1_D23
00001DD6 FFFFF754 00003783 FFFFC389
FFFFE655 00001A15 FFFFDF25 FFFFDB13
0000B560 FFFFB9DD 000041E1 FFFF3540
FFFFFD7A 000077BA 000002AB 0000344F
#STEP1_D33
FFFFB271 00003A1D FFFFB816 00006E34
0000691D 0000B5CE FFFFF499 00006151
00000691 00004BA4 00002F05 00005A8F
00003423 000068FC 00003E4B 00000957

#FINAL_16x16_RESULT
FFFFDE76 00004F98 000024AF FFFF868E FFFFDCE2 000035B6 000033DA FFFFF794 FFFFD793 FFFFD153 000063A6 FFFFF638 000030E0 000016C0 00006AB1 000031CC
00002340 FFFFE101 FFFFC1DF FFFFCA64 0000684A FFFF9F13 00003A24 FFFF900A 000060E7 FFFFE6A5 FFFFB127 FFFF8A12 FFFFE0EC 00001363 FFFFD275 00001B3C
FFFFF88E 00008CE2 000008A4 FFFFF2AA 00000FD3 000094BB 0000682F FFFFC30E 00002C76 FFFF9D03 00003644 FFFFD58D FFFFA401 FFFFF727 FFFFD936 00004A2C
FFFFE227 FFFFB02D 0000743E FFFFA808 00001E25 0000487C FFFFFC1B 00008026 FFFFC651 000008E1 00006C84 FFFFCFED 00001CED FFFFA6E8 FFFFC577 00001926
00003A7D FFFFD3AC 0000827E FFFF7B0E FFFFF077 00004AEA FFFFF8D5 00007F06 00003780 00003035 FFFFFEBF 000018F8 FFFFF2BD 000023B5 FFFFD43B 00003F24
00007A90 FFFF9121 FFFF49C3 00007A0F 00005E5F FFFF434F FFFFD0E4 FFFFDFD9 0000250F FFFFB18A 00004C5B 00001367 00006706 FFFFB98A FFFFC719 FFFFDFE6
FFFFF26C FFFFEC3A 00006D3E 00001450 0000374B 00009FBF FFFFC609 FFFFDA4D FFFFBF82 FFFFD586 FFFFD555 FFFFF64C FFFF9FF7 FFFFB897 FFFF547C 00008A8C
000055BF FFFFDE90 0000472F FFFF875C FFFFCBE7 000020E6 00005A1E 00006F22 FFFF9995 FFFFB3F5 FFFFCE12 FFFF8DCD 00005698 FFFF7D2A 000019BD 000054D4
FFFFFD52 FFFFC15E 00008925 FFFFE91D FFFFE7A6 FFFFCD05 FFFFDDCD 00005D70 FFFFDDB7 00006A82 00001D39 0000041D 00001DD6 FFFFF754 00003783 FFFFC389
FFFF5188 FFFFC983 FFFFD49A FFFFFB92 FFFFEFBA 00007AC4 FFFF647A 000001F5 FFFFE4A3 00006C80 FFFFE498 00006261 FFFFE655 00001A15 FFFFDF25 FFFFDB13
FFFFC9EF 00001B32 FFFFF32C 00001D83 FFFFE57A FFFF8754 FFFFE6F0 00009FCD FFFFDAEE 00004093 0000ACE0 00002837 0000B560 FFFFB9DD 000041E1 FFFF3540
FFFF9DF1 FFFFE547 00004F02 FFFFF3E3 00004EA2 FFFFA4D0 FFFFE89D FFFFE89E 00002B33 00004D56 FFFF84BB FFFF76CE FFFFFD7A 000077BA 000002AB 0000344F
FFFFE4D1 000053DD 00003F6C FFFFB827 00000BC2 00000E83 00003839 FFFFDE8C 0000AAE6 0000003F FFFFAA54 FFFF2E67 FFFFB271 00003A1D FFFFB816 00006E34
FFFFFDCA 00001B29 0000158B FFFF9B0C FFFFD66C 00007C9F FFFF3BAD FFFFE102 FFFFE3A2 00001B9B FFFFDA78 00007ABA 0000691D 0000B5CE FFFFF499 00006151
000048A7 FFFFEFAB 00006D0C FFFFCA46 FFFFFFA9 00000A1E 00000AA8 00000DD7 00005674 FFFFE782 FFFF5FF2 FFFF1F37 00000691 00004BA4 00002F05 00005A8F
FFFF491C 00002845 FFFFFCEE FFFFD79B FFFFCB4A 00001E60 FFFF8857 FFFFBED6 FFFF73D4 000081DE FFFFE90C 00009C26 00003423 000068FC 00003E4B 00000957

