#SET 0 results
#STEP0_D00
0056 003B FF20 0149
FFF7 FF33 FEBE 0041
002F FE89 0040 FF5F
FF9E FF5D 005C FF5C
#STEP0_D10
0032 FE90 FF7E 0131
0106 FF04 FF5B 00B2
007F FF87 00B9 FFBC
FE7E 0010 FFBC 00D2
#STEP1_D01
00B2 FE8C FF2F 0098
FFA7 01D9 FF46 FF97
0096 00C2 0049 005F
FF74 FF5B 005C 0087
#STEP1_D11
00BA 001E FF54 FF81
FFB5 0090 FFFA 00D5
FF76 0131 FF70 00F7
FF9F FFFC 00CB FF00
#STEP0_D20
FF71 FE7C FE9E 00B2
01D2 FFEB FE95 0150
00AE FEC3 0025 FEFA
0044 00B8 009B FF12
#STEP0_D30
FFD7 FED2 0110 00AA
FDCE 024A 00B3 0016
FEE6 00A9 FFF9 00C5
FF1A FFDC 0110 FFC1
#STEP1_D21
00B9 FFD6 009C FF84
005F 000F 002C FF02
00BE 00D4 00CF 0056
007B FFAD FF15 FF5B
#STEP1_D31
FF52 0024 FFEE 00E5
FF4A FFF9 003B 004D
FFA7 FF90 FF8B 000E
FF12 0066 00CB 00ED
#STEP0_D02
00C4 0035 0227 FF58
FF1E FF5F FFE6 0142
005D FF4E FE2E FFEA
FFAA FF36 FE65 004F
#STEP0_D12
FF60 FF6C 00EE 00B9
016C FE04 0124 0234
01DC 00F1 FF30 0146
FF99 004B FEE0 FF7F
#STEP1_D03
FF78 00D7 002E FF68
FFB5 0080 FF01 003D
FFD1 005C FEB3 0081
00F9 0046 00B3 0076
#STEP1_D13
FF76 006F FFD3 0147
FFA2 FEF5 FFD8 FFF6
0042 FEE8 FF39 0089
FE89 015E 011E FEA3
#STEP0_D22
FF96 0015 0031 013F
0054 FFF3 FF9A FF66
0024 FF50 FED1 00AE
0143 005A FFD6 FED0
#STEP0_D32
FFB4 FE9B 0055 008A
FFF5 FFDA 0005 FF98
0038 FFB5 004B 00BC
FFCF FF7A 002E FFB5
#STEP1_D23
FF14 FF26 FF5E FFA9
FF48 FF16 FEE9 0025
FFBE FFFC FEC0 0027
001D 009D FFE3 00D7
#STEP1_D33
00A9 FF0C 0053 006B
00AE FFB1 00C2 FEC5
0050 0098 FFC8 FF6A
FFA3 FF73 00FE 00BE

#SET 1 results
#STEP0_D00
011B 00E2 FF56 019A
FF8B FEB2 FE95 0031
0012 FEB2 0039 FEF1
FFC2 FFA7 0016 FF9C
#STEP0_D10
007F FE9B 0008 00F2
0143 FE9A FFF6 00C5
0033 0015 005D FF0A
FEDD 006B FFCE 00E1
#STEP1_D01
00D0 FDF9 0000 003B
FEF3 0116 FF1D FF6D
0046 0035 0085 FFC6
FEF8 FF15 00C6 008B
#STEP1_D11
0150 FFBF FF69 FEFC
003D 0004 FFCE 0098
FF36 0197 FFA0 0097
FF3E FEF2 0179 FE66
#STEP0_D20
FE9D FD97 FED7 FFE0
0086 FF23 FE3B 0054
01AA FF88 0013 FFF9
00B2 001C 012F FFBC
#STEP0_D30
FFE1 FF98 00C6 0046
FDA6 0305 0023 FF9B
FF79 001A 00C1 0162
FEB8 0031 009F FF3F
#STEP1_D21
00B1 FF77 FFC9 FF0E
FFEA 0072 FF2B FEED
00B1 00A4 01C2 00A7
00CA FECC FF00 FF70
#STEP1_D31
FF5A 00CE 0046 00BF
FE4A FF6C 00F7 FF9F
004D FEC3 FF74 000F
FE8E 0091 00EC 00AD
#STEP0_D02
00A7 FFE6 0201 0060
FFF3 FEB2 004E 00CD
0020 FF8D FE2F 0090
FFF8 FEB0 FEE9 0015
#STEP0_D12
FEEF FFE1 0020 01FD
01B0 FDD8 0068 02EF
00D2 01FF FF62 019C
FFD0 FFD0 FEF8 0059
#STEP1_D03
FF6A 0091 010D FE8F
FF41 00F3 FE7D 00A3
FFCF 0065 FF1B 0012
0029 0048 0063 007A
#STEP1_D13
0088 004D 0102 0086
00A8 FF10 00A5 FFA5
0002 FEAC FF4F 0035
FE3F 0160 01B7 FDFB
#STEP0_D22
FF9B 00A4 FFBF 016A
0020 00CF FFCC FE8E
008D FE45 FF36 00B9
0267 FF2E FF68 FEFE
#STEP0_D32
FE96 FF95 0073 00E6
FF90 0009 00C2 FFFD
0119 FECC FF87 0150
FF4A 0007 009E FFA0
#STEP1_D23
0000 FF93 FF80 FFDF
FF68 FF80 FE0D 00F2
FEDA FFAE FECF FFD4
00A9 00E5 0041 00DE
#STEP1_D33
006D FEA2 0083 0001
FF92 FFA1 00B7 FE4D
014E 00C4 008F FF33
FF13 FF66 00B4 00B6

#SET 2 results
#STEP0_D00
027F 009D FEB5 00BA
0080 FE7F FE9D FFD4
003B FEB6 FFF4 FF90
FFEB FF93 FFDF 0000
#STEP0_D10
005A FDE5 001D 00D4
