#SET 0 results
#STEP0_D00
68CE 8F57 A48E 96F0
70D0 91E7 3EEA A5CA
9628 617E 6037 9D23
BF04 1000 96BE 68DC
#STEP0_D10
1200 A484 5320 9F73
AA8E 94E2 D460 93E0
7135 693E 93F0 7092
6298 6C0C C400 66D8
#STEP1_D01
E478 9BBA BEE2 5988
69E3 96B2 97F9 9CBB
6B50 5E0B B87B C436
2D5C 7207 9156 8EC6
#STEP1_D11
3B5E 6422 B11E EA00
6C83 6027 65FA 61F7
9CC8 0CE0 8F42 8FDD
95CD B7AA 0D60 B8EA
#STEP0_D20
334C 7115 B404 6820
692B 4F24 9E08 633C
8D49 717B 6E1A AC54
99D2 9C85 6C4E 966B
#STEP0_D30
8D53 7163 6B97 61A0
9CD2 5F42 6A66 A409
8F6E 7092 CE25 6944
A36B F944 95D5 637A
#STEP1_D21
9B3E 9A9B 9E38 27FE
A4FE 64A3 947F 9399
65E0 698B 6516 6CB6
3190 8F68 7209 7163
#STEP1_D31
D3B4 6859 6951 6A34
6962 8F68 65BC 69DC
8F8A 5C00 6254 AF14
8F00 7021 9B2F 97CC
#STEP0_D02
70EA D798 C6C4 A674
718E 6A3F 68A8 6A03
3D90 6BAC 5868 65E8
6D9A 5103 41B9 6662
#STEP0_D12
6A94 E858 AB2C AC8F
7194 6960 6B01 6455
96B3 BD5A 9E1D AB5F
8D2E 987F 94E5 9A0A
#STEP1_D03
9DA2 90CF 9FCC 6180
62D4 9E07 6CC8 6A65
5F11 57C9 6D59 9F59
9857 D998 6DB9 90BA
#STEP1_D13
A840 9411 3740 96C6
66D3 926C 6406 90F8
9AB6 7133 6CD3 70B7
B040 70C1 0D80 7012
#STEP0_D22
8CB2 99EE 9B58 56D6
C9C8 5D08 5C7D 651A
8D5D A1ED 9B54 6099
9B20 AC5B BB4C 9988
#STEP0_D32
8E61 3200 B762 3D3C
9BB0 6B29 64C5 6321
8BCC 922C 917A 98DC
9A54 8EAB 8F73 8F91
#STEP1_D23
52FC 7196 6296 708F
9D97 6305 5F4E 5BD1
6B60 6959 5F50 9DE1
65B3 97B9 8FA4 67B8
#STEP1_D33
6726 6AE7 638D C940
6912 661B 64EA 6BEB
30D4 70B1 9617 37D6
9796 9701 8EA3 93A2

#SET 1 results
#STEP0_D00
8FEE A9D8 993C CEC0
72EB 9F62 6729 9428
8E7F 67D3 6C44 962A
1B48 6A34 937A 6A48
#STEP0_D10
9502 9923 6850 9BA6
A472 8FE7 6E96 8E0F
7125 71A0 9288 7063
61B8 7075 9979 6C2A
#STEP1_D01
8F69 62F4 9B91 2A20
71E4 9A96 9159 942C
AC40 985D 9345 9949
601E 740B 93D9 8DEA
#STEP1_D11
93D5 9E7E 95DC BC59
6F78 982B 9685 5E69
96D6 E5B0 8FAB 8D5C
9438 6145 651A A8E5
#STEP0_D20
6C30 648A 9A70 6B2D
7045 6572 6E5C 92CA
8E02 7358 7159 9604
9E56 9DB9 9CD4 6206
#STEP0_D30
8BE0 7126 B030 7076
8E38 6FC2 6927 41C2
9DBC 68B2 67C0 C7C0
9714 5B60 8E4C 706B
#STEP1_D21
6154 A805 604C 6AF6
686E 9A6F 8C50 8E70
6E0C 68F2 B350 6668
5075 D300 756C 7340
#STEP1_D31
959B 7030 71B2 6F00
A980 94EA 4880 6615
94EA 9350 5118 9EAA
8E15 73D7 6135 A6D0
#STEP0_D02
7500 6539 B272 9CB0
75B8 96FB 9BD4 3800
9D15 718D 51C0 7206
7411 9E7D 5808 AEB8
#STEP0_D12
9E08 6C5B A1B8 6DB2
6FE8 56C4 92F9 6F4C
60DA 3CD0 6922 D3F8
8F24 9C11 E0C0 944C
#STEP1_D03
A0DE 8C70 70AE 9C84
6DE2 6D44 713C 70FF
A791 438A 7109 9642
DE40 68C4 7035 913D
#STEP1_D13
939F 8E74 614F 91AA
4378 8FF4 705B 992C
BD30 74EC 68FE 6E76
5200 71CD A56C 6CA5
#STEP0_D22
8ABC 94A8 97DB 9CA2
6A32 91E9 8E82 6C7B
954A 8FF4 8F1B 41EA
CC60 F150 702E 8DFA
#STEP0_D32
8CDE 6E6E 70E0 B54E
6969 6EC8 5BF0 60A0
8986 91FD 91A9 60CE
41F8 8F81 9806 8C9C
#STEP1_D23
