fault_id,format,target_id,target_name,vector_id,bit_id,fault_type
0,FP16,0,R,0,0,bflip
1,FP16,0,R,0,1,bflip
2,FP16,0,R,0,2,bflip
3,FP16,0,R,0,3,bflip
4,FP16,0,R,0,4,bflip
5,FP16,0,R,0,5,bflip
6,FP16,0,R,0,6,bflip
7,FP16,0,R,0,7,bflip
8,FP16,0,R,0,8,bflip
9,FP16,0,R,0,9,bflip
10,FP16,0,R,0,10,bflip
11,FP16,0,R,0,11,bflip
12,FP16,0,R,0,12,bflip
13,FP16,0,R,0,13,bflip
14,FP16,0,R,0,14,bflip
15,FP16,0,R,0,15,bflip
16,FP16,0,R,1,0,bflip
17,FP16,0,R,1,1,bflip
18,FP16,0,R,1,2,bflip
19,FP16,0,R,1,3,bflip
20,FP16,0,R,1,4,bflip
21,FP16,0,R,1,5,bflip
22,FP16,0,R,1,6,bflip
23,FP16,0,R,1,7,bflip
24,FP16,0,R,1,8,bflip
25,FP16,0,R,1,9,bflip
26,FP16,0,R,1,10,bflip
27,FP16,0,R,1,11,bflip
28,FP16,0,R,1,12,bflip
29,FP16,0,R,1,13,bflip
30,FP16,0,R,1,14,bflip
31,FP16,0,R,1,15,bflip
32,FP16,0,R,2,0,bflip
33,FP16,0,R,2,1,bflip
34,FP16,0,R,2,2,bflip
35,FP16,0,R,2,3,bflip
36,FP16,0,R,2,4,bflip
37,FP16,0,R,2,5,bflip
38,FP16,0,R,2,6,bflip
39,FP16,0,R,2,7,bflip
40,FP16,0,R,2,8,bflip
41,FP16,0,R,2,9,bflip
42,FP16,0,R,2,10,bflip
43,FP16,0,R,2,11,bflip
44,FP16,0,R,2,12,bflip
45,FP16,0,R,2,13,bflip
46,FP16,0,R,2,14,bflip
47,FP16,0,R,2,15,bflip
48,FP16,0,R,3,0,bflip
49,FP16,0,R,3,1,bflip
50,FP16,0,R,3,2,bflip
51,FP16,0,R,3,3,bflip
52,FP16,0,R,3,4,bflip
53,FP16,0,R,3,5,bflip
54,FP16,0,R,3,6,bflip
55,FP16,0,R,3,7,bflip
56,FP16,0,R,3,8,bflip
57,FP16,0,R,3,9,bflip
58,FP16,0,R,3,10,bflip
59,FP16,0,R,3,11,bflip
60,FP16,0,R,3,12,bflip
61,FP16,0,R,3,13,bflip
62,FP16,0,R,3,14,bflip
63,FP16,0,R,3,15,bflip
64,FP16,0,R,4,0,bflip
65,FP16,0,R,4,1,bflip
66,FP16,0,R,4,2,bflip
67,FP16,0,R,4,3,bflip
68,FP16,0,R,4,4,bflip
69,FP16,0,R,4,5,bflip
70,FP16,0,R,4,6,bflip
71,FP16,0,R,4,7,bflip
72,FP16,0,R,4,8,bflip
73,FP16,0,R,4,9,bflip
74,FP16,0,R,4,10,bflip
75,FP16,0,R,4,11,bflip
76,FP16,0,R,4,12,bflip
77,FP16,0,R,4,13,bflip
78,FP16,0,R,4,14,bflip
79,FP16,0,R,4,15,bflip
80,FP16,0,R,5,0,bflip
81,FP16,0,R,5,1,bflip
82,FP16,0,R,5,2,bflip
83,FP16,0,R,5,3,bflip
84,FP16,0,R,5,4,bflip
85,FP16,0,R,5,5,bflip
86,FP16,0,R,5,6,bflip
87,FP16,0,R,5,7,bflip
88,FP16,0,R,5,8,bflip
89,FP16,0,R,5,9,bflip
90,FP16,0,R,5,10,bflip
91,FP16,0,R,5,11,bflip
92,FP16,0,R,5,12,bflip
93,FP16,0,R,5,13,bflip
94,FP16,0,R,5,14,bflip
95,FP16,0,R,5,15,bflip
96,FP16,0,R,6,0,bflip
97,FP16,0,R,6,1,bflip
98,FP16,0,R,6,2,bflip
99,FP16,0,R,6,3,bflip
100,FP16,0,R,6,4,bflip
101,FP16,0,R,6,5,bflip
102,FP16,0,R,6,6,bflip
103,FP16,0,R,6,7,bflip
104,FP16,0,R,6,8,bflip
105,FP16,0,R,6,9,bflip
106,FP16,0,R,6,10,bflip
107,FP16,0,R,6,11,bflip
108,FP16,0,R,6,12,bflip
109,FP16,0,R,6,13,bflip
110,FP16,0,R,6,14,bflip
111,FP16,0,R,6,15,bflip
112,FP16,0,R,7,0,bflip
113,FP16,0,R,7,1,bflip
114,FP16,0,R,7,2,bflip
115,FP16,0,R,7,3,bflip
116,FP16,0,R,7,4,bflip
117,FP16,0,R,7,5,bflip
118,FP16,0,R,7,6,bflip
119,FP16,0,R,7,7,bflip
120,FP16,0,R,7,8,bflip
121,FP16,0,R,7,9,bflip
122,FP16,0,R,7,10,bflip
123,FP16,0,R,7,11,bflip
124,FP16,0,R,7,12,bflip
125,FP16,0,R,7,13,bflip
126,FP16,0,R,7,14,bflip
127,FP16,0,R,7,15,bflip
128,FP16,0,R,8,0,bflip
129,FP16,0,R,8,1,bflip
130,FP16,0,R,8,2,bflip
131,FP16,0,R,8,3,bflip
132,FP16,0,R,8,4,bflip
133,FP16,0,R,8,5,bflip
134,FP16,0,R,8,6,bflip
135,FP16,0,R,8,7,bflip
136,FP16,0,R,8,8,bflip
137,FP16,0,R,8,9,bflip
138,FP16,0,R,8,10,bflip
139,FP16,0,R,8,11,bflip
140,FP16,0,R,8,12,bflip
141,FP16,0,R,8,13,bflip
142,FP16,0,R,8,14,bflip
143,FP16,0,R,8,15,bflip
144,FP16,0,R,9,0,bflip
145,FP16,0,R,9,1,bflip
146,FP16,0,R,9,2,bflip
147,FP16,0,R,9,3,bflip
148,FP16,0,R,9,4,bflip
149,FP16,0,R,9,5,bflip
150,FP16,0,R,9,6,bflip
151,FP16,0,R,9,7,bflip
152,FP16,0,R,9,8,bflip
153,FP16,0,R,9,9,bflip
154,FP16,0,R,9,10,bflip
155,FP16,0,R,9,11,bflip
156,FP16,0,R,9,12,bflip
157,FP16,0,R,9,13,bflip
158,FP16,0,R,9,14,bflip
159,FP16,0,R,9,15,bflip
160,FP16,0,R,10,0,bflip
161,FP16,0,R,10,1,bflip
162,FP16,0,R,10,2,bflip
163,FP16,0,R,10,3,bflip
164,FP16,0,R,10,4,bflip
165,FP16,0,R,10,5,bflip
166,FP16,0,R,10,6,bflip
167,FP16,0,R,10,7,bflip
168,FP16,0,R,10,8,bflip
169,FP16,0,R,10,9,bflip
170,FP16,0,R,10,10,bflip
171,FP16,0,R,10,11,bflip
172,FP16,0,R,10,12,bflip
173,FP16,0,R,10,13,bflip
174,FP16,0,R,10,14,bflip
175,FP16,0,R,10,15,bflip
176,FP16,0,R,11,0,bflip
177,FP16,0,R,11,1,bflip
178,FP16,0,R,11,2,bflip
179,FP16,0,R,11,3,bflip
180,FP16,0,R,11,4,bflip
181,FP16,0,R,11,5,bflip
182,FP16,0,R,11,6,bflip
183,FP16,0,R,11,7,bflip
184,FP16,0,R,11,8,bflip
185,FP16,0,R,11,9,bflip
186,FP16,0,R,11,10,bflip
187,FP16,0,R,11,11,bflip
188,FP16,0,R,11,12,bflip
189,FP16,0,R,11,13,bflip
190,FP16,0,R,11,14,bflip
191,FP16,0,R,11,15,bflip
192,FP16,0,R,12,0,bflip
193,FP16,0,R,12,1,bflip
194,FP16,0,R,12,2,bflip
195,FP16,0,R,12,3,bflip
196,FP16,0,R,12,4,bflip
197,FP16,0,R,12,5,bflip
198,FP16,0,R,12,6,bflip
199,FP16,0,R,12,7,bflip
200,FP16,0,R,12,8,bflip
201,FP16,0,R,12,9,bflip
