fault_id,format,target_id,target_name,vector_id,bit_id,golden_hex,faulty_hex,xor_hex,classification
0,FP16,0,R,0,0,3405,3404,0001,SDC
1,FP16,0,R,0,1,3405,3407,0002,SDC
2,FP16,0,R,0,2,3405,3401,0004,SDC
3,FP16,0,R,0,3,3405,340D,0008,SDC
4,FP16,0,R,0,4,3405,3415,0010,SDC
5,FP16,0,R,0,5,3405,3425,0020,SDC
6,FP16,0,R,0,6,3405,3445,0040,SDC
7,FP16,0,R,0,7,3405,3485,0080,SDC
8,FP16,0,R,0,8,3405,3505,0100,SDC
9,FP16,0,R,0,9,3405,3605,0200,SDC
10,FP16,0,R,0,10,3405,3005,0400,SDC
11,FP16,0,R,0,11,3405,3C05,0800,SDC
12,FP16,0,R,0,12,3405,2405,1000,SDC
13,FP16,0,R,0,13,3405,1405,2000,SDC
14,FP16,0,R,0,14,3405,7405,4000,SDC
15,FP16,0,R,0,15,3405,B405,8000,SDC
