#register file ports content
#<portA> <portB>
#FIRST TEST VALUES OF HMMAstep0andstep1 (FP16)
#tg0 A00 submatrix
#thread0
C3D34C62 4A514DBD
#thread1
4F9CCE7E 4C944C2E
#thread2
C25ACDF3 4ED4C822
#thread3
4D2A489B CC5DC33E
#tg4 A10 submatrix
#thread16
CDC449D7 CFE2CCCD
#thread17
49464C97 4C7E4A91
#thread18
4466C142 CE2BCDC3
#thread19
BF664964 4C3D442D
#tg0 B00 submatrix
#thread0
CEFB42FD 48374D3E
#thread1
C8A84C21 4E4A4F88
#thread2
CCE34C74 CF4DC042
#thread3
49DCCD88 4F7B4BD5
#tg4 B01 submatrix
#thread16
CE99C86C 4F64CE1D
#thread17
4A644E8A 4F82CB7E
#thread18
4AF14C76 CB4AC27B
#thread19
4E71CE75 CCC3C1A9
#tg0 C00 submatrix
#thread0
C825C993 CCF8BFCB
#thread1
BE38CDEC 496FCC5F
#thread2
4D53C406 CA014A69
#thread3
4CE04D51 CAC6C734
#tg4 C10 submatrix
#thread16
42DC4850 CA464394
#thread17
C40DCF82 C5DBCC91
#thread18
CC424DA8 CAFFCF11
#thread19
492ECA9B 4C8B434D
#tg0 C01 submatrix
#thread0
459CCE58 4ECDCD45
#thread1
C8E64530 CFA345D2
#thread2
BC884F56 CEAD4C86
#thread3
B8C2BAD5 44974F01
#tg4 C11 submatrix
#thread16
CB75BEC9 3D4BC964
#thread17
CFA7C3D2 4E574D38
#thread18
42EBCDC2 4983CE43
#thread19
491ACB00 4C4C4B44

#SECOND TEST VALUES OF HMMAstep0andstep1 (FP16)
#tg0 A00 submatrix
#thread0
4EA8CE47 CF67CC51
#thread1
C8214305 4CEF4D47
#thread2
4F3FC9DA 3BB6CAB1
#thread3
4EFACBCF CF48CD5E
#tg4 A10 submatrix
#thread16
367BCE0D 45314A37
#thread17
4CDECCCE 4BA64AE5
#thread18
CE05CDE7 C68E4ED7
#thread19
B9D8CA5F 4F4A4936
#tg0 B00 submatrix
#thread0
4FE1C427 4BF54E44
#thread1
4E4C4E41 C9E43CD4
#thread2
492C4C5A CE7DC80B
#thread3
CB9A4BE6 CC254EFD
#tg4 B01 submatrix
#thread16
CE514D11 460BCEEF
#thread17
4D32CDA9 CDB3CA12
#thread18
CD5A4EBC CD8BCAE4
#thread19
CFA9CE27 CD35CF1D
#tg0 C00 submatrix
#thread0
4D4CCE09 CD22CD8C
#thread1
4DFE465C CA12CCDB
#thread2
4F8D4C70 CDB32A12
#thread3
CC53CFC7 49AFCDE4
#tg4 C10 submatrix
#thread16
4ECCCAD5 4311CF9A
#thread17
CE4E484A C52DCDC1
#thread18
46264F76 4CDF4EEE
#thread19
4C8EC02D CE41CFB7
