#Test 1 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
443ABE58 44A5DD2F C1F66220 438DE975
C3E5B9A5 437A221D C4CDA7AF 44DAF740
4268F532 42BF9FA4 C48D203C 4491A2B5
C43A903D C40E4248 43874463 C40A9414
#D20
41C531EF C470347D 44CAFCE7 C4DF2928
432652B6 4483141C C3E0E8BB 43E35B53
C448297E C4B11270 4418125C C47AE27E
43994512 443D85C4 C3881E9E 43A571B7

#Test 2 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
43458F33 434BB47D 44B2BCD9 440A9060
43458F33 434BB47D 44B0D2AD 4408218B
4216F3B2 C3BEA856 C419A9EB C4145DF3
C3897F64 C3AF263A C4B415FE C41A712F
#D20
C4380DE9 BEF7D3B5 C3742B56 447B372C
C4380DE9 BEF7D3B5 C38712FD 4479387A
C3DC19FF C48BC7D2 C4271296 C3913490
C2E284B4 C493B152 C3E0444B C4352B62

#Test 3 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
C487DDE0 C447B16C 438A1488 446D6018
C487DDE0 C447B16C 439D6250 446D9BB0
444A9BF9 C40BD87B 444F89A6 43ACDA92
C45A2D5D C48D322D 437EBF7C 444DDC48
#D20
C444CEAC C37443B7 C4256974 436C776E
C444CEAC C37443B7 C4229C56 4381A16E
43A7708A 41BD6AA6 44816987 430D612D
43D443C1 C386FC00 447C4611 438E2BEF

#Test 4 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
43DD5FFE 446DED83 44CD1742 428E15B0
43DD5FFE 446DED83 44C80242 42FBFED0
44D229C1 C4624043 44911185 44A4C96E
C36AEB1D 44562989 C309A26E 4491CA01
#D20
43A7EEE8 4468CF45 C306E253 44B1E8D7
43A7EEE8 4468CF45 C3193051 44B4B300
43C84DE3 C44BC60E 445088C7 40A936D0
C2AA533F C3E3491C C4A0488A C49E7990

#Test 5 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
C43BC1C4 4447171C 415B4B43 C4E13138
C43BC1C4 4447171C 41D129E2 C4E7D644
C3EE6497 4449018F 443DDE18 C3B24308
43933A81 43B54665 44471640 43C2B465
#D20
430D0973 C448F4EB 3EB897CD C2E3C5D9
430D0973 C448F4EB 42504548 C314AC89
C30753CA 41FB86C0 C4979B13 C33F00EE
415156D8 40B61F74 4417B2FD 4346FAED

#Test 6 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
429798C3 44A22068 C47AFD2E 4379812D
429798C3 44A22068 C477BF2A 4386BF1E
C38CB48F 4484F289 C3BC9233 43F82067
43CE61B2 C4B83F2C 42EE095B 43934A01
#D20
428BB463 C40CCC9A 43D9B241 434E7DBE
428BB463 C40CCC9A 43D7D4AA 436ADBAD
C2D14703 C417DB0B 441BBC20 C396BC03
43DAC850 42B58DF0 C3891A6B C40890AE

#Test 7 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
C497168D C3238A0C 4407D5E7 43D0208D
C497168D C3238A0C 440C8D6E 43D692ED
C46B4BD3 442AB7FF 4291653E C45040DC
44007818 C3C9FD1B C38F8A8C 443BCEE3
#D20
44839B89 43D76E80 C3D1F613 C4577248
44839B89 43D76E80 C3D4146D C45AEAA6
C4A44B04 C3960A34 43E5C3F7 4430C064
449A06EF 4357A8C1 440DDBD3 C314DDD7

#Test 8 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
C4BF5E43 4489D3CF C3312B12 44870707
C4BF5E43 4489D3CF C3572EF2 44853F30
C4B78F9A 44454C24 C3F5F106 445A73AC
43B1B3AE C48E1C92 C412A53C C4AA8B5A
#D20
43F0C4CC 43B8B5D2 C2CC2899 44081A10
43F0C4CC 43B8B5D2 C30C18A2 44010A9B
C29F3D68 C3F9768D C453748C C4428F57
43FA4AFA 4425C5B7 434B737D 44184D12

#Test 9 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
C334EAC0 C460EA0C 446AB55D C3B1DF4C
C334EAC0 C460EA0C 446EA52B C3A74ECD
C37A4A06 C35B6AED 4311FC35 4208DCDE
4395CA47 C10DFF40 C42D97BB C3D3079B
#D20
43F93706 C452BC3E C235BA51 C4845573
43F93706 C452BC3E C219F581 C4802E38
C2F2E31F C3E04457 43D44C36 C385D750
4494FF6B 42C16068 C47D2FCE C403A621

#Test 10 HMMAstep0 related D00 and D20 result submatrices (FP32, FSM wrapper)
#D00
C3CB64BD C3BD7317 4435908E 44236C94
C3CB64BD C3BD7317 4433447B 44280C4F
44021249 435A4AFC 4299C3F1 42601578
C4A2A58E 439D90CF 4206BAA2 C4531268
#D20
42548486 43542B4B C42AC9B1 C451851B
42548486 43542B4B C423CE17 C45AC7A0
422D25E4 C1D12F3C 436D3119 428E1453
40F9BA7B 44019811 C4187FAD C478012C

