#register file ports content for FP32
#<portA> <portB>
#pair00 -> cols 0,1 ; pair01 -> cols 2,3
#Single experiment = 4 HMMA set pairs (step0 + step1)
#For FP32, A/B/C loads are split over two cycles: pair00 then pair01.
#B is written in transposed form for the hardware feed only.
#Only set0 contains external C inputs.
#For sets 1..3 accumulator inputs must be provided by previous computed results inside the TB.

#================ SET 0 ================
#tg0 A00 submatrix pair00
#thread0
418C43F8 C07A5A9A
#thread1
405F944C C1DF5358
#thread2
C1325AD6 C104A636
#thread3
413AE01A C1B8725D
#tg4 A10 submatrix pair00
#thread16
4109F399 405B7613
#thread17
412841CF C0BFB83F
#thread18
C10D80FF C1D31F8D
#thread19
C146B34F 40A23DDF
#tg0 A00 submatrix pair01
#thread0
41B79A26 414A1AD8
#thread1
41A7BF46 4106D308
#thread2
BFF96617 C19EFD9C
#thread3
C199A5A2 C1FC3B03
#tg4 A10 submatrix pair01
#thread16
40728335 C148C14E
#thread17
41A0C748 C1AA8287
#thread18
C1C394BB 41EC7DDA
#thread19
C1A57E0A 41B69626
#tg0 B00_T_for_HMMA pair00
#thread0
41A2154D C1E4AB20
#thread1
C1CA18FE 40BAA99C
#thread2
C1DDEBFF 41390D3B
#thread3
40C16670 C0D9D846
#tg4 B01_T_for_HMMA pair00
#thread16
C1B528C8 C13A608B
#thread17
41A63A63 3E9450D4
#thread18
C14237A1 41C000A6
#thread19
C1B6566B 41B3C786
#tg0 B00_T_for_HMMA pair01
#thread0
3FC2958B 41B713B2
#thread1
C1CBF1A9 C0185FB1
#thread2
41AABB14 C0EB5633
#thread3
C1E56541 410EE9AD
#tg4 B01_T_for_HMMA pair01
#thread16
41D984E0 C16F243D
#thread17
C1CD410B C1B87046
#thread18
41AFE90E BFB53AB8
#thread19
41CE288E C0AA35E8
#tg0 C00 submatrix pair00
#thread0
C1E38C9A C160A765
#thread1
418B5155 C141934E
#thread2
C1B780BE C053FC68
#thread3
C1D4EED6 C1833E05
#tg4 C10 submatrix pair00
#thread16
41D1B0D5 40B26E09
#thread17
C1451587 40C9AE69
#thread18
416DFDCE C075658D
#thread19
41F4B189 C0B517A4
#tg0 C00 submatrix pair01
#thread0
C129D9D1 C1A76D46
#thread1
41402B44 4152560C
#thread2
C0DC02D6 C1D703C8
#thread3
41AFEAD1 410CE40D
#tg4 C10 submatrix pair01
#thread16
41B35727 C1233C2B
#thread17
C1FC4148 C1634E2C
#thread18
4059835F 411DCD06
#thread19
41965D82 C1D49291
