#register file ports content for FP32
#<portA> <portB>
#pair00 -> cols 0,1 ; pair01 -> cols 2,3
#FIRST TEST VALUES OF HMMAstep0andstep1 (FP32)
#tg0 A00 submatrix pair00
#thread0
418C43F8 C07A5A9A
#thread1
C1CFC7FD 41F384C6
#thread2
C1BE67E4 C04B381D
#thread3
41135161 41A54103
#tg4 A10 submatrix pair00
#thread16
413AE01A C1B8725D
#thread17
4192E7C1 4128CEAA
#thread18
C02847EF 408CC82F
#thread19
412C71D3 BFECC7A6
#tg0 A00 submatrix pair01
#thread0
41B79A26 414A1AD8
#thread1
4185B41A 41927705
#thread2
C1044D86 41DA80F1
#thread3
C067C683 C18BA75E
#tg4 A10 submatrix pair01
#thread16
C199A5A2 C1FC3B03
#thread17
415216DF 418FBBB7
#thread18
C1B86C87 C1C55C50
#thread19
40859A82 4187ADEE
#tg0 B00 submatrix pair00
#thread0
405F944C C1DF5358
#thread1
41842414 C114F725
#thread2
418E8848 C19C5851
#thread3
C1B100F8 413B712F
#tg4 B01 submatrix pair00
#thread16
C10D80FF C1D31F8D
#thread17
41D1317D 414C8007
#thread18
418EB870 415E1876
#thread19
C1CEA5D8 41CE21E7
#tg0 B00 submatrix pair01
#thread0
41A7BF46 4106D308
#thread1
41F0FF55 41C9472C
#thread2
C0084F8F C1E9928E
#thread3
417AA2EE 41EF5D70
#tg4 B01 submatrix pair01
#thread16
C1C394BB 41EC7DDA
#thread17
C16FBFC9 41F037E3
#thread18
C04F6A50 C1693982
#thread19
C03523EC C19863D4
#tg0 C00 submatrix pair00
#thread0
C1325AD6 C104A636
#thread1
C1BD7AEE BFC70676
#thread2
C080B67F 41AA54CC
#thread3
41AA1DF5 419C0A13
#tg4 C10 submatrix pair00
#thread16
4109F399 405B7613
#thread17
C1F038A5 C0819A50
#thread18
41B4F13F C1883915
#thread19
C1535C28 4125CD71
#tg0 C00 submatrix pair01
#thread0
BFF96617 C19EFD9C
#thread1
C18BD28A 412DE3B8
#thread2
414D124B C14022F6
#thread3
C0E671BC C158C084
#tg4 C10 submatrix pair01
#thread16
40728335 C148C14E
#thread17
C19221F5 C0BB5556
#thread18
C1E22625 C15FDCE7
#thread19
40699A8C 41915B1B
#tg0 C01 submatrix pair00
#thread0
C1CB0EC4 40B37EFF
#thread1
40A60362 C11CCE29
#thread2
41EAC846 BF90F862
#thread3
