#A00 4 by 4 submatrix
0001 0002 0003 0004
0011 0012 0013 0014
0021 0022 0023 0024
0031 0032 0033 0034

#B00 4 by 4 submatrix
0101 0102 0103 0104
0111 0112 0113 0114
0121 0122 0123 0124
0131 0132 0133 0133

#C00 4 by 4 submatrix
1001 1002 1003 1004
1011 1012 1013 1014
1021 1022 1023 1024
1031 1032 1033 1034

#A02 4 by 4 submatrix
0041 0042 0043 0044
0051 0052 0053 0054
0061 0062 0063 0064
0071 0072 0073 0074

#B00 4 by 5 submatrix
0101 0102 0103 0104
0111 0112 0113 0114
0121 0122 0123 0124
0131 0132 0133 0133

#C02 4 by 4 submatrix
1041 1042 1043 1044
1051 1052 1053 1054
1061 1062 1063 1064
1071 1072 1073 1074
