#register file ports content for FP32
#<portA> <portB>
#For each A/B/C block:
#  pair00 loads columns 0,1 into slots 0,1 (load_pair = 00)
#  pair01 loads columns 2,3 into slots 2,3 (load_pair = 01)
#FIRST TEST VALUES OF HMMAstep0 (FP32)
#A block pair00
#lane0 tg0 row0 cols01
418C43F8 C07A5A9A
#lane1 tg0 row1 cols01
C1CFC7FD 41F384C6
#lane2 tg0 row2 cols01
C1BE67E4 C04B381D
#lane3 tg0 row3 cols01
41135161 41A54103
#lane4 tg4 row0 cols01
413AE01A C1B8725D
#lane5 tg4 row1 cols01
4192E7C1 4128CEAA
#lane6 tg4 row2 cols01
C02847EF 408CC82F
#lane7 tg4 row3 cols01
412C71D3 BFECC7A6
#A block pair01
#lane0 tg0 row0 cols23
41B79A26 414A1AD8
#lane1 tg0 row1 cols23
4185B41A 41927705
#lane2 tg0 row2 cols23
C1044D86 41DA80F1
#lane3 tg0 row3 cols23
C067C683 C18BA75E
#lane4 tg4 row0 cols23
C199A5A2 C1FC3B03
#lane5 tg4 row1 cols23
415216DF 418FBBB7
#lane6 tg4 row2 cols23
C1B86C87 C1C55C50
#lane7 tg4 row3 cols23
40859A82 4187ADEE
#B block pair00
#lane0 tg0 row0 cols01
405F944C C1DF5358
#lane1 tg0 row1 cols01
41842414 C114F725
#lane2 tg0 row2 cols01
418E8848 C19C5851
#lane3 tg0 row3 cols01
C1B100F8 413B712F
#lane4 tg4 row0 cols01
C10D80FF C1D31F8D
#lane5 tg4 row1 cols01
41D1317D 414C8007
#lane6 tg4 row2 cols01
418EB870 415E1876
#lane7 tg4 row3 cols01
C1CEA5D8 41CE21E7
#B block pair01
#lane0 tg0 row0 cols23
41A7BF46 4106D308
#lane1 tg0 row1 cols23
41F0FF55 41C9472C
#lane2 tg0 row2 cols23
C0084F8F C1E9928E
#lane3 tg0 row3 cols23
417AA2EE 41EF5D70
#lane4 tg4 row0 cols23
C1C394BB 41EC7DDA
#lane5 tg4 row1 cols23
C16FBFC9 41F037E3
#lane6 tg4 row2 cols23
C04F6A50 C1693982
#lane7 tg4 row3 cols23
C03523EC C19863D4
#C block pair00
#lane0 tg0 row0 cols01
C1325AD6 C104A636
#lane1 tg0 row1 cols01
C1BD7AEE BFC70676
#lane2 tg0 row2 cols01
C080B67F 41AA54CC
#lane3 tg0 row3 cols01
41AA1DF5 419C0A13
#lane4 tg4 row0 cols01
4109F399 405B7613
#lane5 tg4 row1 cols01
C1F038A5 C0819A50
#lane6 tg4 row2 cols01
41B4F13F C1883915
#lane7 tg4 row3 cols01
C1535C28 4125CD71
#C block pair01
#lane0 tg0 row0 cols23
BFF96617 C19EFD9C
#lane1 tg0 row1 cols23
C18BD28A 412DE3B8
#lane2 tg0 row2 cols23
414D124B C14022F6
#lane3 tg0 row3 cols23
C0E671BC C158C084
#lane4 tg4 row0 cols23
40728335 C148C14E
#lane5 tg4 row1 cols23
C19221F5 C0BB5556
#lane6 tg4 row2 cols23
C1E22625 C15FDCE7
#lane7 tg4 row3 cols23
40699A8C 41915B1B

#SECOND TEST VALUES OF HMMAstep0 (FP32)
#A block pair00
#lane0 tg0 row0 cols01
C1CB0EC4 40B37EFF
#lane1 tg0 row1 cols01
40A60362 C11CCE29
#lane2 tg0 row2 cols01
41EAC846 BF90F862
#lane3 tg0 row3 cols01
BF5A9704 BF1841B1
#lane4 tg4 row0 cols01
C084EBD5 41FC18A6
#lane5 tg4 row1 cols01
41C815F4 41C971D7
#lane6 tg4 row2 cols01
418B4537 41258A88
#lane7 tg4 row3 cols01
417CB66A C1733D8D
#A block pair01
#lane0 tg0 row0 cols23
C1A8A80A 41D9A958
#lane1 tg0 row1 cols23
40BA31E7 C1F4530D
#lane2 tg0 row2 cols23
4190C2AC C1D5A46A
#lane3 tg0 row3 cols23
41E02ACA 4092E628
#lane4 tg4 row0 cols23
41C889EC 417E931A
#lane5 tg4 row1 cols23
3F9A7CD9 C13C7D18
#lane6 tg4 row2 cols23
C1015FDE C1CFA211
#lane7 tg4 row3 cols23
41DFA5F9 C1849F81
#B block pair00
#lane0 tg0 row0 cols01
BFD92CC1 C16E9DEF
#lane1 tg0 row1 cols01
C07A37FA C1F4EF43
#lane2 tg0 row2 cols01
C1B83145 405D5501
#lane3 tg0 row3 cols01
C1600440 41233FB0
