#Test 1 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
443ABE58 44A5DD2F C1F66220 438DE975
C3E5B9A5 437A221D C4CDA7AF 44DAF740
4268F532 42BF9FA4 C48D203C 4491A2B5
C43A903D C40E4248 43874463 C40A9414
#D20
41C531EF C470347D 44CAFCE7 C4DF2928
432652B6 4483141C C3E0E8BB 43E35B53
C448297E C4B11270 4418125C C47AE27E
43994512 443D85C4 C3881E9E 43A571B7

#Test 2 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
43458F33 434BB47D 44B0D2AD 4408218B
4216F3B2 C3BEA856 C419A9EB C4145DF3
C3897F64 C3AF263A C4B415FE C41A712F
C396A3CC 443BBFD3 C423CDB8 43E7622E
#D20
C4380DE9 BEF7D3B5 C38712FD 4479387A
C3DC19FF C48BC7D2 C4271296 C3913490
C2E284B4 C493B152 C3E0444B C4352B62
C31A785C 44097818 C4A55BC5 C373C6E4

#Test 3 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
C487DDE0 C447B16C 439D6250 446D9BB0
444A9BF9 C40BD87B 444F89A6 43ACDA92
C45A2D5D C48D322D 437EBF7C 444DDC48
43B192C7 C4601E60 4506F69B 448247E9
#D20
C444CEAC C37443B7 C4229C56 4381A16E
43A7708A 41BD6AA6 44816987 430D612D
43D443C1 C386FC00 447C4611 438E2BEF
C22E6AD1 43E0F9CC C38D198A 424C64BB

#Test 4 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
43DD5FFE 446DED83 44C80242 42FBFED0
44D229C1 C4624043 44911185 44A4C96E
C36AEB1D 44562989 C309A26E 4491CA01
C415B4EB 43A07B9D C474CA06 C434033A
#D20
43A7EEE8 4468CF45 C3193051 44B4B300
43C84DE3 C44BC60E 445088C7 40A936D0
C2AA533F C3E3491C C4A0488A C49E7990
44676FFE C3D94024 4498B663 C3A5CFBC

#Test 5 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
C43BC1C4 4447171C 41D129E2 C4E7D644
C3EE6497 4449018F 443DDE18 C3B24308
43933A81 43B54665 44471640 43C2B465
43DA5129 C4B0A0AF 434FA921 445197C3
#D20
430D0973 C448F4EB 42504548 C314AC89
C30753CA 41FB86C0 C4979B13 C33F00EE
415156D8 40B61F74 4417B2FD 4346FAED
41DBA89E C410A390 C44CE15A 4402775E

#Test 6 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
429798C3 44A22068 C477BF2A 4386BF1E
C38CB48F 4484F289 C3BC9233 43F82067
43CE61B2 C4B83F2C 42EE095B 43934A01
4426EC6D C4422AFA C358497F C4128E89
#D20
428BB463 C40CCC9A 43D7D4AA 436ADBAD
C2D14703 C417DB0B 441BBC20 C396BC03
43DAC850 42B58DF0 C3891A6B C40890AE
C3FED0D7 C383D42D 43AEE4EA 446AC97D

#Test 7 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
C497168D C3238A0C 440C8D6E 43D692ED
C46B4BD3 442AB7FF 4291653E C45040DC
44007818 C3C9FD1B C38F8A8C 443BCEE3
C44F481C C2D4EDFF C40756BD C1910CFF
#D20
44839B89 43D76E80 C3D4146D C45AEAA6
C4A44B04 C3960A34 43E5C3F7 4430C064
449A06EF 4357A8C1 440DDBD3 C314DDD7
446F8D0B 4369FAF8 C2D69C25 C36F90A5

#Test 8 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
C4BF5E43 4489D3CF C3572EF2 44853F30
C4B78F9A 44454C24 C3F5F106 445A73AC
43B1B3AE C48E1C92 C412A53C C4AA8B5A
43C43FE3 441D9799 4390BE71 4432F733
#D20
43F0C4CC 43B8B5D2 C30C18A2 44010A9B
C29F3D68 C3F9768D C453748C C4428F57
43FA4AFA 4425C5B7 434B737D 44184D12
43FBCBEF C3EBFF28 C3DDCC0F C3A79AD9

#Test 9 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
C334EAC0 C460EA0C 446EA52B C3A74ECD
C37A4A06 C35B6AED 4311FC35 4208DCDE
4395CA47 C10DFF40 C42D97BB C3D3079B
C2EB90FD 418689CC 43CEA760 429304C2
#D20
43F93706 C452BC3E C219F581 C4802E38
C2F2E31F C3E04457 43D44C36 C385D750
4494FF6B 42C16068 C47D2FCE C403A621
C39FAAA6 C49033C2 437E8794 C44F0347

#Test 10 HMMAstep0 related D00 and D20 result submatrices (FP32)
#D00
C3CB64BD C3BD7317 4433447B 44280C4F
44021249 435A4AFC 4299C3F1 42601578
C4A2A58E 439D90CF 4206BAA2 C4531268
C493E489 4442CB0D C40FF328 C4BCF0EB
#D20
42548486 43542B4B C423CE17 C45AC7A0
422D25E4 C1D12F3C 436D3119 428E1453
40F9BA7B 44019811 C4187FAD C478012C
43D1CB20 C33CF2AC 43884008 4417D205

