#SET 0 results
#STEP0_D00
4867 CCAA C2D8 C888
4CD1 CB0D 3BBA C28C
C8ED 44BF 441C C56E
BC3C 2B85 C8A1 486E
#STEP0_D10
2D0B C2E1 40C8 C446
C15D C990 B6F7 CA10
4D36 48A0 CA08 4C92
454D 4A06 BAFF 476B
#STEP1_D01
B1C7 C624 BC44 4262
48F2 C8A7 C804 C5A2
49A8 4383 BDE0 BAF0
3770 4E07 CB54 CD39
#STEP1_D11
3AD5 4612 BFBC AF1F
4A41 4415 46FC 44FA
C59B 286E CCBE CC23
C91A BE1C 29BA BDC8
#STEP0_D20
38D6 4D14 BEFF 480F
4895 3FCB C4FC 459D
CEB7 4D7B 4B0D C0ED
C717 C5BE 4A26 C8CA
#STEP0_D30
CEAD 4D64 49CB 44D1
C597 43D1 4934 C2FD
CC91 4C92 B87F 48A2
C325 A134 C915 45BC
#STEP1_D21
C660 C6B3 C4E4 3609
C2C0 4651 C9C1 CA34
46EF 48C4 468C 4A5D
385D CC99 4E08 4D63
#STEP1_D31
B70A 482E 48A8 491B
48B1 CC99 46DF 48EE
CC76 4300 452A C03A
CD00 4C22 C668 C81A

#SET 1 results
#STEP0_D00
CC12 C190 C760 B84B
4EEB C450 4794 C9EB
CD83 47E9 4A22 C8EB
31A5 4919 CA42 4924
#STEP0_D10
C97F C76F 4828 C62C
C2E5 CC19 4B4B CDF1
4D26 4DA1 CABB 4C63
44DD 4C76 C745 4A15
#STEP1_D01
CC96 457A C637 3687
4DE4 C6B6 CB53 C9EA
C0F1 C7D2 CA5D C75C
4411 500B CA13 CE15
#STEP1_D11
CA16 C4C1 C913 BCEC
4BBA C7E8 C8BD 4397
C894 B150 CC55 CEA4
C9E4 44A2 468C C1C9
#STEP0_D20
4A19 4640 C6C8 4996
4C44 46BB 4B2D CA9C
CDFD 4F59 4D59 C8FF
C4D6 C524 C59A 4505
#STEP0_D30
D01F 4D26 BFF9 4C76
CDC8 4BE1 4894 3C75
C520 485A 47DE BA11
C875 42D7 CDB3 4C6B
#STEP1_D21
44AC C1FE 4427 497C
4836 C6C9 CFB0 CD90
4B05 4878 BF25 4738
401B B766 516B 4F40
#STEP1_D31
C932 4C31 4DB1 4B80
C1A1 C98D 3E1E 470A
C98A CA59 404A C4AA
CDEB 4FD7 449A C24D

#SET 2 results
#STEP0_D00
C457 C85F CDE1 CD65
4E15 CB24 4D02 49D3
D017 4B2F 4CC2 C98B
41EF C3EA 4673 4547
#STEP0_D10
C232 CC07 4DDB 4277
48D3 CF34 4968 D1CE
4AF4 4FCB 4005 4DCD
495C 4BA7 471A 3E2F
#STEP1_D01
CD98 AF32 3FFF 4BCB
4C6B C706 CB0B CEFF
4C0A C729 CECA C5F8
4A74 5175 C80E CB5D
#STEP1_D11
CF1C 48E3 4730 C4AC
4BC9 C51B 3E81 4DE8
C41C 4A65 CCF6 CF45
C99A 4D9E 4C42 48C3
#STEP0_D20
C1E8 4C04 461D 5108
4F96 C63C 4A67 D0D1
CDD2 500E 4FA6 D00B
C9A6 C2B4 4BBD 4AA2
#STEP0_D30
D1B6 5046 4D36 4D3B
CE9F B720 C800 4A83
CC04 5102 BCED 4BF0
C5C9 4814 D0F4 4A6E
#STEP1_D21
45C0 BE9B C716 CA0B
4970 BF84 CCE4 3492
4F9D 4D82 C19A 4EE2
4883 4A99 5123 4E8A
#STEP1_D31
466A 504A 4A86 4BBF
3BAE D127 C9D3 C542
CD99 CA56 C407 CDF2
CF90 4D95 457B C203

#SET 3 results
#STEP0_D00
C54E C4B8 CDA2 C840
4FE7 CB96 4F47 45D6
D0E2 4D44 4ABC 46D1
C30C C03B BA0A 4807
#STEP0_D10
400A CB27 4F34 4094
4996 CE86 487C D216
4F41 4FEE 4D06 4E3A
4E95 4A03 4DAB C819
#STEP1_D01
CF89 C8B3 C980 4A89
485E 494C 4604 CE5E
4AF2 CCA6 D168 C9A2
4C79 51CB C54C CCCB
#STEP1_D11
D007 4D3A 4CC9 BEC8
4E59 32E8 479B 4F1C
CD72 4B2A CCEE CD37
CC63 4E09 4CF0 4D6F
#STEP0_D20
C57D 4841 4820 5054
505C C7C4 4CE8 D13B
C918 50D3 5182 CDA0
CD3B CB44 4961 474D
#STEP0_D30
CFF4 5066 4F36 45D0
CDF5 BD63 C56B 4647
C897 5221 4268 4F1B
C544 49AB D18C 47E6
#STEP1_D21
C621 BF90 C578 CCDE
3EBC 481F C7F5 3839
4D1C 4C78 C968 50B2
3A64 BA4A 4F1B 4AE8
#STEP1_D31
4CE6 5255 501A 5009
38E5 CEA9 45A2 C3EC
CD36 CCC0 CB54 CB9C
CAD3 4FA7 4BA7 420E

#FINAL_16x8_RESULT
C54E C4B8 CDA2 C840 CF89 C8B3 C980 4A89
4FE7 CB96 4F47 45D6 485E 494C 4604 CE5E
D0E2 4D44 4ABC 46D1 4AF2 CCA6 D168 C9A2
C30C C03B BA0A 4807 4C79 51CB C54C CCCB
400A CB27 4F34 4094 D007 4D3A 4CC9 BEC8
4996 CE86 487C D216 4E59 32E8 479B 4F1C
4F41 4FEE 4D06 4E3A CD72 4B2A CCEE CD37
4E95 4A03 4DAB C819 CC63 4E09 4CF0 4D6F
C57D 4841 4820 5054 C621 BF90 C578 CCDE
505C C7C4 4CE8 D13B 3EBC 481F C7F5 3839
C918 50D3 5182 CDA0 4D1C 4C78 C968 50B2
CD3B CB44 4961 474D 3A64 BA4A 4F1B 4AE8
CFF4 5066 4F36 45D0 4CE6 5255 501A 5009
CDF5 BD63 C56B 4647 38E5 CEA9 45A2 C3EC
C897 5221 4268 4F1B CD36 CCC0 CB54 CB9C
C544 49AB D18C 47E6 CAD3 4FA7 4BA7 420E

