#register file ports content for FP32, 2 octects
#<portA> <portB>
#pair00 -> cols 0,1 ; pair01 -> cols 2,3
#Single experiment = 4 HMMA set pairs (step0 + step1)
#16 lanes total:
#  lanes 0..3   -> octect0 top tg
#  lanes 4..7   -> octect0 bottom tg
#  lanes 8..11  -> octect1 top tg
#  lanes 12..15 -> octect1 bottom tg
#For FP32, A/B/C loads are split over two cycles: pair00 then pair01.
#B is written in transposed form for the hardware feed only.
#Only set0 contains external C inputs.
#For sets 1..3 accumulator inputs must be provided by previous computed results inside the TB.

#================ SET 0 ================
#oct0 A00 pair00
#lane0
418C43F8 C07A5A9A
#lane1
405F944C C1DF5358
#lane2
C1325AD6 C104A636
#lane3
413AE01A C1B8725D
#oct0 A10 pair00
#lane4
4109F399 405B7613
#lane5
412841CF C0BFB83F
#lane6
C10D80FF C1D31F8D
#lane7
C146B34F 40A23DDF
#oct1 A20 pair00
#lane8
C1CB0EC4 40B37EFF
#lane9
BFD92CC1 C16E9DEF
#lane10
C1C8D62E 41D4FF81
#lane11
C084EBD5 41FC18A6
#oct1 A30 pair00
#lane12
C1C125DF 41A9879A
#lane13
C1C19F2C 3ECF6B51
#lane14
C15AADD7 41D9807E
#lane15
41A8AADE 4197F869
#oct0 A00 pair01
#lane0
41B79A26 414A1AD8
#lane1
41A7BF46 4106D308
#lane2
BFF96617 C19EFD9C
#lane3
C199A5A2 C1FC3B03
#oct0 A10 pair01
#lane4
40728335 C148C14E
#lane5
41A0C748 C1AA8287
#lane6
C1C394BB 41EC7DDA
#lane7
C1A57E0A 41B69626
#oct1 A20 pair01
#lane8
C1A8A80A 41D9A958
#lane9
C12C792D 3FA9592C
#lane10
C18A2164 C1ECD843
#lane11
41C889EC 417E931A
#oct1 A30 pair01
#lane12
C1B184B8 C1A436F2
#lane13
4146ECBB 40A62077
#lane14
C1F3459E 40621758
#lane15
C188E350 3FFC1082
#oct0 B00_T_for_HMMA pair00
#lane0
41A2154D C1E4AB20
#lane1
C1CA18FE 40BAA99C
#lane2
C1DDEBFF 41390D3B
#lane3
40C16670 C0D9D846
#oct0 B01_T_for_HMMA pair00
#lane4
C1B528C8 C13A608B
#lane5
41A63A63 3E9450D4
#lane6
C14237A1 41C000A6
#lane7
C1B6566B 41B3C786
#oct1 B00_T_for_HMMA pair00
#lane8
41A2154D C1E4AB20
#lane9
C1CA18FE 40BAA99C
#lane10
C1DDEBFF 41390D3B
#lane11
40C16670 C0D9D846
#oct1 B01_T_for_HMMA pair00
#lane12
C1B528C8 C13A608B
#lane13
41A63A63 3E9450D4
#lane14
C14237A1 41C000A6
#lane15
C1B6566B 41B3C786
#oct0 B00_T_for_HMMA pair01
#lane0
3FC2958B 41B713B2
#lane1
C1CBF1A9 C0185FB1
#lane2
41AABB14 C0EB5633
#lane3
C1E56541 410EE9AD
#oct0 B01_T_for_HMMA pair01
#lane4
41D984E0 C16F243D
#lane5
C1CD410B C1B87046
#lane6
41AFE90E BFB53AB8
#lane7
41CE288E C0AA35E8
#oct1 B00_T_for_HMMA pair01
#lane8
3FC2958B 41B713B2
#lane9
C1CBF1A9 C0185FB1
#lane10
41AABB14 C0EB5633
#lane11
C1E56541 410EE9AD
#oct1 B01_T_for_HMMA pair01
#lane12
41D984E0 C16F243D
#lane13
C1CD410B C1B87046
#lane14
41AFE90E BFB53AB8
#lane15
41CE288E C0AA35E8
#oct0 C00 pair00
#lane0
C1E38C9A C160A765
#lane1
418B5155 C141934E
#lane2
C1B780BE C053FC68
#lane3
C1D4EED6 C1833E05
#oct0 C10 pair00
#lane4
41D1B0D5 40B26E09
#lane5
C1451587 40C9AE69
#lane6
416DFDCE C075658D
#lane7
41F4B189 C0B517A4
#oct1 C20 pair00
#lane8
41752D86 419A0BD7
#lane9
41B4E998 C14DE1B7
#lane10
41FEC2D0 414DB3C0
#lane11
4181014F 4027594A
#oct1 C30 pair00
#lane12
C15DF484 407BDC4E
#lane13
3F509A26 C08945B8
#lane14
C1960167 C14AADC0
#lane15
C183D94A BFA4F583
#oct0 C00 pair01
#lane0
C129D9D1 C1A76D46
#lane1
41402B44 4152560C
#lane2
C0DC02D6 C1D703C8
#lane3
41AFEAD1 410CE40D
#oct0 C10 pair01
#lane4
41B35727 C1233C2B
#lane5
C1FC4148 C1634E2C
#lane6
4059835F 411DCD06
#lane7
41965D82 C1D49291
#oct1 C20 pair01
#lane8
C1E6EE3B C187EB02
#lane9
40B8F9D3 C0D31116
#lane10
40C2FEF3 C0DC6D98
#lane11
C15CA151 41CB432A
#oct1 C30 pair01
#lane12
41957DAC 41915165
#lane13
C1EDA605 41EB6791
#lane14
C0D8D496 C0AAC892
#lane15
413BA814 C18B2270
#oct0 C01 pair00
#lane0
C13E92BD 41788466
#lane1
C0E5B341 4110451C
#lane2
4182BAA3 C0879EDC
#lane3
4118BA87 412E49C3
#oct0 C11 pair00
#lane4
