#SET 0 results
#STEP0_D00
443EA38B C488DDCA C31156D8 C3D8CBD7
448ADAC4 C44C730A C1B1EC6E C396D878
C3EAC9D9 43A37562 439B84F8 C31F73C8
42ECA199 42ED75FD C43AAB1E 43FCB9D8
#STEP0_D10
C3327F29 C3817AA8 C07D1ACF C34A2A03
C2AA6C8A C43CF9A2 43411B83 C4292128
4499AB8C 441AA060 C446E8EC 4489A44E
42F9D336 444AAA87 C33B64AE 4425390B
#STEP1_D01
428FACF1 C3FAAAE2 4314FDF6 4266973C
442AC4BA C424AF02 C3934858 C3660BE3
441859EC 4386F551 C2A0AAE9 42C9CDF0
C21559E6 44B751B1 C483FF0F C48E7ABA
#STEP1_D11
425D33FF 43BB1AB3 4255C829 4219C405
443169DA 43491627 43677C89 438453B6
C40E3411 C356AF18 C48BE035 C49178B6
C4297821 C368AE52 C33B9399 C36CDAB2
#STEP0_D20
C28958F1 4491BB51 42B435D0 441FBD3F
43D634A7 4356A785 C3B3B5CA 43CACBCA
C4F2B264 44A4208C 4456EB4E C2DA6826
C40DA246 C3C0C777 445CF6BA C445B941
#STEP0_D30
C4C98761 44A900B0 4418BB21 4334EB2A
C3B5B559 438C16CC 445A6163 C3D6DECF
C481C543 449D3FFC 413DBE73 441D9F66
C2E28027 4106DBB0 C437450A 43F47970
#STEP1_D21
C3E75132 C4134EC6 C2B6267C 418C0C1A
C2E646F0 43673B63 C4150EDC C417F7AD
4380FA71 4418DB70 4411A5A3 445A9AF1
4319CE69 C4894A8A 44AA3258 44AAC218
#STEP1_D31
BF19AE6E 440860E8 43BB3AEB 440FC211
4442993F C472B4B4 440A528B 444E6D4E
C465AD89 43C6E7B4 4327F9CA 42B047B1
C496872B 44582F75 C34FEF8D C3FDC9E2

#SET 1 results
#STEP0_D00
C452F28A C29E72B2 C3C722B5 42E03DD5
44CE3288 C33F5E74 43C88721 C454764D
C49C1898 44045D72 44504E02 C3DCBC08
4345827D 443FE906 C46EEA4C 441527B4
#STEP0_D10
C45DD13C C400AD6A 43BB8014 C3A1DF51
C3062050 C488BA9A 44904C56 C4B1AB9B
44979DDD 44B76960 C45D6847 4483CB73
42C1FA20 44939DF1 C415126F 44711593
#STEP1_D01
C488589D 4371A673 C3346462 C2F0D1A5
44C2B849 C3F65B87 C433A148 C41C9A3D
C388473C C3EB6BE1 C44843C9 C39D34C9
434119FA 44F93AA6 C45FD765 C4A9EDC0
#STEP1_D11
C4428E7B C39F2492 C3EC07E1 C204C5C8
