#register file ports content for FP8 E4M3, 2 octects
#<portA> <portB>
#Each 32-bit portA contains one packed 1x4 FP8 row
#Byte order: [v3 v2 v1 v0], so v0 is the least significant byte
#portB is written as 00000000
#Single experiment = 4 HMMA set pairs (step0 + step1)
#16 lanes total:
#  lanes 0..3   -> octect0 top tg
#  lanes 4..7   -> octect0 bottom tg
#  lanes 8..11  -> octect1 top tg
#  lanes 12..15 -> octect1 bottom tg
#Only set0 contains external C inputs.
#For sets 1..3 accumulator inputs must be provided by previous computed results inside the TB.

#================ SET 0 ================
#oct0 A00
#lane0
B54A4849 00000000
#lane1
48C8C0C5 00000000
#lane2
39BC9CAC 00000000
#lane3
37C24E3E 00000000
#oct0 A10
#lane4
4A43CC4D 00000000
#lane5
CF5039D0 00000000
#lane6
BB4F4441 00000000
#lane7
C6C74A4D 00000000
#oct1 A20
#lane8
C94B4B4D 00000000
#lane9
C6484A48 00000000
#lane10
464F49CA 00000000
#lane11
49C54C4F 00000000
#oct1 A30
#lane12
CE4EBDCF 00000000
#lane13
30484145 00000000
#lane14
CDC9CBC3 00000000
#lane15
B0C2B546 00000000
#oct0 B00_T_for_HMMA
#lane0
CF47BCC9 00000000
#lane1
39CECD44 00000000
#lane2
CB28C94D 00000000
#lane3
4EA9B7C5 00000000
#oct0 B01_T_for_HMMA
#lane4
CB4D4839 00000000
#lane5
409DC8C5 00000000
#lane6
C3B04B36 00000000
#lane7
414F3440 00000000
#oct1 B00_T_for_HMMA
#lane8
CF47BCC9 00000000
#lane9
39CECD44 00000000
#lane10
CB28C94D 00000000
#lane11
4EA9B7C5 00000000
#oct1 B01_T_for_HMMA
#lane12
CB4D4839 00000000
#lane13
409DC8C5 00000000
#lane14
C3B04B36 00000000
#lane15
414F3440 00000000
#oct0 C00
#lane0
CF50C2CB 00000000
#lane1
4F124EBA 00000000
#lane2
CA44CABE 00000000
#lane3
C8CC9BCF 00000000
#oct0 C10
#lane4
4ED03ECA 00000000
#lane5
48CACFCD 00000000
#lane6
50CD4EC4 00000000
#lane7
BABEC7B5 00000000
#oct1 C20
#lane8
4FC84ABB 00000000
#lane9
4A3DCE46 00000000
#lane10
B350CDCB 00000000
#lane11
CE45C84D 00000000
#oct1 C30
#lane12
C8C0CEC5 00000000
#lane13
B9CE494D 00000000
#lane14
CF4C4B48 00000000
#lane15
454FC5CA 00000000
#oct0 C01
#lane0
AAC34BB4 00000000
#lane1
B54C19C7 00000000
#lane2
C2C1C743 00000000
#lane3
4E4ACC48 00000000
#oct0 C11
#lane4
C8CDCFC7 00000000
#lane5
30194E50 00000000
#lane6
CF42CD49 00000000
#lane7
B94DC74C 00000000
#oct1 C21
#lane8
CB4B4F49 00000000
#lane9
42C725CE 00000000
#lane10
CD4EA94C 00000000
#lane11
42C242CF 00000000
#oct1 C31
#lane12
40C7CABF 00000000
#lane13
CDB35045 00000000
#lane14
414CC936 00000000
#lane15
CFC5C43E 00000000

#================ SET 1 ================
#oct0 A01
